pair_id,index_symbol,carrier,leg,horizon,index_row,timestamp,direction
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,1,351523,2021-01-08T09:33:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,5,351527,2021-01-08T09:37:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,15,351537,2021-01-08T09:47:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,30,351552,2021-01-08T10:02:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,60,351582,2021-01-08T10:32:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,120,351642,2021-01-08T13:02:00+08:00,-1
000852.SH:R1_A:351523:351522,000852.SH,512100.SH,control,240,351762,2021-01-11T09:32:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,0,351542,2021-01-08T09:52:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,1,351543,2021-01-08T09:53:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,5,351547,2021-01-08T09:57:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,15,351557,2021-01-08T10:07:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,30,351572,2021-01-08T10:22:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,60,351602,2021-01-08T10:52:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,120,351662,2021-01-08T13:22:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,event,240,351782,2021-01-11T09:52:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,0,355126,2021-01-29T09:36:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,1,355127,2021-01-29T09:37:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,5,355131,2021-01-29T09:41:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,15,355141,2021-01-29T09:51:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,30,355156,2021-01-29T10:06:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,60,355186,2021-01-29T10:36:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,120,355246,2021-01-29T13:06:00+08:00,-1
000852.SH:R1_A:351542:355126,000852.SH,512100.SH,control,240,355366,2021-02-01T09:36:00+08:00,-1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,0,351659,2021-01-08T13:19:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,1,351660,2021-01-08T13:20:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,5,351664,2021-01-08T13:24:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,15,351674,2021-01-08T13:34:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,30,351689,2021-01-08T13:49:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,60,351719,2021-01-08T14:19:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,120,351779,2021-01-11T09:49:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,event,240,351899,2021-01-11T13:19:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,0,361242,2021-03-12T13:02:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,1,361243,2021-03-12T13:03:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,5,361247,2021-03-12T13:07:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,15,361257,2021-03-12T13:17:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,30,361272,2021-03-12T13:32:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,60,361302,2021-03-12T14:02:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,120,361362,2021-03-15T09:32:00+08:00,1
000852.SH:R1_A:351659:361242,000852.SH,512100.SH,control,240,361482,2021-03-15T13:02:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,0,351781,2021-01-11T09:51:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,1,351782,2021-01-11T09:52:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,5,351786,2021-01-11T09:56:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,15,351796,2021-01-11T10:06:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,30,351811,2021-01-11T10:21:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,60,351841,2021-01-11T10:51:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,120,351901,2021-01-11T13:21:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,event,240,352021,2021-01-12T09:51:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,0,392810,2021-09-23T09:40:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,1,392811,2021-09-23T09:41:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,5,392815,2021-09-23T09:45:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,15,392825,2021-09-23T09:55:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,30,392840,2021-09-23T10:10:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,60,392870,2021-09-23T10:40:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,120,392930,2021-09-23T13:10:00+08:00,1
000852.SH:R1_A:351781:392810,000852.SH,512100.SH,control,240,393050,2021-09-24T09:40:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,0,352316,2021-01-13T10:46:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,1,352317,2021-01-13T10:47:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,5,352321,2021-01-13T10:51:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,15,352331,2021-01-13T11:01:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,30,352346,2021-01-13T11:16:00+08:00,1
