symbol,ex_date,event_type,source_reference
512100.SH,2022-09-02,share_consolidation,https://www.cjsc.com.cn/ueditor/jsp/upload/file/20220831/1661915950202075315.pdf
512100.SH,2025-01-15,cash_distribution,https://money.finance.sina.com.cn/fund/go.php/vAkFundInfo_JJGKXX/q/4251404.phtml
