SecurityID,DateTime,SettlementGroupID,SettlementID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighPrice,LowPrice,Volume,Turnover,AveragePrice,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,DerivedQuoteStatus
MO2212-P-8200,20221206093249400,SG01,1,1518.8,1504.4,1518.8,55,0.0,0.0,0.0,0,0,1518.8,55,0,0,2175.8,833.0,0,0,1489.2,1489.0,1488.6,1488.2,1487.6,6,7,22,6,12,1499.2,1500.8,1501.0,1501.4,1501.8,6,6,8,10,15,EXECUTABLE
MO2212-C-6200,20221206093249400,SG01,1,491.0,507.2,491.0,219,0.0,0.0,0.0,0,0,491.0,219,0,0,1178.6,0.2,0,0,504.4,504.2,504.0,503.0,502.8,6,6,6,2,4,511.4,511.8,512.4,512.8,513.0,9,14,10,13,6,EXECUTABLE
MO2212-C-6400,20221206093249400,SG01,1,312.6,321.0,321.0,521,312.6,312.6,312.6,1,31260,312.6,521,0,0,992.4,0.2,0,0,314.6,314.0,313.8,313.6,313.0,6,6,1,6,6,321.4,321.6,321.8,322.6,322.8,6,10,12,12,12,EXECUTABLE
MO2212-C-6600,20221206093249400,SG01,1,156.0,159.2,159.2,1235,150.0,163.6,147.0,70,1096020,156.574,1244,0,0,830.6,0.2,0,0,155.0,154.8,154.6,154.2,153.8,1,7,1,12,2,158.8,159.2,159.4,159.6,159.8,2,10,6,6,7,EXECUTABLE
MO2212-C-6800,20221206093249400,SG01,1,57.2,59.8,59.8,3532,52.0,62.0,52.0,284,1677040,59.051,3653,0,0,731.2,0.2,0,0,57.4,57.2,57.0,56.8,56.6,1,7,22,1,10,58.4,58.8,59.0,59.2,59.6,1,3,4,6,12,EXECUTABLE
MO2212-C-7000,20221206093249400,SG01,1,17.8,18.4,18.4,2771,15.8,19.8,15.8,94,175700,18.691,2756,0,0,689.8,0.2,0,0,17.8,17.6,17.4,17.2,16.8,11,32,23,1,6,18.2,18.4,18.6,19.0,19.2,6,17,32,1,6,EXECUTABLE
MO2212-P-6200,20221206093249400,SG01,1,3.0,3.0,3.0,2030,3.4,3.6,2.8,21,6700,3.19,2036,0,0,674.4,0.2,0,0,2.8,2.6,2.2,1.0,0.0,22,51,1,1,0,3.2,3.4,5.2,6.0,7.0,61,6,1,1,1,EXECUTABLE
MO2212-P-6400,20221206093249400,SG01,1,12.6,12.6,12.6,2572,14.2,14.2,11.6,63,76400,12.127,2551,0,0,684.0,0.2,0,0,12.4,12.2,12.0,11.2,10.6,17,38,14,1,2,13.0,13.2,14.0,16.0,17.2,29,34,6,3,1,EXECUTABLE
MO2212-P-6600,20221206093249400,SG01,1,51.6,52.6,52.6,2228,58.0,58.0,47.2,146,755240,51.729,2254,0,0,724.0,0.2,0,0,50.8,50.4,50.2,50.0,49.8,2,3,6,6,22,51.6,51.8,52.0,52.4,52.6,7,12,6,14,7,EXECUTABLE
MO2212-P-6800,20221206093249400,SG01,1,151.8,151.2,151.8,510,0.0,0.0,0.0,0,0,151.8,510,0,0,822.6,0.2,0,0,150.2,150.0,149.2,148.8,148.6,1,6,9,6,8,154.4,154.6,154.8,155.0,155.4,10,6,2,7,12,EXECUTABLE
MO2212-P-7000,20221206093249400,SG01,1,314.0,311.0,314.0,127,0.0,0.0,0.0,0,0,314.0,127,0,0,982.4,0.2,0,0,309.4,308.4,308.2,307.4,306.8,6,26,6,6,6,315.2,316.0,316.4,316.6,316.8,6,2,6,2,10,EXECUTABLE
MO2212-P-7200,20221206093249400,SG01,1,493.8,507.6,493.8,111,0.0,0.0,0.0,0,0,493.8,111,0,0,1179.0,0.2,0,0,494.8,494.6,494.4,494.2,493.6,4,6,3,24,19,503.0,503.4,503.8,504.2,504.6,6,1,6,2,4,EXECUTABLE
MO2212-P-7400,20221206093249400,SG01,1,691.6,705.0,691.6,60,0.0,0.0,0.0,0,0,691.6,60,0,0,1376.4,33.6,0,0,691.8,690.2,689.8,689.2,688.2,10,12,12,6,19,699.8,700.6,700.8,701.0,701.8,6,6,12,2,4,EXECUTABLE
MO2212-P-7600,20221206093249400,SG01,1,919.0,904.2,919.0,44,0.0,0.0,0.0,0,0,919.0,44,0,0,1575.6,232.8,0,0,890.4,890.2,888.8,888.4,888.2,10,6,6,12,21,899.0,899.8,900.4,900.8,901.4,6,14,2,4,9,EXECUTABLE
MO2212-P-7800,20221206093249400,SG01,1,1297.4,1104.0,1297.4,81,0.0,0.0,0.0,0,0,1297.4,81,0,0,1775.4,432.6,0,0,1090.4,1090.2,1089.4,1089.2,1088.2,4,9,16,12,14,1099.0,1100.2,1100.4,1101.4,1101.6,6,14,4,6,6,EXECUTABLE
MO2303-C-6200,20221206093249400,SG01,1,476.2,549.4,476.2,219,0.0,0.0,0.0,0,0,476.2,219,0,0,1220.8,0.2,0,0,545.0,544.2,542.6,542.0,541.4,6,1,12,18,18,556.0,556.2,556.6,557.4,557.8,6,13,6,24,6,EXECUTABLE
MO2303-C-6400,20221206093249400,SG01,1,413.0,417.4,413.0,167,0.0,0.0,0.0,0,0,413.0,167,0,0,1088.8,0.2,0,0,411.8,411.0,410.2,409.4,409.2,2,12,36,12,6,424.0,424.2,424.4,424.6,424.8,6,6,22,25,18,EXECUTABLE
MO2303-C-6600,20221206093249400,SG01,1,310.0,311.6,310.0,138,0.0,0.0,0.0,0,0,310.0,138,0,0,983.0,0.2,0,0,305.6,304.4,303.2,302.0,301.4,1,6,12,18,12,313.6,314.0,314.6,315.4,315.6,6,7,6,36,24,EXECUTABLE
MO2303-C-6800,20221206093249400,SG01,1,224.2,224.2,224.2,217,0.0,0.0,0.0,0,0,224.2,217,0,0,895.6,0.2,0,0,217.8,217.2,217.0,216.8,215.8,1,6,12,6,42,226.6,226.8,227.0,227.4,227.6,6,7,18,12,30,EXECUTABLE
MO2303-C-7200,20221206093249400,SG01,1,107.4,107.2,107.4,190,0.0,0.0,0.0,0,0,107.4,190,0,0,778.6,0.2,0,0,103.2,102.6,102.4,102.2,102.0,6,19,12,21,12,108.0,108.2,108.8,109.0,109.2,6,6,6,22,42,EXECUTABLE
MO2303-P-6400,20221206093249400,SG01,1,197.2,188.8,197.2,137,0.0,0.0,0.0,0,0,197.2,137,0,0,860.2,0.2,0,0,187.0,186.4,185.0,184.8,184.6,1,6,28,24,24,194.8,195.2,195.4,195.6,196.0,6,1,1,12,42,EXECUTABLE
MO2303-P-7000,20221206093249400,SG01,1,518.0,518.8,518.0,223,0.0,0.0,0.0,0,0,518.0,223,0,0,1190.2,0.2,0,0,516.8,516.0,514.6,513.6,512.4,6,6,17,18,24,529.2,529.8,530.2,531.2,531.8,7,1,18,24,18,EXECUTABLE
MO2303-P-7200,20221206093249400,SG01,1,666.4,669.6,666.4,55,0.0,0.0,0.0,0,0,666.4,55,0,0,1341.0,0.2,0,0,667.2,665.2,663.0,662.4,662.2,10,12,30,18,6,678.0,679.6,680.0,681.0,682.0,1,12,12,30,12,EXECUTABLE
MO2303-P-7600,20221206093249400,SG01,1,1053.0,1009.2,1053.0,31,0.0,0.0,0.0,0,0,1053.0,31,0,0,1680.6,337.8,0,0,1004.8,1004.6,1004.2,1001.4,1001.2,6,6,10,30,10,1017.6,1018.4,1019.6,1020.6,1020.8,6,12,6,36,10,EXECUTABLE
MO2303-P-7800,20221206093249400,SG01,1,1251.0,1190.8,1251.0,54,0.0,0.0,0.0,0,0,1251.0,54,0,0,1862.2,519.4,0,0,1187.6,1187.4,1187.2,1186.0,1185.2,6,6,10,30,10,1199.6,1203.4,1204.4,1204.6,1207.0,6,18,30,6,10,EXECUTABLE
MO2306-C-6200,20221206093249400,SG01,1,582.6,578.6,582.6,108,0.0,0.0,0.0,0,0,582.6,108,0,0,1250.0,0.2,0,0,573.4,572.8,572.4,570.0,569.8,2,12,6,24,18,586.6,586.8,587.6,587.8,588.0,1,5,12,24,12,EXECUTABLE
MO2306-C-6400,20221206093249400,SG01,1,468.6,463.4,468.6,67,0.0,0.0,0.0,0,0,468.6,67,0,0,1134.8,0.2,0,0,461.0,460.6,459.8,459.0,458.6,1,1,12,12,30,473.8,474.0,475.4,475.8,476.0,1,6,24,36,11,EXECUTABLE
