contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2306-C-7000,C,7000.0,2023-06-16,2022-12-06 09:32:49.4,221.0,18,228.6,1,229.2,0,533,TRADING
MO2306-C-7200,C,7200.0,2023-06-16,2022-12-06 09:32:49.4,168.4,1,177.2,1,183.2,0,210,TRADING
MO2306-P-6400,P,6400.0,2023-06-16,2022-12-06 09:32:49.4,342.8,1,353.6,1,353.6,0,243,TRADING
MO2306-P-6600,P,6600.0,2023-06-16,2022-12-06 09:32:49.4,444.4,1,455.2,1,454.0,0,107,TRADING
MO2306-P-6800,P,6800.0,2023-06-16,2022-12-06 09:32:49.4,560.8,1,571.4,1,564.4,0,73,TRADING
MO2306-P-7000,P,7000.0,2023-06-16,2022-12-06 09:32:49.4,690.0,6,703.6,1,720.2,0,55,TRADING
MO2306-P-7200,P,7200.0,2023-06-16,2022-12-06 09:32:49.4,836.6,10,852.8,1,1000.0,0,44,TRADING
MO2306-P-7600,P,7600.0,2023-06-16,2022-12-06 09:32:49.4,1159.4,10,1175.0,7,1346.6,0,35,TRADING
MO2212-P-8000,P,8000.0,2022-12-16,2022-12-06 09:32:49.9,1289.0,9,1298.4,12,1547.4,0,128,TRADING
MO2303-C-8000,C,8000.0,2023-03-17,2022-12-06 09:32:49.9,20.4,6,21.8,6,21.4,0,290,TRADING
MO2303-P-8000,P,8000.0,2023-03-17,2022-12-06 09:32:49.9,1375.8,6,1390.8,6,1536.0,0,90,TRADING
MO2306-P-8000,P,8000.0,2023-06-16,2022-12-06 09:32:49.9,1514.0,4,1529.0,6,1764.6,0,49,TRADING
MO2212-C-6500,C,6500.0,2022-12-16,2022-12-06 09:32:49.9,230.0,6,234.8,8,234.0,19,1038,TRADING
MO2212-C-6700,C,6700.0,2022-12-16,2022-12-06 09:32:49.9,97.4,6,99.6,3,98.2,161,2877,TRADING
MO2212-C-6900,C,6900.0,2022-12-16,2022-12-06 09:32:49.9,32.4,1,32.8,10,32.2,169,2882,TRADING
MO2212-C-7100,C,7100.0,2022-12-16,2022-12-06 09:32:49.9,9.8,15,10.0,18,9.8,96,1309,TRADING
MO2212-P-5900,P,5900.0,2022-12-16,2022-12-06 09:32:49.9,1.0,7,1.2,30,1.0,3,1023,TRADING
MO2212-P-6300,P,6300.0,2022-12-16,2022-12-06 09:32:49.9,5.8,25,6.2,55,5.6,48,2206,TRADING
MO2212-P-6500,P,6500.0,2022-12-16,2022-12-06 09:32:49.9,25.0,22,26.0,11,25.8,141,1722,TRADING
MO2212-P-6700,P,6700.0,2022-12-16,2022-12-06 09:32:49.9,90.6,4,92.6,6,92.2,122,3596,TRADING
