state,precision,recall,f1,support,predicted_count,symbol
UpTrend,0.9951651387667965,0.9996846221773685,0.9974197608558842,15854,15926,000852.SH
DownTrend,0.9966010733452594,0.996957766642806,0.9967793880837358,11176,11180,000852.SH
Range,0.9956949569495694,0.9985608552631579,0.9971258468486963,9728,9756,000852.SH
Shock,0.9951526267522599,0.9808884297520661,0.9879690446771152,7744,7633,000852.SH
UpTrend,0.9843227424749164,0.9983040067839729,0.9912640774655299,4717,4784,000688.SH
DownTrend,0.9954088952654232,0.9979861910241657,0.9966958770291625,6952,6970,000688.SH
Range,0.9946605644546148,1.0,0.9973231357552582,6520,6555,000688.SH
Shock,0.997098390925877,0.9665047302480184,0.9815632303297844,3911,3791,000688.SH
