year,n_scored,online_concrete_coverage,exact_accuracy_including_abstention,conditional_accuracy_when_online_concrete,balanced_accuracy_4state,macro_f1_4state,min_state_support,symbol
2015,4031,1.0,0.9962788389977673,0.9962788389977673,0.9938732441359981,0.9953622026884144,492,000852.SH
2016,3829,1.0,0.9966048576651867,0.9966048576651867,0.9947661138737538,0.9958221638979864,610,000852.SH
2017,3957,1.0,0.9979782663634066,0.9979782663634066,0.9971426725290842,0.9977619534794823,520,000852.SH
2018,4171,0.9985614960441141,0.9942459841764565,0.9956782713085234,0.9925185381355932,0.9943670606661791,708,000852.SH
2019,3954,1.0,0.988619119878604,0.988619119878604,0.9823054604847541,0.9847902180799172,605,000852.SH
2020,4088,1.0,0.9943737769080235,0.9943737769080235,0.9934842866413275,0.9942108103715516,642,000852.SH
2021,4291,1.0,0.9965043113493358,0.9965043113493358,0.9945797815926581,0.9951986059363741,671,000852.SH
2022,4082,1.0,0.993140617344439,0.993140617344439,0.9917267095906454,0.9920634451805475,754,000852.SH
2023,4154,1.0,0.9987963408762638,0.9987963408762638,0.9985974139618043,0.9986974855968194,824,000852.SH
2024,4040,1.0,0.9977722772277228,0.9977722772277228,0.996995994659546,0.9974769084133991,749,000852.SH
2025,3905,0.9997439180537772,0.9959026888604353,0.9961577868852459,0.9946460483158303,0.9950938357293938,658,000852.SH
2020,1628,1.0,0.9975429975429976,0.9975429975429976,0.9951531562699595,0.9961507990703123,176,000688.SH
2021,4185,1.0,0.995221027479092,0.995221027479092,0.9929151286577864,0.99385573160576,620,000688.SH
2022,4130,1.0,0.9789346246973366,0.9789346246973366,0.9708792054815614,0.9730423860392048,744,000688.SH
2023,4212,1.0,0.99667616334283,0.99667616334283,0.995911457133398,0.9964246182703907,725,000688.SH
2024,4057,1.0,0.9963026867143209,0.9963026867143209,0.9960924462150134,0.9960404530643074,740,000688.SH
2025,3888,1.0,0.996656378600823,0.996656378600823,0.9956021650879567,0.9965307099349351,717,000688.SH
