entry_idx,info_idx,info_day,info_year,parent_direction,horizon,target_bp,parent_prediction_bp,enhanced_prediction_bp,parent_residual_bp,prediction_adjustment_bp,alignment_bp2,adjustment_square_bp2,loss_gain_bp2
58593,58592,2016-01-04,2016,-1,1,33.9598982944567,-0.539234590182444,-0.659380795335445,34.4991328846391,-0.120146205153001,-8.289879794317,0.014435110612667,-8.30431490492966
58614,58613,2016-01-04,2016,-1,1,-10.5508894310469,0.263000668004122,0.168528692470634,-10.813890099051,-0.094471975533488,2.04321912171875,0.00892495416119995,2.03429416755755
58713,58712,2016-01-05,2016,-1,1,17.7398608070467,0.378191812008625,0.289557697585042,17.3616689950381,-0.088634114423583,-3.07767231258116,0.0078560062396528,-3.08552831882081
58905,58904,2016-01-05,2016,-1,1,-18.9233962585367,0.588903884821838,0.486488590528051,-19.5123001433585,-0.102415294293787,3.99671592306153,0.010488892505283,3.98622703055625
58931,58930,2016-01-05,2016,1,1,0.391707654814333,0.486238926845033,0.374834039809853,-0.0945312720307,-0.11140488703518,0.021062491363744,0.0124110488553212,0.00865144250842279
58964,58963,2016-01-06,2016,1,1,-3.41444110193323,1.18518249088488,1.08518399832013,-4.59962359281811,-0.0999984925647501,0.919910851294142,0.00999969851522239,0.90991115277892
59016,59015,2016-01-06,2016,1,1,-9.08254649650608,0.426201829245567,0.310569785913494,-9.50874832575165,-0.115632043332073,2.19903199687418,0.0133707694451504,2.18566122742903
59125,59124,2016-01-06,2016,1,1,8.79888471279511,0.0876005636280085,-0.0392644697830191,8.7112841491671,-0.126865033411028,-2.21031470927408,0.0160947367023811,-2.22640944597646
59173,59172,2016-01-06,2016,1,1,4.97567904599094,0.131151067519425,-0.0010953822737414,4.84452797847152,-0.132246449793166,-1.28134325215305,0.0174891234828965,-1.29883237563594
59187,59186,2016-01-07,2016,1,1,-59.396475971234,-0.2428877080257,-0.3445891176986,-59.1535882632083,-0.1017014096729,12.0320066271572,0.010343176729455,12.0216634504277
59204,59203,2016-01-08,2016,-1,1,50.055524615914,0.478675912461524,0.400993671459287,49.5768487034525,-0.077682241002237,-7.70248141822608,0.00603453056712964,-7.70851594879321
59226,59225,2016-01-08,2016,-1,1,-53.7029026934932,0.480493233077765,0.39807697703963,-54.183395926571,-0.082416256038135,8.93118526339982,0.00679243925934342,8.92439282414048
59237,59236,2016-01-08,2016,1,1,-0.0677871123133666,0.615890341610772,0.521033509489958,-0.683677453924139,-0.0948568321208141,0.129702954943335,0.00899781859999631,0.120705136343339
59270,59269,2016-01-08,2016,1,1,0.461379705369858,1.08246040707966,0.980528603324353,-0.621080701709802,-0.101931803755307,0.126615752405784,0.0103900926168104,0.116225659788973
59338,59337,2016-01-08,2016,1,1,10.9183536190116,-0.0731567275888713,-0.197729230981119,10.9915103466005,-0.124572503392248,-2.73847991987563,0.0155183086014116,-2.75399822847704
59378,59377,2016-01-08,2016,1,1,-5.42136685100725,0.441050486710923,0.326132773979951,-5.86241733771817,-0.114917712730972,1.34739118304993,0.0132060806993182,1.33418510235062
59447,59446,2016-01-11,2016,-1,1,-20.2059280044375,0.936361486143123,0.851490559706855,-21.1422894905806,-0.0848709264362679,3.5887313920987,0.0072030741541504,3.58152831794455
59564,59563,2016-01-11,2016,-1,1,0.236628983499854,0.403579069212178,0.302230067741647,-0.166950085712324,-0.101349001470531,0.0338404489647272,0.0102716200990737,0.0235688288656535
59588,59587,2016-01-11,2016,-1,1,-12.2424704609947,0.37051021439848,0.266469263132785,-12.6129806753932,-0.104040951265695,2.62453301552747,0.0108245195402707,2.6137084959872
59609,59608,2016-01-11,2016,-1,1,-3.26721835870014,0.0295462628061472,-0.0846032640658735,-3.29676462150629,-0.114149526872021,0.752648243506718,0.0130301144851062,0.739618129021612
59659,59658,2016-01-11,2016,-1,1,18.0403421252273,0.5652485044666,0.451690701228834,17.4750936207607,-0.113557803237766,-3.96886648589577,0.0128953746761872,-3.98176186057196
59674,59673,2016-01-11,2016,-1,1,1.93775775834348,0.535191737117248,0.418304731771805,1.40256602122623,-0.116887005345443,-0.327883484040815,0.0136625720186256,-0.34154605605944
59697,59696,2016-01-12,2016,-1,1,-46.9301397010136,0.707485712193844,0.615606376027768,-47.6376254132074,-0.091879336166076,8.75382679898739,0.0084418124143188,8.74538498657307
59760,59759,2016-01-12,2016,-1,1,1.91576158409701,0.490316255207593,0.391621463255413,1.42544532888942,-0.0986947919521799,-0.281368060347895,0.00974066195848408,-0.29110872230638
59865,59864,2016-01-12,2016,1,1,-16.8540827709218,0.42489116214242,0.316646069472693,-17.2789739330642,-0.108245092669727,3.74072826924467,0.0117170000870778,3.72901126915759
59996,59995,2016-01-13,2016,1,1,-6.9381657133738,0.374724030090213,0.262448380870832,-7.31288974346401,-0.112275649219381,1.64211888723435,0.0126058214076335,1.62951306582672
60065,60064,2016-01-13,2016,-1,1,-6.03709982652578,-0.363710639163699,-0.472712405084402,-5.67338918736208,-0.109001765920703,1.23681888035578,0.0118813849738317,1.22493749538195
60137,60136,2016-01-13,2016,-1,1,-2.75563872574214,0.418065332089525,0.31991029496689,-3.17370405783167,-0.098155037122635,0.623030079225449,0.00963441131254586,0.613395667912903
60156,60155,2016-01-13,2016,-1,1,14.7513838172608,0.197390619750037,0.0930162017591288,14.5539931975108,-0.104374417990908,-3.03812913886765,0.0108940191309408,-3.04902315799859
60165,60164,2016-01-14,2016,-1,1,20.4667692649407,0.650992853428095,0.568964591380427,19.8157764115126,-0.082028262047668,-3.25090740032311,0.00672863577456089,-3.25763603609767
60331,60330,2016-01-14,2016,1,1,-8.83676694150459,0.664062373580691,0.563218122978759,-9.50082931508528,-0.100844250601932,1.91620802475328,0.0101695628794653,1.90603846187382
60371,60370,2016-01-14,2016,1,1,0.92596822323987,0.721232529137208,0.608105758014769,0.204735694102662,-0.113126771122439,-0.0463221760146911,0.0127976663445887,-0.0591198423592798
60404,60403,2016-01-15,2016,1,1,-17.4051762551053,0.375260994771075,0.27664161471942,-17.7804372498764,-0.098619380051655,3.50699139726032,0.00972578212177277,3.49726561513855
60449,60448,2016-01-15,2016,1,1,-10.8285500067595,0.243532915985451,0.131704095832839,-11.072082922745,-0.111828820152612,2.4763559397649,0.0125056850167252,2.46385025474818
60536,60535,2016-01-15,2016,-1,1,-21.432051877841,-0.585698214528714,-0.703690789262673,-20.8463536633123,-0.117992574733959,4.91942988509783,0.0139222476923489,4.90550763740548
60567,60566,2016-01-15,2016,-1,1,20.8337269572556,0.108638719786763,0.002611133300538,20.7250882374688,-0.106027586486225,-4.39486217106574,0.0112418490960939,-4.40610402016184
60612,60611,2016-01-15,2016,-1,1,-33.9387932732316,0.430198006558371,0.32661594476946,-34.36899127979,-0.103582061788911,7.1200219567315,0.0107292435244418,7.10929271320705
