year,horizon,n,enhanced_indicator_raw_coefficient_bp,indicator_training_prevalence,centered_indicator_term_at_event_bp,centered_intercept_difference_bp,mean_total_prediction_adjustment_bp,mean_shared_feature_refit_remainder_bp,shared_feature_refit_remainder_sd_bp,shared_standardized_coefficient_change_l2,interpretation
2016,1,326,-0.132430113185067,0.0579462761656635,-0.124756281273795,0,-0.115449206507294,0.0093070747665014,0.011156036455929,0.010884992712165,identity_defined_remainder_not_independent_causal_indicator_effect
2016,5,326,-8.21133442717469,0.0579462761656635,-7.735518174769,0,-7.15843263426459,0.577085540504414,0.691730483484303,0.674924405388358,identity_defined_remainder_not_independent_causal_indicator_effect
2016,15,326,-4.12078821515971,0.0579462761656635,-3.88200388322385,0,-3.59239842195075,0.289605461273105,0.347139049041219,0.338705061949954,identity_defined_remainder_not_independent_causal_indicator_effect
2016,30,326,-9.32103170418278,0.0579462761656635,-8.7809126269033,0,-8.12583851358188,0.655074113321415,0.785212418820621,0.766135131426624,identity_defined_remainder_not_independent_causal_indicator_effect
2016,60,326,-3.21029348373513,0.0578616352201258,-3.0245406532297,0,-2.79903192058241,0.225508732647292,0.270422004114731,0.263789766674182,identity_defined_remainder_not_independent_causal_indicator_effect
2016,120,326,7.9453933007525,0.0577769790637074,7.486332478362,0,6.92831849280335,-0.558013985558652,0.669381914061621,0.653603222383203,identity_defined_remainder_not_independent_causal_indicator_effect
2016,240,326,7.07930853798924,0.0576923076923077,6.67088689156678,0,6.17372680317056,-0.497160088396222,0.59633431299953,0.583100799094961,identity_defined_remainder_not_independent_causal_indicator_effect
2017,1,96,-0.015649133459078,0.030350389147626,-0.0151741761687718,0,-0.0150318318591747,0.000142344309597198,0.000710993145959798,0.000906517659539408,identity_defined_remainder_not_independent_causal_indicator_effect
2017,5,96,-6.71424363322647,0.0303541842508362,-6.51043824487851,0,-6.44939059634795,0.0610476485305625,0.305049145606326,0.388954028434661,identity_defined_remainder_not_independent_causal_indicator_effect
2017,15,96,-0.886668352481215,0.0303636761624816,-0.859745841762954,0,-0.851692257375107,0.00805358438784669,0.0402835141135795,0.0513689116104299,identity_defined_remainder_not_independent_causal_indicator_effect
2017,30,96,-3.65168733060424,0.0303779251658115,-3.5407566461462,0,-3.50764066031585,0.0331159858303486,0.165904510612125,0.21159165611805,identity_defined_remainder_not_independent_causal_indicator_effect
