horizon,group,n,target_mean_bp,target_median_bp,parent_mean_prediction_bp,enhanced_mean_prediction_bp,adjustment_mean_bp,adjustment_median_bp,adjustment_sd_bp,adjustment_positive_fraction,parent_residual_mean_y_minus_prediction_bp,enhanced_residual_mean_y_minus_prediction_bp,parent_centered_error_var_bp2,enhanced_centered_error_var_bp2,parent_mse_bp2,enhanced_mse_bp2,parent_rmse_bp,enhanced_rmse_bp,parent_mae_bp,enhanced_mae_bp,mean_loss_improvement_bp2,median_loss_improvement_bp2,positive_loss_improvement_fraction,relative_mse_reduction,alignment_2_mean_e_g_bp2,adjustment_square_cost_bp2,bias_square_reduction_bp2,centered_error_variance_reduction_bp2,zero_forecast_mse_bp2,enhanced_gain_over_zero_bp2,max_identity_error_bp2,past_mean_forecast_mse_bp2,parent_mean_error_bp,enhanced_mean_error_bp
1,POOLED,1107,0.764311568876449,0.965514486046537,0.0629783374491553,0.141100459559845,0.0781221221106894,0.0209628926749733,0.171980355771617,0.618789521228546,0.701333231427294,0.623211109316604,74.5127760632529,74.366289365353,75.0046443647572,74.7546814521286,8.66052217621762,8.64607896402344,5.08090641457209,5.05835021857081,0.249962912628566,0.0382094025014697,0.545618789521229,0.00333263246223746,0.285643221362975,0.0356803087344094,0.103476214728617,0.146486697899959,74.9348977036324,0.18021625150385,6.43041175862891e-13,74.9824794141642,-0.701333231427294,-0.623211109316604
1,YEAR_2016,326,-0.0470297714648117,0.438334925298989,0.142955770851578,0.0275065643442843,-0.115449206507294,-0.116384802717086,0.011156036455929,0,-0.18998554231639,-0.0745363358090964,145.789710337055,145.847559109589,145.825804843345,145.853114774945,12.0758355753689,12.0769662902132,7.05738212673913,7.06501383657081,-0.0273099316007951,-0.061449275382675,0.478527607361963,-0.000187277770420216,-0.0138569551682243,0.0134529764325697,0.0305388409334063,-0.0578487725341859,145.233885564541,-0.619229210403915,5.22248910783674e-13,145.242173755055,0.18998554231639,0.0745363358090964
1,YEAR_2017,96,0.966420778627866,0.949967732502,-0.0338814592271816,-0.0489132910863563,-0.0150318318591747,-0.0150771588107241,0.000710993145959798,0,1.00030223785505,1.01533406971422,13.8393132501019,13.8400989463429,14.8399178171597,14.8710022194654,3.85226139003569,3.8562938450623,2.72096879023561,2.72592157047747,-0.0310844023056703,-0.0351963408867368,0.333333333333333,-0.00209464787397453,-0.0308579408253745,0.0002264614802961,-0.0302987060646289,-0.000785696241038636,14.4359320294027,-0.435070190062646,4.6296300126869e-14,14.5368463473116,-1.00030223785505,-1.01533406971422
1,YEAR_2018,209,0.681571922712894,0.685745634085855,0.0535537387008884,0.0740686434004148,0.0205149046995264,0.020742345821886,0.000831895593822794,1,0.628018184012005,0.607503279312479,22.870667746318,22.8701619397124,23.2650745857677,23.2392221740878,4.823388288928,4.82070764246161,3.49290081822341,3.48919596975889,0.0258524116799158,0.0229876023029409,0.588516746411483,0.00111121120994518,0.0262739650450259,0.00042155336510967,0.0253466050743208,0.000505806605595183,23.4327643806347,0.193542206546855,4.76285677564192e-14,23.4810624965214,-0.628018184012005,-0.607503279312479
1,YEAR_2019,201,1.16663758791179,1.24850285462719,0.0466425210396947,0.193217439900122,0.146574918860428,0.147420074304916,0.00500143069431315,1,1.11999506687209,0.973420148011666,41.7114074910186,41.7207227132223,42.9657964408364,42.6682694977773,6.55483000853847,6.53209533746847,4.47226063518117,4.43400928478919,0.297526943059114,0.350299499714066,0.631840796019901,0.00692473939052442,0.319036164207044,0.021509221147931,0.306842165262772,-0.00931522220365366,43.1755205953252,0.507251097547886,8.70414851306123e-14,43.2266977116307,-1.11999506687209,-0.973420148011666
1,YEAR_2020,275,1.42438374719352,1.46483325090818,0.0210842917343475,0.354944337491601,0.333860045757253,0.335584152689699,0.00991550736578491,1,1.40329945545917,1.06943940970192,72.8226457269442,72.8358671103142,74.7918950886362,73.9795677613378,8.64823074903972,8.60113758530451,5.21346605480589,5.14266504199175,0.812327327298332,0.878323788819667,0.603636363636364,0.010861167862315,0.92388817473769,0.111560847439356,0.825548710668421,-0.0132213833700803,75.0731207048907,1.09355294355282,6.43041175862891e-13,75.1454927861055,-1.40329945545917,-1.06943940970192
1,LONG,555,0.586452205782915,0.87369469103038,0.0403962314596852,0.124390173062737,0.0839939416030517,0.02115724233696,0.179989558409741,0.609009009009009,0.54605597432323,0.462062032720178,36.2704610179484,36.2116425045945,36.5686381450425,36.425143826676,6.04720085205068,6.03532466621937,3.83649587763511,3.82178343956195,0.143494318366525,0.0211411465921592,0.527927927927928,0.00392397216974233,0.182945541729075,0.0394512233625505,0.0846758050125888,0.0588185133539412,36.4198888467346,-0.00525497994145496,9.41469124882133e-14,36.4591450880956,-0.54605597432323,-0.462062032720178
1,SHORT,552,0.943137558943317,1.11766458273377,0.0856831722755246,0.157901562831393,0.0722183905558686,0.02085503274238,0.163319943884843,0.628623188405797,0.857454386667792,0.785235996111924,112.914313897407,112.675936212477,113.649541922622,113.292531782067,10.6606539162765,10.6438964567524,6.33208005225329,6.30163746920472,0.357010140555074,0.0577045812324051,0.563405797101449,0.00314132494082679,0.388899040560103,0.0318889000050284,0.118632455625954,0.238377684929105,113.65922726084,0.366695478772201,6.43041175862891e-13,113.715179687657,-0.857454386667792,-0.785235996111924
1,YEAR_2016_LONG,176,-0.0952757234616063,0.589140945483902,0.162272053820751,0.0439563781365057,-0.118315675684245,-0.117687344757003,0.00962349880671013,0,-0.257547777282358,-0.139232101598112,56.0264841002014,56.078278506757,56.0928149577845,56.0976640848724,7.48951366630601,7.48983738707807,4.27580049801949,4.29131661472045,-0.00484912708791421,-0.14257093135432,0.448863636363636,-8.64482749094278e-05,0.00924208375398814,0.0140912108419023,0.0469452794676559,-0.0517944065555582,55.7778196991236,-0.319844385748816,9.41469124882133e-14,55.7914573705931,0.257547777282358,0.139232101598112
1,YEAR_2016_SHORT,150,0.00957881221142685,-0.0348747352463265,0.120291332167748,0.00820544949474466,-0.112085882673004,-0.114486780095223,0.011868851293754,0,-0.110712519956322,0.00137336271668232,251.10025571366,251.166175031839,251.112512975735,251.166176917964,15.8465299979439,15.8482231470271,10.3211045711035,10.3194852435419,-0.0536639422292421,0.0688732696679097,0.513333333333333,-0.00021370477159148,-0.0409598275036204,0.0127041147256196,0.0122553759499274,-0.0659193181791693,250.195669513298,-0.970507404665881,5.22248910783674e-13,250.197680979491,0.110712519956322,-0.00137336271668232
1,YEAR_2017_LONG,41,0.838865455734311,0.7032843378596,-0.149683228749915,-0.164984277053845,-0.0153010483039299,-0.015238072614134,0.000637300030657112,0,0.988548684484226,1.00384973278816,4.8817207054543,4.88137890972655,5.85894920704979,5.8890931957454,2.42052663836815,2.42674539161928,1.92265875040572,1.92794218616291,-0.0301439886956036,-0.029155648138114,0.317073170731707,-0.00514494794720746,-0.0299094604650751,0.000234528230528271,-0.0304857844233583,0.000341795727754501,4.95921176198638,-0.929881433759018,3.40005801291454e-15,5.04714823634306,-0.988548684484226,-1.00384973278816
1,YEAR_2017_SHORT,55,1.06150747387579,1.63638103006347,0.0524434962352194,0.0376123529984987,-0.0148311432367208,-0.0148829093721483,0.00069661679591697,0,1.00906397764057,1.02389512087729,20.5166115791789,20.5182459095003,21.5348216901507,21.5666071280566,4.64056264801486,4.6439861248777,3.3160726381088,3.32077892969379,-0.0317854379059018,-0.0495154087661605,0.345454545454545,-0.00147600190813,-0.0315649898212341,0.000220448084668481,-0.0301511075845127,-0.00163433032139437,21.5003962287494,-0.066210899307162,4.6296300126869e-14,21.6109849391245,-1.00906397764057,-1.02389512087729
1,YEAR_2018_LONG,81,0.795983551878261,0.432423405141158,-0.00950560451828215,0.0111401828388727,0.0206457873571548,0.0207930096857651,0.000769376688739213,1,0.805489156396543,0.784843369039388,17.5109431751237,17.5112665063661,18.1597559561961,18.1272456202912,4.26142651657824,4.25761031804124,2.98073793337945,2.97681108971692,0.0325103359049029,0.0187497807497425,0.592592592592593,0.00179024079306585,0.0329371763809888,0.000426840476086028,0.0328336671473171,-0.000323331242416458,18.3243573727846,0.197111752493381,2.08721928629529e-14,18.3805625773793,-0.805489156396543,-0.784843369039388
