horizon,group,field,absolute_error
1,YEAR_2019,target_median_bp,0
1,YEAR_2019,zero_forecast_mse_bp2,0
1,YEAR_2020,enhanced_mae_bp,0
1,YEAR_2020,enhanced_mean_error_bp,1.11022302462516e-15
1,YEAR_2020,enhanced_mean_prediction_bp,0
1,YEAR_2020,enhanced_mse_bp2,5.6843418860808e-14
1,YEAR_2020,enhanced_rmse_bp,3.5527136788005e-15
1,YEAR_2020,mean_loss_improvement_bp2,9.99200722162641e-16
1,YEAR_2020,median_loss_improvement_bp2,1.11022302462516e-15
1,YEAR_2020,parent_mae_bp,8.88178419700125e-16
1,YEAR_2020,parent_mean_error_bp,2.22044604925031e-15
1,YEAR_2020,parent_mean_prediction_bp,1.04083408558608e-17
1,YEAR_2020,parent_mse_bp2,2.8421709430404e-14
1,YEAR_2020,parent_rmse_bp,7.105427357601e-15
1,YEAR_2020,past_mean_forecast_mse_bp2,8.5265128291212e-14
1,YEAR_2020,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2020,relative_mse_reduction,2.23779328401008e-16
1,YEAR_2020,target_mean_bp,0
1,YEAR_2020,target_median_bp,0
1,YEAR_2020,zero_forecast_mse_bp2,2.8421709430404e-14
1,LONG,enhanced_mae_bp,2.22044604925031e-15
1,LONG,enhanced_mean_error_bp,2.77555756156289e-16
1,LONG,enhanced_mean_prediction_bp,9.71445146547012e-17
1,LONG,enhanced_mse_bp2,7.105427357601e-15
1,LONG,enhanced_rmse_bp,5.32907051820075e-15
1,LONG,mean_loss_improvement_bp2,1.22124532708767e-15
1,LONG,median_loss_improvement_bp2,4.5102810375397e-17
1,LONG,parent_mae_bp,2.66453525910038e-15
1,LONG,parent_mean_error_bp,2.22044604925031e-16
1,LONG,parent_mean_prediction_bp,2.77555756156289e-17
1,LONG,parent_mse_bp2,2.8421709430404e-14
1,LONG,parent_rmse_bp,5.32907051820075e-15
1,LONG,past_mean_forecast_mse_bp2,3.5527136788005e-14
1,LONG,positive_loss_improvement_fraction,0
1,LONG,relative_mse_reduction,2.6628005356244e-16
1,LONG,target_mean_bp,1.11022302462516e-16
1,LONG,target_median_bp,0
1,LONG,zero_forecast_mse_bp2,4.9737991503207e-14
1,SHORT,enhanced_mae_bp,3.5527136788005e-15
1,SHORT,enhanced_mean_error_bp,4.44089209850063e-16
1,SHORT,enhanced_mean_prediction_bp,2.22044604925031e-16
1,SHORT,enhanced_mse_bp2,3.41060513164848e-13
1,SHORT,enhanced_rmse_bp,4.9737991503207e-14
1,SHORT,mean_loss_improvement_bp2,7.7715611723761e-16
1,SHORT,median_loss_improvement_bp2,6.93889390390723e-17
1,SHORT,parent_mae_bp,0
1,SHORT,parent_mean_error_bp,0
1,SHORT,parent_mean_prediction_bp,2.77555756156289e-17
1,SHORT,parent_mse_bp2,3.97903932025656e-13
1,SHORT,parent_rmse_bp,4.44089209850063e-14
1,SHORT,past_mean_forecast_mse_bp2,8.5265128291212e-14
1,SHORT,positive_loss_improvement_fraction,2.22044604925031e-16
1,SHORT,relative_mse_reduction,1.0842021724855e-16
1,SHORT,target_mean_bp,1.11022302462516e-16
1,SHORT,target_median_bp,2.22044604925031e-16
1,SHORT,zero_forecast_mse_bp2,4.54747350886464e-13
1,YEAR_2016_LONG,enhanced_mae_bp,8.88178419700125e-16
1,YEAR_2016_LONG,enhanced_mean_error_bp,1.13797860024079e-15
1,YEAR_2016_LONG,enhanced_mean_prediction_bp,4.16333634234434e-17
1,YEAR_2016_LONG,enhanced_mse_bp2,7.105427357601e-15
1,YEAR_2016_LONG,enhanced_rmse_bp,3.5527136788005e-15
1,YEAR_2016_LONG,mean_loss_improvement_bp2,5.61529989173692e-15
1,YEAR_2016_LONG,median_loss_improvement_bp2,1.11022302462516e-15
1,YEAR_2016_LONG,parent_mae_bp,0
1,YEAR_2016_LONG,parent_mean_error_bp,4.44089209850063e-16
1,YEAR_2016_LONG,parent_mean_prediction_bp,5.55111512312578e-17
1,YEAR_2016_LONG,parent_mse_bp2,2.1316282072803e-14
1,YEAR_2016_LONG,parent_rmse_bp,8.88178419700125e-16
1,YEAR_2016_LONG,past_mean_forecast_mse_bp2,4.2632564145606e-14
1,YEAR_2016_LONG,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2016_LONG,relative_mse_reduction,2.04575397420859e-16
1,YEAR_2016_LONG,target_mean_bp,7.63278329429795e-16
1,YEAR_2016_LONG,target_median_bp,5.55111512312578e-16
1,YEAR_2016_LONG,zero_forecast_mse_bp2,2.1316282072803e-14
1,YEAR_2016_SHORT,enhanced_mae_bp,3.5527136788005e-15
1,YEAR_2016_SHORT,enhanced_mean_error_bp,1.22514845490862e-16
1,YEAR_2016_SHORT,enhanced_mean_prediction_bp,5.89805981832114e-17
1,YEAR_2016_SHORT,enhanced_mse_bp2,2.27373675443232e-13
1,YEAR_2016_SHORT,enhanced_rmse_bp,4.2632564145606e-14
1,YEAR_2016_SHORT,mean_loss_improvement_bp2,2.33146835171283e-15
1,YEAR_2016_SHORT,median_loss_improvement_bp2,1.38777878078145e-17
1,YEAR_2016_SHORT,parent_mae_bp,1.06581410364015e-14
1,YEAR_2016_SHORT,parent_mean_error_bp,7.07767178198537e-16
1,YEAR_2016_SHORT,parent_mean_prediction_bp,1.66533453693773e-16
1,YEAR_2016_SHORT,parent_mse_bp2,5.6843418860808e-14
1,YEAR_2016_SHORT,parent_rmse_bp,2.66453525910038e-14
1,YEAR_2016_SHORT,past_mean_forecast_mse_bp2,3.12638803734444e-13
1,YEAR_2016_SHORT,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2016_SHORT,relative_mse_reduction,1.80221506121403e-16
1,YEAR_2016_SHORT,target_mean_bp,4.85722573273506e-17
1,YEAR_2016_SHORT,target_median_bp,2.08166817117217e-16
1,YEAR_2016_SHORT,zero_forecast_mse_bp2,3.69482222595252e-13
1,YEAR_2017_LONG,enhanced_mae_bp,1.55431223447522e-15
1,YEAR_2017_LONG,enhanced_mean_error_bp,4.44089209850063e-15
1,YEAR_2017_LONG,enhanced_mean_prediction_bp,4.44089209850063e-16
1,YEAR_2017_LONG,enhanced_mse_bp2,1.77635683940025e-15
1,YEAR_2017_LONG,enhanced_rmse_bp,3.10862446895044e-15
1,YEAR_2017_LONG,mean_loss_improvement_bp2,2.67147415300428e-16
1,YEAR_2017_LONG,median_loss_improvement_bp2,8.98586760555986e-16
1,YEAR_2017_LONG,parent_mae_bp,4.21884749357559e-15
1,YEAR_2017_LONG,parent_mean_error_bp,3.33066907387547e-16
1,YEAR_2017_LONG,parent_mean_prediction_bp,3.33066907387547e-16
1,YEAR_2017_LONG,parent_mse_bp2,4.44089209850063e-15
1,YEAR_2017_LONG,parent_rmse_bp,4.88498130835069e-15
1,YEAR_2017_LONG,past_mean_forecast_mse_bp2,2.66453525910038e-15
1,YEAR_2017_LONG,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2017_LONG,relative_mse_reduction,1.37043154602168e-16
1,YEAR_2017_LONG,target_mean_bp,2.22044604925031e-16
1,YEAR_2017_LONG,target_median_bp,0
