carrier,period,old_eligible,new_eligible,eligible_difference,old_action_exclusions,new_action_exclusions,old_missing_endpoint_exclusions,new_missing_endpoint_exclusions,max_preserved_gap_absolute_difference
588000.SH,2022-11,5236,5236,0,0,0,0,0,0
588000.SH,2022-12,5233,5233,0,0,0,3,3,0
588000.SH,2023-01,3808,3808,0,0,0,0,0,0
588000.SH,2023-02,4760,4760,0,0,0,0,0,0
588000.SH,2023-03,5474,5474,0,0,0,0,0,0
588000.SH,2023-04,4522,4522,0,0,0,0,0,0
588000.SH,2023-05,4760,4760,0,0,0,0,0,0
588000.SH,2023-06,4760,4760,0,0,0,0,0,0
588000.SH,2023-07,4998,4998,0,0,0,0,0,0
588000.SH,2023-08,5474,5474,0,0,0,0,0,0
588000.SH,2023-09,4760,4760,0,0,0,0,0,0
588000.SH,2023-10,4046,4046,0,0,0,0,0,0
588000.SH,2023-11,5236,5236,0,0,0,0,0,0
588000.SH,2023-12,4998,4998,0,0,0,0,0,0
588000.SH,2024-01,5236,5236,0,0,0,0,0,0
588000.SH,2024-02,3570,3570,0,0,0,0,0,0
588000.SH,2024-03,4998,4998,0,0,0,0,0,0
588000.SH,2024-04,4760,4760,0,0,0,0,0,0
588000.SH,2024-05,4760,4760,0,0,0,0,0,0
588000.SH,2024-06,4522,4522,0,0,0,0,0,0
588000.SH,2024-07,5474,5474,0,0,0,0,0,0
588000.SH,2024-08,5236,5236,0,0,0,0,0,0
588000.SH,2024-09,4489,4489,0,0,0,33,33,0
588000.SH,2024-10,4284,4284,0,0,0,0,0,0
588000.SH,2024-11,4998,4998,0,0,0,0,0,0
588000.SH,2024-12,5236,5236,0,0,0,0,0,0
588000.SH,2025-01,4284,4284,0,0,0,0,0,0
588000.SH,2025-02,4284,4284,0,0,0,0,0,0
588000.SH,2025-03,4998,4998,0,0,0,0,0,0
588000.SH,2025-04,4998,4998,0,0,0,0,0,0
588000.SH,2025-05,4522,4522,0,0,0,0,0,0
588000.SH,2025-06,4760,4760,0,0,0,0,0,0
588000.SH,2025-07,5474,5474,0,0,0,0,0,0
588000.SH,2025-08,4998,4998,0,0,0,0,0,0
588000.SH,2025-09,5236,5236,0,0,0,0,0,0
588000.SH,2025-10,4046,4046,0,0,0,0,0,0
588000.SH,2025-11,4760,4760,0,0,0,0,0,0
588000.SH,2025-12,5474,5474,0,0,0,0,0,0
