path,line,matched_tokens,text,scope
research/r1a_carrier_transport/export_datahub_lake.py,157,r1a_carrier_prices,"rel = f""data/r1a_carrier_prices/private/{code}_{year}.csv""",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/export_datahub_lake.py,163,r1a_carrier_prices,"actions_rel = f""data/r1a_carrier_prices/private/{code}_actions.csv""",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/export_datahub_lake.py,193,r1a_carrier_prices,"manifest_path = repo_root / ""data/r1a_carrier_prices"" / f""{carrier}.json""",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/transport.py,4,r1a_carrier_prices,Canonical input manifests: data/r1a_carrier_prices/<ETF>.json (see README).,textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/transport.py,279,r1a_carrier_prices,"manifests = args.manifest_dir or root/""data/r1a_carrier_prices""",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/verify_cloud_replay.py,1,cloud_pack_v1,"""""""Acceptance audit for 9abe704 cloud_pack_v1, not a new strategy experiment.",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/verify_cloud_replay.py,21,cloud_pack_v1;r1a_carrier_prices,"PACK = ""data/r1a_carrier_prices/cloud_pack_v1""",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/verify_cloud_replay.py,72,r1a_carrier_prices,"require(not (root/""data/r1a_carrier_prices/private"").exists(), ""audit requires checkout WITHOUT private directory"")",textual_dependency_candidate_not_runtime_proof
research/r1a_carrier_transport/verify_cloud_replay.py,82,r1a_carrier_prices,"prior = json.loads((root/""data/r1a_carrier_prices""/(carrier+"".json"")).read_text())",textual_dependency_candidate_not_runtime_proof
research/r1a_endpoint_robustness/study.py,22,endpoint_diagnostic;r1a_endpoint_diagnostic_20260912,OLD = 'docs/ops/evidence/r1a_endpoint_diagnostic_20260912',textual_dependency_candidate_not_runtime_proof
