pair_id,index_symbol,event_day,control_day,side,horizon,event_entry_timestamp,event_entry_status,event_exit_timestamp,event_exit_status,event_action_crossing,control_entry_timestamp,control_entry_status,control_exit_timestamp,control_exit_status,control_action_crossing,old_eligible,old_reason,new_eligible,new_reason,membership_changed,reason_changed,new_action_crossing,unit_bridge_crossing,on_new_halt_endpoint,carrier
000852.SH:R1_A:350919:398439,000852.SH,2021-01-05,2021-11-02,LONG,30,2021-01-05T11:29:00+08:00,valid,2021-01-05T13:29:00+08:00,valid,False,2021-11-02T11:29:00+08:00,valid,2021-11-02T13:29:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350919:398439,000852.SH,2021-01-05,2021-11-02,LONG,60,2021-01-05T11:29:00+08:00,valid,2021-01-05T13:59:00+08:00,valid,False,2021-11-02T11:29:00+08:00,valid,2021-11-02T13:59:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350919:398439,000852.SH,2021-01-05,2021-11-02,LONG,120,2021-01-05T11:29:00+08:00,valid,2021-01-05T14:59:00+08:00,valid,False,2021-11-02T11:29:00+08:00,valid,2021-11-02T14:59:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:350919:398439,000852.SH,2021-01-05,2021-11-02,LONG,240,2021-01-05T11:29:00+08:00,valid,2021-01-06T11:29:00+08:00,recorded_zero_volume,False,2021-11-02T11:29:00+08:00,valid,2021-11-03T11:29:00+08:00,valid,False,False,event_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,1,2021-01-08T09:33:00+08:00,valid,2021-01-08T09:34:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T09:33:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,5,2021-01-08T09:33:00+08:00,valid,2021-01-08T09:38:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T09:37:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,15,2021-01-08T09:33:00+08:00,valid,2021-01-08T09:48:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T09:47:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,30,2021-01-08T09:33:00+08:00,valid,2021-01-08T10:03:00+08:00,recorded_zero_volume,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T10:02:00+08:00,valid,False,False,event_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,60,2021-01-08T09:33:00+08:00,valid,2021-01-08T10:33:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T10:32:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,120,2021-01-08T09:33:00+08:00,valid,2021-01-08T13:03:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-08T13:02:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,240,2021-01-08T09:33:00+08:00,valid,2021-01-11T09:33:00+08:00,valid,False,2021-01-08T09:32:00+08:00,valid,2021-01-11T09:32:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,1,2021-01-08T09:52:00+08:00,valid,2021-01-08T09:53:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T09:37:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,5,2021-01-08T09:52:00+08:00,valid,2021-01-08T09:57:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T09:41:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,15,2021-01-08T09:52:00+08:00,valid,2021-01-08T10:07:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T09:51:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,30,2021-01-08T09:52:00+08:00,valid,2021-01-08T10:22:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T10:06:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,60,2021-01-08T09:52:00+08:00,valid,2021-01-08T10:52:00+08:00,recorded_zero_volume,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T10:36:00+08:00,valid,False,False,event_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,120,2021-01-08T09:52:00+08:00,valid,2021-01-08T13:22:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-01-29T13:06:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
