source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2015-08-11,Range,UpTrend,2015-08-11 13:25:00+08:00,2015-08-11 13:30:00+08:00,29,17.0,25.0,2015-08-11 14:10:00+08:00,True,12,judge,
independent_judge_center_v3,000852.SH,2015-08-14,UpTrend,Range,2015-08-14 11:25:00+08:00,2015-08-14 11:30:00+08:00,23,11.0,19.0,2015-08-14 13:40:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-08-20,UpTrend,Range,2015-08-20 11:20:00+08:00,2015-08-20 11:25:00+08:00,22,10.0,18.0,2015-08-20 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-08-21,DownTrend,Shock,2015-08-21 13:30:00+08:00,2015-08-21 13:35:00+08:00,30,18.0,26.0,2015-08-21 14:15:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-08-28,UpTrend,Range,2015-08-28 11:05:00+08:00,2015-08-28 11:10:00+08:00,19,7.0,15.0,2015-08-28 13:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-09-02,UpTrend,Range,2015-09-02 13:15:00+08:00,2015-09-02 13:20:00+08:00,27,15.0,23.0,2015-09-02 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-09-23,Range,UpTrend,2015-09-23 13:40:00+08:00,2015-09-23 13:45:00+08:00,32,20.0,28.0,2015-09-23 14:25:00+08:00,True,13,judge,
independent_judge_center_v3,000852.SH,2015-09-24,DownTrend,Range,2015-09-24 11:15:00+08:00,2015-09-24 11:20:00+08:00,21,9.0,17.0,2015-09-24 13:30:00+08:00,True,14,judge,
independent_judge_center_v3,000852.SH,2015-09-28,UpTrend,Range,2015-09-28 13:10:00+08:00,2015-09-28 13:15:00+08:00,26,14.0,22.0,2015-09-28 13:55:00+08:00,True,15,judge,
independent_judge_center_v3,000852.SH,2015-10-08,UpTrend,Range,2015-10-08 13:15:00+08:00,2015-10-08 13:20:00+08:00,27,15.0,23.0,2015-10-08 14:00:00+08:00,True,16,judge,
independent_judge_center_v3,000852.SH,2015-10-12,UpTrend,Range,2015-10-12 13:10:00+08:00,2015-10-12 13:15:00+08:00,26,14.0,22.0,2015-10-12 13:55:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-10-13,Range,UpTrend,2015-10-13 13:10:00+08:00,2015-10-13 13:15:00+08:00,26,14.0,22.0,2015-10-13 13:55:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-10-26,UpTrend,Range,2015-10-26 13:15:00+08:00,2015-10-26 13:20:00+08:00,27,15.0,23.0,2015-10-26 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-11-10,Range,DownTrend,2015-11-10 10:55:00+08:00,2015-11-10 11:00:00+08:00,17,5.0,13.0,2015-11-10 13:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-11-10,DownTrend,Range,2015-11-10 13:25:00+08:00,2015-11-10 13:30:00+08:00,29,17.0,25.0,2015-11-10 14:10:00+08:00,True,17,judge,
independent_judge_center_v3,000852.SH,2015-11-18,UpTrend,DownTrend,2015-11-18 11:25:00+08:00,2015-11-18 11:30:00+08:00,23,11.0,19.0,2015-11-18 13:40:00+08:00,True,18,judge,
independent_judge_center_v3,000852.SH,2015-11-24,Range,UpTrend,2015-11-24 11:20:00+08:00,2015-11-24 11:25:00+08:00,22,10.0,18.0,2015-11-24 13:35:00+08:00,True,19,judge,
independent_judge_center_v3,000852.SH,2015-12-01,DownTrend,Range,2015-12-01 11:20:00+08:00,2015-12-01 11:25:00+08:00,22,10.0,18.0,2015-12-01 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-12-02,Shock,UpTrend,2015-12-02 13:45:00+08:00,2015-12-02 13:50:00+08:00,33,21.0,29.0,2015-12-02 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2015-12-28,Range,Shock,2015-12-28 11:25:00+08:00,2015-12-28 11:30:00+08:00,23,11.0,19.0,2015-12-28 13:40:00+08:00,True,20,judge,
independent_judge_center_v3,000852.SH,2016-01-08,Shock,Range,2016-01-08 13:35:00+08:00,2016-01-08 13:40:00+08:00,31,19.0,27.0,2016-01-08 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-11,DownTrend,Shock,2016-01-11 11:25:00+08:00,2016-01-11 11:30:00+08:00,23,11.0,19.0,2016-01-11 13:40:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-15,Range,DownTrend,2016-01-15 13:10:00+08:00,2016-01-15 13:15:00+08:00,26,14.0,22.0,2016-01-15 13:55:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-15,DownTrend,Shock,2016-01-15 13:45:00+08:00,2016-01-15 13:50:00+08:00,33,21.0,29.0,2016-01-15 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-18,Range,UpTrend,2016-01-18 13:05:00+08:00,2016-01-18 13:10:00+08:00,25,13.0,21.0,2016-01-18 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-19,Range,UpTrend,2016-01-19 11:10:00+08:00,2016-01-19 11:15:00+08:00,20,8.0,16.0,2016-01-19 13:25:00+08:00,False,,judge,
