year,n_scored,online_concrete_coverage,exact_accuracy_including_abstention,conditional_accuracy_when_online_concrete,balanced_accuracy_4state,macro_f1_4state,min_state_support,symbol
2015,1625,0.9353846153846154,0.8,0.8552631578947368,0.8029103439931704,0.8103443889361335,132,000852.SH
2016,1587,0.8815374921235035,0.7019533711405167,0.7962830593280915,0.7604053624604512,0.746405694718483,166,000852.SH
2017,1934,0.9027921406411582,0.7373319544984488,0.8167239404352806,0.7333906523154594,0.7336204216335321,325,000852.SH
2018,1982,0.9197780020181635,0.7497477295660948,0.8151398793198025,0.7521200670885662,0.7621093602730982,389,000852.SH
2019,1972,0.9016227180527383,0.699290060851927,0.7755905511811023,0.7112609119042282,0.7143081728196313,337,000852.SH
2020,1943,0.930519814719506,0.7400926402470407,0.7953539823008849,0.734329664410547,0.7368027766827626,310,000852.SH
2021,1973,0.9609731373542828,0.7734414597060314,0.8048523206751055,0.7693740239391693,0.7586454909556049,274,000852.SH
2022,1904,0.946953781512605,0.710609243697479,0.7504159733777038,0.7488672265346136,0.7282507940606975,411,000852.SH
2023,1963,0.9307182883341824,0.7396841569027,0.7947454844006568,0.7657161578762661,0.7566833697845927,417,000852.SH
2024,1840,0.9152173913043479,0.6918478260869565,0.755938242280285,0.7311948895228912,0.7218714918326723,322,000852.SH
2025,1820,0.8994505494505495,0.7016483516483516,0.7800855222968845,0.7502948788029491,0.7398564321973262,317,000852.SH
2020,701,0.948644793152639,0.7232524964336662,0.762406015037594,0.7174136810769645,0.7112426762134905,92,000688.SH
2021,1702,0.9529964747356052,0.7291421856639247,0.7651048088779285,0.7709806618047265,0.7317205424444546,222,000688.SH
2022,1662,0.941034897713598,0.6991576413959085,0.7429667519181585,0.7575382922879508,0.7208828628358586,258,000688.SH
2023,1820,0.9439560439560439,0.7313186813186813,0.7747380675203726,0.7625444589566794,0.7528721512550498,270,000688.SH
2024,1738,0.9436133486766398,0.714614499424626,0.7573170731707317,0.7457191997104176,0.7292199927441952,248,000688.SH
2025,1728,0.9160879629629629,0.6793981481481481,0.7416298168035376,0.7305154357076942,0.7105793011749009,228,000688.SH
