state,precision,recall,f1,support,predicted_count,symbol
UpTrend,0.8118641639203324,0.9058353317346123,0.8562792806407739,6255,6979,000852.SH
DownTrend,0.7999068250640577,0.8578566075443418,0.8278688524590165,4003,4293,000852.SH
Range,0.9233473980309423,0.40725806451612906,0.5652173913043479,6448,2844,000852.SH
Shock,0.6863683662851197,0.8595256710972113,0.7632492478592917,3837,4805,000852.SH
UpTrend,0.7530601383714742,0.844272076372315,0.7960618846694797,1676,1879,000688.SH
DownTrend,0.7993805918788713,0.911337779521381,0.8516956920256645,2549,2906,000688.SH
Range,0.9307875894988067,0.4503464203233256,0.6070038910505836,3464,1676,000688.SH
Shock,0.583011583011583,0.8176895306859205,0.6806912096168294,1662,2331,000688.SH
