carrier,index_symbol,index_label,phase,source_state_found,event_seq,live_asof_certified
512100,000852,2025-12-01T09:34:09Z,continuous_am,True,132,False
512100,000852,2025-12-01T09:34:12Z,continuous_am,True,133,False
512100,000852,2025-12-01T09:34:15Z,continuous_am,True,134,False
512100,000852,2025-12-01T09:34:18Z,continuous_am,True,135,False
512100,000852,2025-12-01T09:34:21Z,continuous_am,True,136,False
512100,000852,2025-12-01T09:34:24Z,continuous_am,True,137,False
512100,000852,2025-12-01T09:34:27Z,continuous_am,True,138,False
512100,000852,2025-12-01T09:34:30Z,continuous_am,True,139,False
512100,000852,2025-12-01T09:34:33Z,continuous_am,True,140,False
512100,000852,2025-12-01T09:34:36Z,continuous_am,True,141,False
512100,000852,2025-12-01T09:34:39Z,continuous_am,True,142,False
512100,000852,2025-12-01T09:34:42Z,continuous_am,True,143,False
512100,000852,2025-12-01T09:34:45Z,continuous_am,True,144,False
512100,000852,2025-12-01T09:34:48Z,continuous_am,True,145,False
512100,000852,2025-12-01T09:34:51Z,continuous_am,True,146,False
512100,000852,2025-12-01T09:34:54Z,continuous_am,True,147,False
512100,000852,2025-12-01T09:34:57Z,continuous_am,True,148,False
512100,000852,2025-12-01T09:35:00Z,continuous_am,True,149,False
512100,000852,2025-12-01T09:35:03Z,continuous_am,True,150,False
512100,000852,2025-12-01T09:35:06Z,continuous_am,True,151,False
512100,000852,2025-12-01T09:35:09Z,continuous_am,True,152,False
512100,000852,2025-12-01T09:35:12Z,continuous_am,True,153,False
512100,000852,2025-12-01T09:35:15Z,continuous_am,True,154,False
512100,000852,2025-12-01T09:35:18Z,continuous_am,True,155,False
512100,000852,2025-12-01T09:35:21Z,continuous_am,True,156,False
512100,000852,2025-12-01T09:35:24Z,continuous_am,True,157,False
512100,000852,2025-12-01T09:35:27Z,continuous_am,True,158,False
512100,000852,2025-12-01T09:35:30Z,continuous_am,True,159,False
512100,000852,2025-12-01T09:35:33Z,continuous_am,True,160,False
512100,000852,2025-12-01T09:35:36Z,continuous_am,True,161,False
512100,000852,2025-12-01T09:35:39Z,continuous_am,True,162,False
512100,000852,2025-12-01T09:35:42Z,continuous_am,True,163,False
512100,000852,2025-12-01T09:35:45Z,continuous_am,True,164,False
512100,000852,2025-12-01T09:35:48Z,continuous_am,True,165,False
512100,000852,2025-12-01T09:35:51Z,continuous_am,True,166,False
512100,000852,2025-12-01T09:35:54Z,continuous_am,True,167,False
512100,000852,2025-12-01T09:35:57Z,continuous_am,True,168,False
512100,000852,2025-12-01T09:36:00Z,continuous_am,True,169,False
512100,000852,2025-12-01T09:36:03Z,continuous_am,True,170,False
512100,000852,2025-12-01T09:36:06Z,continuous_am,True,171,False
512100,000852,2025-12-01T09:36:09Z,continuous_am,True,172,False
512100,000852,2025-12-01T09:36:12Z,continuous_am,True,173,False
512100,000852,2025-12-01T09:36:15Z,continuous_am,True,174,False
512100,000852,2025-12-01T09:36:18Z,continuous_am,True,175,False
512100,000852,2025-12-01T09:36:21Z,continuous_am,True,176,False
512100,000852,2025-12-01T09:36:24Z,continuous_am,True,177,False
512100,000852,2025-12-01T09:36:27Z,continuous_am,True,178,False
512100,000852,2025-12-01T09:36:30Z,continuous_am,True,179,False
512100,000852,2025-12-01T09:36:33Z,continuous_am,True,180,False
512100,000852,2025-12-01T09:36:36Z,continuous_am,True,181,False
512100,000852,2025-12-01T09:36:39Z,continuous_am,True,182,False
