carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
512100,2025-12-01T09:30:00+08:00,"[t-60s,t)",OUTSIDE_COMPLETE_CONTINUOUS_MINUTE,2025-12-01 09:29:00,2025-12-01 09:30:00,12705.0,2.976,2.976,2.976,2.976,0,0.0,,,,,0,0,False,12705.0,,,,,,False
512100,2025-12-01T09:30:00+08:00,"(t-60s,t]",OUTSIDE_COMPLETE_CONTINUOUS_MINUTE,2025-12-01 09:29:00,2025-12-01 09:30:00,12705.0,2.976,2.976,2.976,2.976,0,0.0,,,,,0,0,False,12705.0,,,,,,False
512100,2025-12-01T09:30:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:30:00,2025-12-01 09:31:00,12705.0,2.976,2.976,2.976,2.976,310,7047100.0,29750,29760,29710,29720,0,0,False,-7034395.0,False,True,False,False,False,False
512100,2025-12-01T09:30:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:30:00,2025-12-01 09:31:00,12705.0,2.976,2.976,2.976,2.976,310,7047100.0,29750,29760,29710,29720,0,0,False,-7034395.0,False,True,False,False,False,False
512100,2025-12-01T09:31:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:30:00,2025-12-01 09:31:00,69950.0,2.975,2.976,2.971,2.972,310,7047100.0,29750,29760,29710,29720,0,0,False,-6977150.0,True,True,True,True,True,False
512100,2025-12-01T09:31:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:30:00,2025-12-01 09:31:00,69950.0,2.975,2.976,2.971,2.972,310,7047100.0,29750,29760,29710,29720,0,0,False,-6977150.0,True,True,True,True,True,False
512100,2025-12-01T09:31:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:31:00,2025-12-01 09:32:00,69950.0,2.975,2.976,2.971,2.972,221,3587700.0,29710,29760,29690,29740,0,0,False,-3517750.0,False,True,False,False,False,False
512100,2025-12-01T09:31:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:31:00,2025-12-01 09:32:00,69950.0,2.975,2.976,2.971,2.972,221,3587700.0,29710,29760,29690,29740,0,0,False,-3517750.0,False,True,False,False,False,False
512100,2025-12-01T09:32:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:31:00,2025-12-01 09:32:00,36203.0,2.971,2.976,2.97,2.976,221,3587700.0,29710,29760,29690,29740,0,0,False,-3551497.0,True,True,False,False,False,False
512100,2025-12-01T09:32:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:31:00,2025-12-01 09:32:00,36203.0,2.971,2.976,2.97,2.976,221,3587700.0,29710,29760,29690,29740,0,0,False,-3551497.0,True,True,False,False,False,False
512100,2025-12-01T09:32:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:32:00,2025-12-01 09:33:00,36203.0,2.971,2.976,2.97,2.976,236,2260745.0,29730,29810,29730,29800,0,0,False,-2224542.0,False,False,False,False,False,False
