layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,budget_trading_days,effect_bp_ASSUMED,family_size,expected_eligible_pairs_CONDITIONAL,positive_detection_probability_CONDITIONAL,detectable_effect_80_bp_CONDITIONAL,detectable_effect_90_bp_CONDITIONAL
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,14,64.15841584158416,0.017186070258713125,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,14,128.31683168316832,0.03712120297314082,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,14,259.84158415841586,0.09548982638447867,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,14,519.6831683168317,0.2602927702181226,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,14,1299.2079207920792,0.7509517507757338,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,14,64.15841584158416,0.09381357669652302,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,4,14,128.31683168316832,0.25574902069065775,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,4,14,259.84158415841586,0.6172832174642129,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,4,14,519.6831683168317,0.9483265710469492,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,4,14,1299.2079207920792,0.9999901693113028,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,6,14,64.15841584158416,0.3016769285597305,9.411337422481012,10.513853964383197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,6,14,128.31683168316832,0.681573306216385,6.654820511471046,7.434417434620423
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,6,14,259.84158415841586,0.9715704922685793,4.676531163523377,5.224376037748106
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,6,14,519.6831683168317,0.9999519281677631,3.3068068981575953,3.6941917237601927
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,6,14,1299.2079207920792,0.9999999999999981,2.0914083161068913,2.336411992085155
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,2,28,64.15841584158416,0.010017626050789744,9.937642660102787,11.040159202004972
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,2,28,128.31683168316832,0.0230146289739622,7.026974513967401,7.806571437116778
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,2,28,259.84158415841586,0.06454567205320999,4.938054338687038,5.485899212911766
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,2,28,519.6831683168317,0.19698180533261855,3.4917317087532567,3.879116534355854
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,2,28,1299.2079207920792,0.6799215733657864,2.2083650355783973,2.4533687115566605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,4,28,64.15841584158416,0.06330103942311452,9.937642660102787,11.040159202004972
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,4,28,128.31683168316832,0.19310384906112943,7.026974513967401,7.806571437116778
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,4,28,259.84158415841586,0.535198738965009,4.938054338687038,5.485899212911766
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,4,28,519.6831683168317,0.9220259792162269,3.4917317087532567,3.879116534355854
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,4,28,1299.2079207920792,0.9999753259978535,2.2083650355783973,2.4533687115566605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,60,6,28,64.15841584158416,0.23281984518087684,9.937642660102787,11.040159202004972
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,120,6,28,128.31683168316832,0.6033757161642149,7.026974513967401,7.806571437116778
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,243,6,28,259.84158415841586,0.9549038998294872,4.938054338687038,5.485899212911766
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,486,6,28,519.6831683168317,0.9998879236985044,3.4917317087532567,3.879116534355854
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift0,1215,6,28,1299.2079207920792,0.9999999999999899,2.2083650355783973,2.4533687115566605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,2,1,64.15841584158416,0.13199057349665272,6.647229795614251,7.691038133754456
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,2,1,128.31683168316832,0.2212802879284977,4.700301264584105,5.438385218742105
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,2,1,259.84158415841586,0.39604650020972904,3.3030350411234446,3.821707574359574
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,2,1,519.6831683168317,0.6696930902026272,2.335598476075174,2.7023553415416464
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,2,1,1299.2079207920792,0.9666162029667699,1.477162176803167,1.7091195852787682
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,4,1,64.15841584158416,0.3920047865192091,6.647229795614251,7.691038133754456
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,4,1,128.31683168316832,0.6642940441311266,4.700301264584105,5.438385218742105
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,4,1,259.84158415841586,0.9240391476088607,3.3030350411234446,3.821707574359574
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,4,1,519.6831683168317,0.9977308212884247,2.335598476075174,2.7023553415416464
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,4,1,1299.2079207920792,0.9999999908013691,1.477162176803167,1.7091195852787682
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,6,1,64.15841584158416,0.7152661111122381,6.647229795614251,7.691038133754456
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,6,1,128.31683168316832,0.9469851097932156,4.700301264584105,5.438385218742105
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,6,1,259.84158415841586,0.9991234265639686,3.3030350411234446,3.821707574359574
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,6,1,519.6831683168317,0.9999999184516172,2.335598476075174,2.7023553415416464
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,6,1,1299.2079207920792,1.0,1.477162176803167,1.7091195852787682
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,2,7,64.15841584158416,0.03236079188142067,8.379622290638832,9.423430628779036
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,2,7,128.31683168316832,0.06706376525587152,5.9252877454926685,6.663371699650668
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,2,7,259.84158415841586,0.16017491202084988,4.163867792809095,4.682540326045225
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,2,7,519.6831683168317,0.38549518711115405,2.944299152259573,3.3110560177260453
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,2,7,1299.2079207920792,0.8650058946243764,1.8621382868086294,2.0940956952842305
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,4,7,64.15841584158416,0.1576307017361942,8.379622290638832,9.423430628779036
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,4,7,128.31683168316832,0.3798272568284666,5.9252877454926685,6.663371699650668
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,4,7,259.84158415841586,0.7588571333132625,4.163867792809095,4.682540326045225
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,4,7,519.6831683168317,0.9824823492286237,2.944299152259573,3.3110560177260453
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,4,7,1299.2079207920792,0.9999995116828176,1.8621382868086294,2.0940956952842305
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,6,7,64.15841584158416,0.435924608642773,8.379622290638832,9.423430628779036
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,6,7,128.31683168316832,0.81223245851831,5.9252877454926685,6.663371699650668
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,6,7,259.84158415841586,0.9917800712821873,4.163867792809095,4.682540326045225
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,6,7,519.6831683168317,0.9999967121583997,2.944299152259573,3.3110560177260453
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,6,7,1299.2079207920792,1.0,1.8621382868086294,2.0940956952842305
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,2,14,64.15841584158416,0.019189065074578546,8.910190551597337,9.95399888973754
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,2,14,128.31683168316832,0.04256748434896239,6.300456160698781,7.03854011485678
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,2,14,259.84158415841586,0.1117343884513885,4.427509281299554,4.9461818145356835
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,2,14,519.6831683168317,0.3033825670449001,3.1307218365732914,3.4974787020397637
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,2,14,1299.2079207920792,0.8104275437164121,1.9800423447994082,2.211999753275009
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,4,14,64.15841584158416,0.10974976512343715,8.910190551597337,9.95399888973754
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,4,14,128.31683168316832,0.298211535079229,6.300456160698781,7.03854011485678
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,4,14,259.84158415841586,0.6840357425571477,4.427509281299554,4.9461818145356835
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,4,14,519.6831683168317,0.970240051148024,3.1307218365732914,3.4974787020397637
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,4,14,1299.2079207920792,0.9999985134692907,1.9800423447994082,2.211999753275009
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,6,14,64.15841584158416,0.3501458137374245,8.910190551597337,9.95399888973754
