carrier,records,checkpoints,delta_rows,first_time,last_time,continuous_event_rows,continuous_valid_bbo_rows,continuous_ms_remainder_hist,all_iopv_raw_zero,all_receipt_exact_pit_false,reversed_or_empty_interval_rows,cum_volume_last_raw,source_kind,time_authority
512100.SH,4823,8,4815,2025-12-01 08:45:05,2025-12-01 15:00:02,4711,4711,"{""2000"": 4711}",True,True,1,296228774.0,baidu_user_a_share_tick_shidang,historical_market_replay
588000.SH,4975,8,4967,2025-12-01 08:45:00,2025-12-01 15:00:03,4740,4740,"{""0"": 4740}",True,True,1,2162018305.0,baidu_user_a_share_tick_shidang,historical_market_replay
