symbol,records,first_time,last_time,duplicate_observation_times,interval_seconds_hist,nonpositive_or_invalid_prices,null_volume_rows,timestamp_mode,exchange_publication_verified
000852.SH,4748,2025-12-01 09:25:00,2025-12-01 15:00:06,0,"{""174.0"": 1, ""3.0"": 4742, ""300.0"": 1, ""5394.0"": 1, ""6.0"": 2}",0,4748,"{""source_exact_3s"": 4748}",False
000688.SH,4746,2025-12-01 09:25:00,2025-12-01 15:00:06,0,"{""177.0"": 1, ""3.0"": 4740, ""300.0"": 1, ""5397.0"": 1, ""6.0"": 2}",0,4746,"{""source_exact_3s"": 4746}",False
