DGP_ASSUMED,method,family,family_size,repetitions,joint_rejections,joint_rejection_rate,MC95_lo,MC95_hi,severe_size_warning,complete_quantification_fraction,shared_calendar_and_pair_shocks
BLOCK_GAUSSIAN_RHO06,FIVE_YEAR_GROUP_T,INDEX_ALL_FROZEN_PAIRS,14,2000,34,0.017,0.012190680521843938,0.023661187151846397,False,1.0,True
BLOCK_GAUSSIAN_RHO06,FIVE_YEAR_GROUP_T,ETF_OBSERVED_ENDPOINTS,14,2000,35,0.0175,0.012609752959581211,0.024240197666827872,False,1.0,True
BLOCK_GAUSSIAN_RHO06,FIVE_YEAR_GROUP_T,COMBINED_28,28,2000,24,0.012,0.008077154276022635,0.017793883870480226,False,1.0,True
BLOCK_GAUSSIAN_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,INDEX_ALL_FROZEN_PAIRS,14,2000,19,0.0095,0.006090240228609851,0.014790383154299275,False,1.0,True
BLOCK_GAUSSIAN_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,ETF_OBSERVED_ENDPOINTS,14,2000,24,0.012,0.008077154276022635,0.017793883870480226,False,1.0,True
BLOCK_GAUSSIAN_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,COMBINED_28,28,2000,9,0.0045,0.0023692806369618345,0.008530513218759823,False,1.0,True
BLOCK_GAUSSIAN_RHO09,GRAPH_T_BASELINE,INDEX_ALL_FROZEN_PAIRS,14,2000,748,0.374,0.35305463871866954,0.39542845719620606,True,1.0,True
BLOCK_GAUSSIAN_RHO09,GRAPH_T_BASELINE,ETF_OBSERVED_ENDPOINTS,14,2000,772,0.386,0.3649019856224632,0.4075351011576624,True,1.0,True
BLOCK_GAUSSIAN_RHO09,GRAPH_T_BASELINE,COMBINED_28,28,2000,691,0.3455,0.3249733802642623,0.36661898734564474,True,1.0,True
BLOCK_GAUSSIAN_RHO09,EXPOSURE_SCORE_HAC6,INDEX_ALL_FROZEN_PAIRS,14,2000,198,0.099,0.08666951249362448,0.11286795942594038,True,1.0,True
BLOCK_GAUSSIAN_RHO09,EXPOSURE_SCORE_HAC6,ETF_OBSERVED_ENDPOINTS,14,2000,207,0.1035,0.09090135668779638,0.11761886180623717,True,1.0,True
BLOCK_GAUSSIAN_RHO09,EXPOSURE_SCORE_HAC6,COMBINED_28,28,2000,168,0.084,0.0726261614635203,0.09696882187448214,False,1.0,True
BLOCK_GAUSSIAN_RHO09,FIVE_YEAR_GROUP_T,INDEX_ALL_FROZEN_PAIRS,14,2000,87,0.0435,0.03540128785854411,0.0533489763092398,False,1.0,True
BLOCK_GAUSSIAN_RHO09,FIVE_YEAR_GROUP_T,ETF_OBSERVED_ENDPOINTS,14,2000,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,True
BLOCK_GAUSSIAN_RHO09,FIVE_YEAR_GROUP_T,COMBINED_28,28,2000,57,0.0285,0.022062516054529094,0.03674525953169242,False,1.0,True
BLOCK_GAUSSIAN_RHO09,ORACLE_MEAN_NORMAL_REFERENCE,INDEX_ALL_FROZEN_PAIRS,14,2000,20,0.01,0.006482767876552687,0.015395938459075187,False,1.0,True
BLOCK_GAUSSIAN_RHO09,ORACLE_MEAN_NORMAL_REFERENCE,ETF_OBSERVED_ENDPOINTS,14,2000,25,0.0125,0.008481081388571086,0.018388039710650523,False,1.0,True
BLOCK_GAUSSIAN_RHO09,ORACLE_MEAN_NORMAL_REFERENCE,COMBINED_28,28,2000,12,0.006,0.003435594376936234,0.010458448336941664,False,1.0,True
BLOCK_T5_RHO06,GRAPH_T_BASELINE,INDEX_ALL_FROZEN_PAIRS,14,2000,223,0.1115,0.0984436045333179,0.1260459412042156,True,1.0,True
BLOCK_T5_RHO06,GRAPH_T_BASELINE,ETF_OBSERVED_ENDPOINTS,14,2000,236,0.118,0.10458823578198477,0.13287638834089244,True,1.0,True
BLOCK_T5_RHO06,GRAPH_T_BASELINE,COMBINED_28,28,2000,183,0.0915,0.07963506675642809,0.10493116087235554,True,1.0,True
