id,layer,index_symbol,carrier,horizon,n,DGP_ASSUMED,method,repetitions,seed,rho_ASSUMED,lambda_nuisance,marginal_SD_target_bp,oracle_mean_SE_under_DGP_bp,null_rejections,null_rejection_rate,null_MC95_lo,null_MC95_hi,severe_size_warning,valid_fraction,invalid_replicates,mean_reported_SE_bp,mean_family14_interval_width_bp,marginal_family14_rejections,reference_not_deployable,estimand,power_positive_family14_effect2bp_ASSUMED,power_effect2_MC95_lo,power_effect2_MC95_hi,power_positive_family14_effect4bp_ASSUMED,power_effect4_MC95_lo,power_effect4_MC95_hi,power_positive_family14_effect6bp_ASSUMED,power_effect6_MC95_lo,power_effect6_MC95_hi
INDEX_ALL_FROZEN_PAIRS:512100.SH:5,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,32.16570132175501,0.8934917033820836,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,0.8816024757290845,10.822622277756683,10,False,equal_year_mean,0.0505,0.04173547326167801,0.06098795224416838,0.2745,0.255388334352249,0.294476253971596,0.6395,0.6182081309189591,0.6602570128895713
INDEX_ALL_FROZEN_PAIRS:512100.SH:5,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,5,1296,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,32.16570132175501,0.8934917033820836,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,0.8934917033820835,5.206780582715511,7,True,pair_weighted_mean,0.2475,0.2290824041590487,0.26688570471798395,0.941,0.9298033851481019,0.9505057791498329,1.0,0.9980829527187469,1.0
ETF_OBSERVED_ENDPOINTS:512100.SH:5,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,33.502366248346775,0.9408401776793013,82,0.041,0.03315349074927443,0.05060635865491575,False,1.0,0,0.9892079583331348,6.001061610139525,4,False,pair_weighted_mean,0.145,0.1302491199839655,0.16111198358572404,0.8455,0.8289990332937247,0.8606762870349296,0.999,0.9963610657309615,0.9997257210823479
ETF_OBSERVED_ENDPOINTS:512100.SH:5,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,33.502366248346775,0.9408401776793013,33,0.0165,0.01177282360725337,0.023080961113718216,False,1.0,0,1.2862075857642996,7.802819316786158,2,False,pair_weighted_mean,0.0655,0.05546852874487852,0.07719738534253028,0.558,0.536144266282096,0.5796333562332788,0.9405,0.9292636881836284,0.9500473931615877
ETF_OBSERVED_ENDPOINTS:512100.SH:5,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,33.502366248346775,0.9408401776793013,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,0.9325086681267811,11.44755075412405,11,False,equal_year_mean,0.046,0.03765702335931109,0.05608365557206656,0.2395,0.22130661403712606,0.2586921675964067,0.572,0.5501976494175025,0.5935262957739971
ETF_OBSERVED_ENDPOINTS:512100.SH:5,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,5,1268,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,33.502366248346775,0.9408401776793013,116,0.058,0.04857807145401382,0.06911659834261377,False,1.0,0,0.9408401776793016,5.482701574101071,7,True,pair_weighted_mean,0.209,0.1917467533223118,0.2273689681953773,0.9035,0.889774970136178,0.9156779727078507,1.0,0.9980829527187469,1.0
INDEX_ALL_FROZEN_PAIRS:512100.SH:15,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,53.26016264641441,1.4794489624004001,85,0.0425,0.03450117971009799,0.05225291855224844,False,1.0,0,1.5553850717848692,9.435793115737242,3,False,pair_weighted_mean,0.043,0.03495107254461269,0.05280110867045247,0.337,0.31661403832985313,0.3580109190838353,0.8005,0.78241724767193,0.817430606912037
INDEX_ALL_FROZEN_PAIRS:512100.SH:15,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,53.26016264641441,1.4794489624004001,30,0.015,0.010527098037106688,0.021332437825708653,False,1.0,0,2.0272693884168835,12.29849436385401,1,False,pair_weighted_mean,0.012,0.008077154276022635,0.017793883870480226,0.138,0.12357689890263988,0.15381104332898723,0.4895,0.4676328982207936,0.5114073597721125
INDEX_ALL_FROZEN_PAIRS:512100.SH:15,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,53.26016264641441,1.4794489624004001,97,0.0485,0.03992009344287708,0.05881100025209431,False,1.0,0,1.4603851008617754,17.92780392729695,10,False,equal_year_mean,0.015,0.010527098037106688,0.021332437825708653,0.077,0.06611031084545657,0.08951151115448341,0.2175,0.19997051831395962,0.2361126133999482
INDEX_ALL_FROZEN_PAIRS:512100.SH:15,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,15,1296,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,53.26016264641441,1.4794489624004001,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,1.4794489624004006,8.621418756756956,7,True,pair_weighted_mean,0.0615,0.05178817023412858,0.07289308023153022,0.4235,0.40201186066314715,0.44528144757088445,0.8735,0.8582120203166588,0.8873559453642452
