state,precision,recall,f1,support,predicted_count,symbol
UpTrend,0.8306878306878307,0.6885964912280702,0.7529976019184652,228,189,000688.SH
DownTrend,0.960880195599022,0.916083916083916,0.9379474940334128,429,409,000688.SH
Range,0.9294320137693631,0.7573632538569425,0.8346213292117465,713,581,000688.SH
Shock,0.5908256880733945,0.8994413407821229,0.7131782945736435,358,545,000688.SH
UpTrend,0.9255079006772009,0.8836206896551724,0.9040793825799338,464,443,000852.SH
DownTrend,0.9120879120879121,0.8877005347593583,0.8997289972899729,374,364,000852.SH
Range,0.9305301645338209,0.7654135338345864,0.8399339933993399,665,547,000852.SH
Shock,0.6072961373390557,0.8927444794952681,0.722860791826309,317,466,000852.SH
