symbol,cell,event_day,control_day,side,parent_direction,event_entry_idx,control_entry_idx,match_distance,event_seg_0_1_bp,control_seg_0_1_bp,incremental_seg_0_1_bp,event_seg_1_5_bp,control_seg_1_5_bp,incremental_seg_1_5_bp,event_seg_5_15_bp,control_seg_5_15_bp,incremental_seg_5_15_bp,event_seg_15_30_bp,control_seg_15_30_bp,incremental_seg_15_30_bp,event_seg_30_60_bp,control_seg_30_60_bp,incremental_seg_30_60_bp,event_seg_60_120_bp,control_seg_60_120_bp,incremental_seg_60_120_bp,event_seg_120_240_bp,control_seg_120_240_bp,incremental_seg_120_240_bp,event_same_session_bp,control_same_session_bp,incremental_same_session_bp,event_overnight_bp,control_overnight_bp,incremental_overnight_bp,event_next_session_bp,control_next_session_bp,incremental_next_session_bp,event_bars_to_MFE,event_bars_to_MAE,control_bars_to_MFE,control_bars_to_MAE
000852.SH,R1_A,2021-01-04,2021-01-04,LONG,1,350759,350757,0.025940438144008798,2.5000000130222437,1.13267858748256,1.3673214255396837,6.511771027526077,9.40950988543472,-2.8977388579086423,1.33710760315385,6.757620575854907,-5.420512972701057,-10.407709700029736,-14.122749743415513,3.715040043385777,-15.307830146199636,-9.681411711492377,-5.62641843470726,13.528027081858056,3.3262834094077456,10.201743672450311,-9.183520936001225,-9.039475442653147,-0.14404549334807726,-0.5736175634437449,1.618072996274621,-2.191690559718366,-29.076938804359244,-29.076938804359244,0.0,18.62840131113243,15.241321368699985,3.387079942432443,86,151,88,153
000852.SH,R1_A,2021-01-05,2021-12-27,LONG,1,350810,407709,0.47310060585068187,-0.191002181103842,-0.5895772988810029,0.3985751177771608,-3.012439930115824,-1.0254346249557151,-1.9870053051601089,-3.7043407358657854,9.314775353966857,-13.019116089832643,28.599510634167665,12.568234230699709,16.031276403467956,-55.187518417967226,-1.2663465854020437,-53.92117183256518,-5.367393802116217,-99.6987750991268,94.3313812970106,-28.433259016308988,82.85006760566954,-111.28332662197852,1.7335452807242469,-33.37859655904763,35.11214183977188,1.6598083326704087,23.18426872295732,-21.52446039028691,-70.68979706270316,12.347271418060304,-83.03706848076347,35,100,40,120
000852.SH,R1_A,2021-01-05,2021-11-02,LONG,1,350919,398439,2.03576809645805,3.4048903436130997,5.7090699863930965,-2.3041796427799968,13.371477558304067,-29.251407272176973,42.62288483048104,25.849096204490387,-47.251602326932534,73.10069853142292,-0.3096164663131796,-96.69491714372374,96.38530067741057,22.179652421438558,-2.295797061625025,24.47544948306358,13.466391925248027,67.60045057719361,-54.13405865194559,-154.88003163897613,-33.51836142027845,-121.36167021869768,79.06368681166386,-99.34744122957377,178.41112804123765,1.6598083326704087,-16.366560190971565,18.026368523641974,-157.64163479652885,-19.98856324060667,-137.65307155592217,123,211,1,67
000852.SH,R1_A,2021-01-08,2021-01-08,SHORT,-1,351523,351522,0.2551442747741241,1.5978974746891421,29.902020305011774,-28.304122830322633,56.807234573640244,41.84246887707066,14.964765696569586,-71.51346623218498,-38.296312880579634,-33.21715335160535,13.853987898050958,-6.984574114620491,20.83856201267145,-89.64186100624943,-82.38055045849376,-7.26131054775567,90.06797380750356,81.93942308897965,8.128550718523911,43.42159947707841,38.283100561287846,5.138498915790564,-20.825391998147794,9.076628306864862,-29.902020305012655,22.864658538872096,22.864658538872096,0.0,42.554099451802436,32.364288532917634,10.189810918884803,8,73,9,74
000852.SH,R1_A,2021-01-08,2021-01-29,SHORT,-1,351542,355126,1.8317348443554569,8.931100592203641,-8.155431178148177,17.08653177035182,7.51746470718623,22.668692402363508,-15.151227695177278,-42.43311569212312,54.68728948575613,-97.12040517787925,-36.553446502876845,49.24170826659721,-85.79515476947405,-51.83549223395408,25.742750301284307,-77.57824253523839,71.03749939241875,10.848131178440958,60.189368213977794,29.794262226246005,82.9216019911028,-53.1273397648568,-49.153612741546496,224.20825032034853,-273.361863061895,22.864658538872096,33.78097084040988,-10.916312301537783,12.747226691775706,-20.03447871336226,32.78170540513797,233,54,204,1
000852.SH,R1_A,2021-01-08,2021-03-12,LONG,1,351659,361242,1.4464344153749074,2.2616621795450267,0.8202238250664546,1.441438354478572,-17.72752490888006,5.321778821603957,-23.049303730484016,13.18850481903302,-10.936028545789187,24.124533364822206,-27.642892339609492,11.530734218895317,-39.17362655850481,-17.449152352669255,-9.551713441565672,-7.897438911103583,-28.180972449595473,-49.48022100687092,21.299248557275448,-26.52744893517385,9.292171570213943,-35.819620505387796,-2.9910367809265397,4.6952736180999235,-7.686310399026463,-22.864658538872096,-33.89721850761591,11.032559968743815,-76.22212866755005,-13.801109668931778,-62.42101899861827,13,240,181,121
000852.SH,R1_A,2021-01-11,2021-09-23,LONG,1,351781,392810,0.7345495744866585,8.385169414347207,17.420470767532038,-9.035301353184831,-2.392867741462431,-5.2664276687170535,2.8735599272546226,20.389602127156795,10.593945573876457,9.795656553280338,-6.878175911166404,-20.367191708866468,13.489015797700063,-9.60997439972507,16.67528097539965,-26.28525537512472,-70.90509395545598,11.10993457254682,-82.0150285280028,-15.096011485244809,-95.42293302846342,80.32692154321862,-123.53982970018512,-6.12099353356927,-117.41883616661585,-62.70438516287022,-26.65330876870034,-36.051076394169876,110.13686291150628,-32.482618214421784,142.61948112592808,41,220,113,240
000852.SH,R1_A,2021-01-13,2021-01-13,LONG,1,352316,352315,0.09558348844083157,-10.6564277064721,-0.504979789438923,-10.151447917033176,7.534168267265997,-9.75264045431174,17.286808721577735,-18.27864168371553,-12.813833334182142,-5.464808349533389,47.62609507612002,50.43990619058492,-2.8138111144648974,-42.35204359319345,-37.717979693507566,-4.634063899685884,-21.8348571238157,-22.650135777348304,0.8152786535326051,15.916690172234716,17.21081054857079,-1.2941203763360747,-32.35651052349322,-32.86149031293197,0.5049797894387495,-42.277636473507805,-42.277636473507805,0.0,52.58913040542342,59.35027447680759,-6.761144071384173,29,201,30,202
000852.SH,R1_A,2021-01-14,2021-01-21,LONG,1,352524,353711,0.515907224386268,8.754498860523674,0.20909847194466505,8.545400388579008,-9.204051671816787,-12.86769691125916,3.6636452394423724,46.36783907938834,19.571465979343273,26.796373100045066,62.74357867468572,8.533709413976418,54.209869260709304,32.80676590431512,41.86170638546055,-9.05494048114543,-16.244496964283684,43.28424129292404,-59.52873825720772,-21.163510129311316,-84.72840055887498,63.56489042956366,86.17236910687154,74.06035882361455,12.112010283256993,-12.410049887336832,-23.68962371801698,11.279573830680146,30.29830453396806,-34.506611032085836,64.8049155660539,68,3,148,7
000852.SH,R1_A,2021-01-14,2021-03-08,SHORT,-1,352618,360298,0.13473872032789388,-5.15678867446856,-1.5299567114539805,-3.6268319630145793,-6.331408123928179,2.107654305659387,-8.439062429587565,-1.024271411417637,35.94526680961318,-36.96953822103082,4.816517536935001,-39.64507647553627,44.461594012471274,21.557473999015897,50.18094879962926,-28.623474800613366,29.27181030989542,289.73234447537556,-260.4605341654801,86.1000921347842,-153.35241596706555,239.45250810184976,40.735565393436914,121.37525827495749,-80.63969288152057,12.410049887336832,15.942786499639483,-3.532736612302651,76.08781049004286,46.120720461625105,29.96709002841775,230,40,132,24
