pair_id,symbol,event_day,control_day,side,horizon,index_event,index_control,index_incremental,etf_event,etf_control,etf_incremental,event_tracking_residual,incremental_tracking_residual
000852.SH:R1_A:350759:350757,000852.SH,2021-01-04,2021-01-04,LONG,1,0.0002500312539068794,0.0001132742737943726,0.0001367569801125068,0.0,0.0010460251046024993,-0.0010460251046024993,-0.0002500312539068794,-0.0011827820847150061
000852.SH:R1_A:350810:407709,000852.SH,2021-01-05,2021-12-27,LONG,1,-1.9100035702379614e-05,-5.895599191529932e-05,3.985595621291971e-05,0.0,0.0,0.0,1.9100035702379614e-05,-3.985595621291971e-05
000852.SH:R1_A:350919:398439,000852.SH,2021-01-05,2021-11-02,LONG,1,0.00034054700733210375,0.0005710699970573607,-0.00023052298972525698,0.0,0.0,0.0,-0.00034054700733210375,0.00023052298972525698
000852.SH:R1_A:351523:351522,000852.SH,2021-01-08,2021-01-08,SHORT,1,0.00015977698176716792,0.002985735829133418,-0.00282595884736625,-0.0,0.0042918454935622075,-0.0042918454935622075,-0.00015977698176716792,-0.0014658866461959574
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,1,0.0008927113551358001,-0.0008158757635261527,0.0017085871186619528,0.0010775862068965747,-0.0,0.0010775862068965747,0.00018487485176077456,-0.0006310009117653781
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,1,0.0008388685950475594,0.001743565322252394,-0.0009046967272048345,0.001079913606911509,0.0017621145374449032,-0.0006822009305333943,0.00024104501186394955,0.00022249579667144026
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,1,0.0008758332041542971,2.091006580684507e-05,0.000854923138347452,0.002195389681668436,0.0010593220338983578,0.0011360676477700782,0.0013195564775141388,0.00028114450942262614
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,1,-0.0005158118526522593,-0.00015300737557999433,-0.00036280447707226493,-0.0,-0.0,0.0,0.0005158118526522593,0.00036280447707226493
000852.SH:R1_A:353342:353340,000852.SH,2021-01-19,2021-01-19,LONG,1,-0.0002608159943159327,0.0007094772967264351,-0.0009702932910423678,0.0,0.0,0.0,0.0002608159943159327,0.0009702932910423678
000852.SH:R1_A:354524:354521,000852.SH,2021-01-26,2021-01-26,SHORT,1,0.00016041089633012096,0.0002319300547781733,-7.151915844805234e-05,-0.00108108108108107,0.0010775862068965747,-0.0021586672879776447,-0.001241491977411191,-0.0020871481295295924
000852.SH:R1_A:354630:368319,000852.SH,2021-01-26,2021-04-23,SHORT,1,9.028157138890602e-05,3.8738368804747125e-05,5.15432025841589e-05,-0.0,-0.0,0.0,-9.028157138890602e-05,-5.15432025841589e-05
000852.SH:R1_A:354742:404439,000852.SH,2021-01-27,2021-12-07,SHORT,1,-0.00021494183520398558,-0.0002723489972547011,5.74071620507155e-05,-0.0,-0.0,0.0,0.00021494183520398558,-5.74071620507155e-05
000852.SH:R1_A:355134:355133,000852.SH,2021-01-29,2021-01-29,SHORT,1,0.000655198870754603,0.0009872696629912303,-0.0003320707922366273,-0.0,0.001098901098901095,-0.001098901098901095,-0.000655198870754603,-0.0007668303066644677
000852.SH:R1_A:355182:360705,000852.SH,2021-01-29,2021-03-10,SHORT,1,-2.0471699450297365e-05,0.0001409725136382045,-0.00016144421308850188,-0.0,-0.0,0.0,2.0471699450297365e-05,0.00016144421308850188
000852.SH:R1_A:355254:404444,000852.SH,2021-01-29,2021-12-07,SHORT,1,0.0009437222742127993,0.0007055182340415245,0.00023820404017127483,-0.0,-0.0,0.0,-0.0009437222742127993,-0.00023820404017127483
000852.SH:R1_A:355377:358482,000852.SH,2021-02-01,2021-02-25,SHORT,1,-0.0013508056534303758,0.000712524826312344,-0.00206333047974272,-0.0,0.0010917030567685337,-0.0010917030567685337,0.0013508056534303758,0.0009716274229741861
