pair_id,index_symbol,event_day,control_day,side,horizon,event_entry_timestamp,event_entry_status,event_exit_timestamp,event_exit_status,event_action_crossing,control_entry_timestamp,control_entry_status,control_exit_timestamp,control_exit_status,control_action_crossing,eligible,reason
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,1,2021-01-04T09:38:00+08:00,valid,2021-01-04T09:39:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T09:32:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,5,2021-01-04T09:38:00+08:00,valid,2021-01-04T09:43:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T09:36:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,15,2021-01-04T09:38:00+08:00,valid,2021-01-04T09:53:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T09:46:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,30,2021-01-04T09:38:00+08:00,valid,2021-01-04T10:08:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T10:01:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,60,2021-01-04T09:38:00+08:00,valid,2021-01-04T10:38:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T10:31:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,120,2021-01-04T09:38:00+08:00,valid,2021-01-04T13:08:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-13T13:01:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26407:81120,000688.SH,2021-01-04,2021-12-13,LONG,240,2021-01-04T09:38:00+08:00,valid,2021-01-05T09:38:00+08:00,valid,False,2021-12-13T09:31:00+08:00,valid,2021-12-14T09:31:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26472:81183,000688.SH,2021-01-04,2021-12-13,LONG,1,2021-01-04T10:43:00+08:00,valid,2021-01-04T10:44:00+08:00,valid,False,2021-12-13T10:34:00+08:00,valid,2021-12-13T10:35:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26472:81183,000688.SH,2021-01-04,2021-12-13,LONG,5,2021-01-04T10:43:00+08:00,valid,2021-01-04T10:48:00+08:00,valid,False,2021-12-13T10:34:00+08:00,valid,2021-12-13T10:39:00+08:00,valid,False,True,four_exact_observed_endpoints
000688.SH:R1_A:26472:81183,000688.SH,2021-01-04,2021-12-13,LONG,15,2021-01-04T10:43:00+08:00,valid,2021-01-04T10:58:00+08:00,valid,False,2021-12-13T10:34:00+08:00,valid,2021-12-13T10:49:00+08:00,valid,False,True,four_exact_observed_endpoints
