symbol,trading_day,timestamp,open,high,low,close
000852.SH,2021-01-04,2021-01-04T09:31:00Z,6671.93,6680.86,6671.87,6680.86
000852.SH,2021-01-04,2021-01-04T09:32:00Z,6680.5,6689.08,6680.5,6688.33
000852.SH,2021-01-04,2021-01-04T09:33:00Z,6688.42,6689.72,6688.42,6689.72
000852.SH,2021-01-04,2021-01-04T09:34:00Z,6689.25,6689.25,6678.43,6678.43
000852.SH,2021-01-04,2021-01-04T09:35:00Z,6678.27,6678.27,6667.41,6667.41
000852.SH,2021-01-04,2021-01-04T09:36:00Z,6666.97,6672.1,6662.8,6672.1
000852.SH,2021-01-04,2021-01-04T09:37:00Z,6672.47,6677.03,6672.47,6677.03
000852.SH,2021-01-04,2021-01-04T09:38:00Z,6677.73,6683.27,6677.73,6683.27
000852.SH,2021-01-04,2021-01-04T09:39:00Z,6684.31,6695.38,6684.31,6695.38
000852.SH,2021-01-04,2021-01-04T09:40:00Z,6696.01,6699.08,6696.01,6699.08
000852.SH,2021-01-04,2021-01-04T09:41:00Z,6700.03,6706.55,6699.93,6706.55
000852.SH,2021-01-04,2021-01-04T09:42:00Z,6707.38,6713.91,6707.38,6713.91
000852.SH,2021-01-04,2021-01-04T09:43:00Z,6714.38,6715.32,6714.08,6715.32
000852.SH,2021-01-04,2021-01-04T09:44:00Z,6715.56,6717.93,6715.56,6717.93
000852.SH,2021-01-04,2021-01-04T09:45:00Z,6718.76,6724.83,6718.68,6724.83
000852.SH,2021-01-04,2021-01-04T09:46:00Z,6725.5,6725.5,6721.42,6721.42
000852.SH,2021-01-04,2021-01-04T09:47:00Z,6721.0,6721.0,6716.44,6716.66
000852.SH,2021-01-04,2021-01-04T09:48:00Z,6717.02,6718.4,6716.38,6718.4
000852.SH,2021-01-04,2021-01-04T09:49:00Z,6717.81,6718.02,6716.83,6717.05
000852.SH,2021-01-04,2021-01-04T09:50:00Z,6716.89,6717.08,6716.34,6716.75
000852.SH,2021-01-04,2021-01-04T09:51:00Z,6716.93,6717.53,6713.54,6717.53
000852.SH,2021-01-04,2021-01-04T09:52:00Z,6718.36,6718.86,6717.78,6718.12
000852.SH,2021-01-04,2021-01-04T09:53:00Z,6718.43,6718.92,6717.72,6718.92
000852.SH,2021-01-04,2021-01-04T09:54:00Z,6718.76,6721.73,6718.76,6721.65
000852.SH,2021-01-04,2021-01-04T09:55:00Z,6721.73,6722.01,6719.2,6719.2
000852.SH,2021-01-04,2021-01-04T09:56:00Z,6718.56,6718.8,6713.01,6713.01
000852.SH,2021-01-04,2021-01-04T09:57:00Z,6712.29,6714.47,6712.29,6714.47
000852.SH,2021-01-04,2021-01-04T09:58:00Z,6714.85,6717.72,6714.85,6717.51
000852.SH,2021-01-04,2021-01-04T09:59:00Z,6717.77,6718.05,6717.45,6717.78
000852.SH,2021-01-04,2021-01-04T10:00:00Z,6717.76,6717.76,6717.04,6717.68
000852.SH,2021-01-04,2021-01-04T10:01:00Z,6717.75,6721.85,6717.48,6721.85
000852.SH,2021-01-04,2021-01-04T10:02:00Z,6722.42,6723.09,6721.5,6722.26
000852.SH,2021-01-04,2021-01-04T10:03:00Z,6722.1,6725.2,6722.1,6725.2
000852.SH,2021-01-04,2021-01-04T10:04:00Z,6725.83,6728.18,6725.83,6728.18
000852.SH,2021-01-04,2021-01-04T10:05:00Z,6728.68,6729.91,6728.68,6729.09
000852.SH,2021-01-04,2021-01-04T10:06:00Z,6729.4,6730.06,6728.8,6728.92
000852.SH,2021-01-04,2021-01-04T10:07:00Z,6728.77,6732.01,6727.96,6732.01
000852.SH,2021-01-04,2021-01-04T10:08:00Z,6732.37,6733.1,6729.89,6729.89
000852.SH,2021-01-04,2021-01-04T10:09:00Z,6729.58,6731.71,6729.58,6731.71
000852.SH,2021-01-04,2021-01-04T10:10:00Z,6731.81,6732.86,6731.81,6732.86
000852.SH,2021-01-04,2021-01-04T10:11:00Z,6732.69,6735.8,6732.21,6735.8
000852.SH,2021-01-04,2021-01-04T10:12:00Z,6735.99,6735.99,6732.42,6732.44
000852.SH,2021-01-04,2021-01-04T10:13:00Z,6732.39,6733.4,6731.96,6733.4
000852.SH,2021-01-04,2021-01-04T10:14:00Z,6733.61,6733.87,6731.07,6731.07
000852.SH,2021-01-04,2021-01-04T10:15:00Z,6730.5,6730.5,6727.57,6727.57
000852.SH,2021-01-04,2021-01-04T10:16:00Z,6727.61,6729.87,6727.61,6729.87
000852.SH,2021-01-04,2021-01-04T10:17:00Z,6729.74,6730.8,6729.03,6730.8
000852.SH,2021-01-04,2021-01-04T10:18:00Z,6730.89,6733.6,6730.89,6733.45
000852.SH,2021-01-04,2021-01-04T10:19:00Z,6733.9,6736.06,6733.9,6735.73
000852.SH,2021-01-04,2021-01-04T10:20:00Z,6736.0,6736.49,6735.88,6736.35
000852.SH,2021-01-04,2021-01-04T10:21:00Z,6736.24,6736.64,6735.56,6736.59
000852.SH,2021-01-04,2021-01-04T10:22:00Z,6737.14,6739.33,6737.14,6739.33
000852.SH,2021-01-04,2021-01-04T10:23:00Z,6739.29,6740.85,6739.29,6740.85
000852.SH,2021-01-04,2021-01-04T10:24:00Z,6741.14,6742.38,6741.14,6741.93
000852.SH,2021-01-04,2021-01-04T10:25:00Z,6741.57,6743.5,6741.57,6743.5
000852.SH,2021-01-04,2021-01-04T10:26:00Z,6743.97,6747.73,6743.97,6747.7
000852.SH,2021-01-04,2021-01-04T10:27:00Z,6747.78,6748.17,6745.52,6745.52
000852.SH,2021-01-04,2021-01-04T10:28:00Z,6745.03,6745.25,6742.38,6742.38
000852.SH,2021-01-04,2021-01-04T10:29:00Z,6742.89,6745.09,6742.89,6745.09
000852.SH,2021-01-04,2021-01-04T10:30:00Z,6745.17,6747.24,6745.05,6747.24
000852.SH,2021-01-04,2021-01-04T10:31:00Z,6747.29,6751.05,6747.29,6751.05
000852.SH,2021-01-04,2021-01-04T10:32:00Z,6751.73,6755.63,6751.73,6755.63
000852.SH,2021-01-04,2021-01-04T10:33:00Z,6755.38,6755.45,6751.88,6752.62
000852.SH,2021-01-04,2021-01-04T10:34:00Z,6752.86,6752.86,6752.2,6752.84
000852.SH,2021-01-04,2021-01-04T10:35:00Z,6753.05,6754.23,6752.69,6754.23
000852.SH,2021-01-04,2021-01-04T10:36:00Z,6754.06,6754.07,6749.31,6749.94
000852.SH,2021-01-04,2021-01-04T10:37:00Z,6750.07,6750.24,6747.99,6747.99
000852.SH,2021-01-04,2021-01-04T10:38:00Z,6747.61,6747.61,6743.53,6743.53
000852.SH,2021-01-04,2021-01-04T10:39:00Z,6743.16,6743.54,6742.87,6743.18
000852.SH,2021-01-04,2021-01-04T10:40:00Z,6742.97,6742.97,6740.07,6740.51
000852.SH,2021-01-04,2021-01-04T10:41:00Z,6740.48,6743.33,6740.13,6743.21
000852.SH,2021-01-04,2021-01-04T10:42:00Z,6743.46,6745.62,6743.46,6745.46
000852.SH,2021-01-04,2021-01-04T10:43:00Z,6745.34,6745.76,6744.19,6744.3
000852.SH,2021-01-04,2021-01-04T10:44:00Z,6744.35,6744.46,6743.48,6743.73
000852.SH,2021-01-04,2021-01-04T10:45:00Z,6744.16,6749.5,6744.16,6749.5
000852.SH,2021-01-04,2021-01-04T10:46:00Z,6749.98,6750.08,6747.08,6747.13
000852.SH,2021-01-04,2021-01-04T10:47:00Z,6746.94,6749.34,6746.79,6749.34
000852.SH,2021-01-04,2021-01-04T10:48:00Z,6749.22,6750.19,6749.22,6749.54
000852.SH,2021-01-04,2021-01-04T10:49:00Z,6748.91,6750.66,6748.33,6748.33
000852.SH,2021-01-04,2021-01-04T10:50:00Z,6747.95,6750.76,6747.28,6750.76
000852.SH,2021-01-04,2021-01-04T10:51:00Z,6751.05,6754.33,6750.87,6754.33
000852.SH,2021-01-04,2021-01-04T10:52:00Z,6754.56,6754.98,6752.9,6752.9
000852.SH,2021-01-04,2021-01-04T10:53:00Z,6752.9,6753.43,6752.57,6753.43
000852.SH,2021-01-04,2021-01-04T10:54:00Z,6753.49,6757.09,6753.49,6757.09
000852.SH,2021-01-04,2021-01-04T10:55:00Z,6757.51,6761.01,6757.51,6761.01
000852.SH,2021-01-04,2021-01-04T10:56:00Z,6761.27,6761.27,6758.47,6759.42
000852.SH,2021-01-04,2021-01-04T10:57:00Z,6759.63,6762.05,6759.28,6762.05
000852.SH,2021-01-04,2021-01-04T10:58:00Z,6762.71,6763.93,6762.71,6763.93
000852.SH,2021-01-04,2021-01-04T10:59:00Z,6764.0,6765.99,6764.0,6765.99
000852.SH,2021-01-04,2021-01-04T11:00:00Z,6766.58,6766.83,6765.42,6765.59
000852.SH,2021-01-04,2021-01-04T11:01:00Z,6765.6,6765.6,6763.14,6763.32
000852.SH,2021-01-04,2021-01-04T11:02:00Z,6763.24,6766.49,6763.24,6766.49
000852.SH,2021-01-04,2021-01-04T11:03:00Z,6766.31,6767.27,6765.9,6766.89
000852.SH,2021-01-04,2021-01-04T11:04:00Z,6767.2,6768.81,6767.2,6768.81
000852.SH,2021-01-04,2021-01-04T11:05:00Z,6768.81,6772.41,6768.81,6772.41
000852.SH,2021-01-04,2021-01-04T11:06:00Z,6772.57,6774.01,6772.57,6774.01
000852.SH,2021-01-04,2021-01-04T11:07:00Z,6774.3,6774.8,6773.66,6774.33
000852.SH,2021-01-04,2021-01-04T11:08:00Z,6774.37,6776.73,6774.37,6776.73
000852.SH,2021-01-04,2021-01-04T11:09:00Z,6776.8,6777.26,6776.01,6776.93
000852.SH,2021-01-04,2021-01-04T11:10:00Z,6777.19,6777.93,6777.19,6777.49
000852.SH,2021-01-04,2021-01-04T11:11:00Z,6777.39,6777.39,6775.82,6775.82
000852.SH,2021-01-04,2021-01-04T11:12:00Z,6775.92,6775.92,6775.06,6775.15
000852.SH,2021-01-04,2021-01-04T11:13:00Z,6775.06,6775.91,6774.87,6775.68
000852.SH,2021-01-04,2021-01-04T11:14:00Z,6775.86,6776.38,6775.64,6775.64
000852.SH,2021-01-04,2021-01-04T11:15:00Z,6775.97,6778.34,6775.97,6778.34
000852.SH,2021-01-04,2021-01-04T11:16:00Z,6778.25,6780.18,6778.25,6780.18
000852.SH,2021-01-04,2021-01-04T11:17:00Z,6779.76,6780.42,6779.6,6780.42
000852.SH,2021-01-04,2021-01-04T11:18:00Z,6780.42,6780.42,6778.29,6778.29
000852.SH,2021-01-04,2021-01-04T11:19:00Z,6777.77,6777.77,6774.46,6774.46
000852.SH,2021-01-04,2021-01-04T11:20:00Z,6774.2,6774.2,6772.86,6773.13
000852.SH,2021-01-04,2021-01-04T11:21:00Z,6773.55,6775.02,6773.42,6774.9
000852.SH,2021-01-04,2021-01-04T11:22:00Z,6775.24,6777.97,6775.24,6777.97
000852.SH,2021-01-04,2021-01-04T11:23:00Z,6777.94,6778.96,6777.94,6778.75
000852.SH,2021-01-04,2021-01-04T11:24:00Z,6778.92,6780.49,6778.92,6780.37
000852.SH,2021-01-04,2021-01-04T11:25:00Z,6780.03,6780.07,6775.67,6775.67
000852.SH,2021-01-04,2021-01-04T11:26:00Z,6775.62,6776.73,6775.62,6776.35
000852.SH,2021-01-04,2021-01-04T11:27:00Z,6776.46,6776.78,6776.19,6776.5
000852.SH,2021-01-04,2021-01-04T11:28:00Z,6776.8,6777.82,6776.8,6777.82
000852.SH,2021-01-04,2021-01-04T11:29:00Z,6777.83,6779.59,6777.83,6779.59
000852.SH,2021-01-04,2021-01-04T11:30:00Z,6779.78,6782.54,6779.78,6782.48
000852.SH,2021-01-04,2021-01-04T13:01:00Z,6782.75,6790.67,6782.75,6789.56
000852.SH,2021-01-04,2021-01-04T13:02:00Z,6789.92,6791.67,6789.92,6791.67
000852.SH,2021-01-04,2021-01-04T13:03:00Z,6791.76,6791.76,6787.64,6787.99
000852.SH,2021-01-04,2021-01-04T13:04:00Z,6788.12,6788.97,6788.11,6788.67
000852.SH,2021-01-04,2021-01-04T13:05:00Z,6789.18,6790.98,6789.18,6790.61
000852.SH,2021-01-04,2021-01-04T13:06:00Z,6790.43,6791.11,6790.28,6790.28
000852.SH,2021-01-04,2021-01-04T13:07:00Z,6790.57,6791.39,6789.81,6789.81
000852.SH,2021-01-04,2021-01-04T13:08:00Z,6789.51,6790.65,6788.82,6790.65
000852.SH,2021-01-04,2021-01-04T13:09:00Z,6790.74,6791.87,6790.62,6791.87
000852.SH,2021-01-04,2021-01-04T13:10:00Z,6792.0,6795.15,6792.0,6795.15
000852.SH,2021-01-04,2021-01-04T13:11:00Z,6795.26,6795.36,6794.46,6794.56
000852.SH,2021-01-04,2021-01-04T13:12:00Z,6794.14,6794.18,6792.1,6792.32
000852.SH,2021-01-04,2021-01-04T13:13:00Z,6792.25,6792.43,6791.11,6791.11
000852.SH,2021-01-04,2021-01-04T13:14:00Z,6791.38,6791.38,6790.54,6790.66
000852.SH,2021-01-04,2021-01-04T13:15:00Z,6790.43,6790.43,6788.46,6788.93
000852.SH,2021-01-04,2021-01-04T13:16:00Z,6789.15,6790.59,6788.52,6790.59
000852.SH,2021-01-04,2021-01-04T13:17:00Z,6790.8,6792.64,6790.8,6792.64
000852.SH,2021-01-04,2021-01-04T13:18:00Z,6792.79,6794.54,6792.79,6794.1
000852.SH,2021-01-04,2021-01-04T13:19:00Z,6794.28,6794.95,6794.15,6794.81
000852.SH,2021-01-04,2021-01-04T13:20:00Z,6794.96,6796.56,6794.83,6796.56
000852.SH,2021-01-04,2021-01-04T13:21:00Z,6796.77,6798.21,6796.69,6798.21
000852.SH,2021-01-04,2021-01-04T13:22:00Z,6798.37,6798.71,6797.6,6797.64
