trading_day,prior_trading_day_for_contract_selection,entry_bbo_window_start,entry_bbo_window_end,entry_action,exit_bbo_window_start,exit_bbo_window_end,exit_action,exit_window_basis,cash_index_1m_outcome,cash_index_3s_observed_outcome
2025-07-29,2025-07-28,2025-07-29 09:54:57+08:00,2025-07-29 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-07-29 09:55:24+08:00,2025-07-29 09:55:36+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-08-08,2025-08-07,2025-08-08 09:39:57+08:00,2025-08-08 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-08-08 09:40:45+08:00,2025-08-08 09:40:57+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-08-12,2025-08-11,2025-08-12 09:49:57+08:00,2025-08-12 09:50:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-08-12 09:59:54+08:00,2025-08-12 10:00:06+08:00,SELL_OPEN_RESTORE_IM_SHORT,frozen_10m_timeout,time_out,no_observed_cross
2025-08-20,2025-08-19,2025-08-20 09:39:57+08:00,2025-08-20 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-08-20 09:41:21+08:00,2025-08-20 09:41:33+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-08-28,2025-08-27,2025-08-28 09:44:57+08:00,2025-08-28 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-08-28 09:46:09+08:00,2025-08-28 09:46:21+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-09-09,2025-09-08,2025-09-09 09:44:57+08:00,2025-09-09 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-09-09 09:46:12+08:00,2025-09-09 09:46:24+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-09-11,2025-09-10,2025-09-11 09:44:57+08:00,2025-09-11 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-09-11 09:46:21+08:00,2025-09-11 09:46:33+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-10-22,2025-10-21,2025-10-22 09:54:57+08:00,2025-10-22 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-10-22 09:56:30+08:00,2025-10-22 09:56:42+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-10-28,2025-10-27,2025-10-28 09:44:57+08:00,2025-10-28 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-10-28 09:49:54+08:00,2025-10-28 09:50:06+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-11-05,2025-11-04,2025-11-05 09:39:57+08:00,2025-11-05 09:40:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-11-05 09:40:39+08:00,2025-11-05 09:40:51+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-11-12,2025-11-11,2025-11-12 09:54:57+08:00,2025-11-12 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-11-12 10:02:27+08:00,2025-11-12 10:02:39+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-11-14,2025-11-13,2025-11-14 09:44:57+08:00,2025-11-14 09:45:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-11-14 09:47:06+08:00,2025-11-14 09:47:18+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-12-05,2025-12-04,2025-12-05 09:54:57+08:00,2025-12-05 09:55:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-12-05 09:59:00+08:00,2025-12-05 09:59:12+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,target_first,target_first
2025-12-10,2025-12-09,2025-12-10 09:49:57+08:00,2025-12-10 09:50:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-12-10 09:55:12+08:00,2025-12-10 09:55:24+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
2025-12-15,2025-12-12,2025-12-15 09:49:57+08:00,2025-12-15 09:50:06+08:00,BUY_CLOSE_PRIOR_DAY_IM_SHORT,2025-12-15 09:51:00+08:00,2025-12-15 09:51:12+08:00,SELL_OPEN_RESTORE_IM_SHORT,3s_observed_crossing,stop_first,stop_first
