pair_id,event_day,control_day,horizon,clock_selected_before_eligibility,endpoint_eligible,retained_for_sensitivity,carrier
000852.SH:R1_A:374667:354996,2021-06-04,2021-01-28,1,True,False,False,512100.SH
000852.SH:R1_A:375143:375142,2021-06-08,2021-06-08,1,True,True,True,512100.SH
000852.SH:R1_A:375822:375821,2021-06-11,2021-06-11,1,True,True,True,512100.SH
000852.SH:R1_A:376046:387311,2021-06-15,2021-08-19,1,True,False,False,512100.SH
000852.SH:R1_A:376287:394753,2021-06-16,2021-10-12,1,True,True,True,512100.SH
000852.SH:R1_A:376459:364452,2021-06-16,2021-03-31,1,True,True,True,512100.SH
000852.SH:R1_A:376558:366245,2021-06-17,2021-04-13,1,True,True,True,512100.SH
000852.SH:R1_A:376962:377213,2021-06-21,2021-06-22,1,True,True,True,512100.SH
000852.SH:R1_A:377729:377728,2021-06-24,2021-06-24,1,True,True,True,512100.SH
000852.SH:R1_A:378398:378394,2021-06-28,2021-06-28,1,True,True,True,512100.SH
000852.SH:R1_A:378459:389497,2021-06-29,2021-09-01,1,True,True,True,512100.SH
000852.SH:R1_A:378907:378906,2021-07-01,2021-07-01,1,True,True,True,512100.SH
000852.SH:R1_A:379135:399063,2021-07-02,2021-11-05,1,True,True,True,512100.SH
000852.SH:R1_A:379214:404439,2021-07-02,2021-12-07,1,False,True,False,512100.SH
000852.SH:R1_A:379842:355122,2021-07-07,2021-01-29,1,True,True,True,512100.SH
000852.SH:R1_A:380111:380110,2021-07-08,2021-07-08,1,True,True,True,512100.SH
000852.SH:R1_A:380205:400852,2021-07-08,2021-11-16,1,True,True,True,512100.SH
000852.SH:R1_A:380598:380597,2021-07-12,2021-07-12,1,True,True,True,512100.SH
000852.SH:R1_A:380752:375717,2021-07-12,2021-06-10,1,True,True,True,512100.SH
000852.SH:R1_A:380847:381802,2021-07-13,2021-07-19,1,True,True,True,512100.SH
000852.SH:R1_A:381049:365700,2021-07-14,2021-04-09,1,True,True,True,512100.SH
000852.SH:R1_A:381122:362640,2021-07-14,2021-03-22,1,True,False,False,512100.SH
000852.SH:R1_A:381224:396847,2021-07-14,2021-10-22,1,True,True,True,512100.SH
000852.SH:R1_A:381287:387787,2021-07-15,2021-08-23,1,True,True,True,512100.SH
000852.SH:R1_A:381526:360898,2021-07-16,2021-03-11,1,True,True,True,512100.SH
000852.SH:R1_A:382496:382495,2021-07-22,2021-07-22,1,True,True,True,512100.SH
000852.SH:R1_A:382747:382746,2021-07-23,2021-07-23,1,True,True,True,512100.SH
000852.SH:R1_A:382864:379743,2021-07-23,2021-07-06,1,True,False,False,512100.SH
000852.SH:R1_A:383005:396923,2021-07-26,2021-10-25,1,True,True,True,512100.SH
000852.SH:R1_A:383039:396947,2021-07-26,2021-10-25,1,True,True,True,512100.SH
000852.SH:R1_A:383084:358361,2021-07-26,2021-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:383162:404757,2021-07-26,2021-12-08,1,True,True,True,512100.SH
000852.SH:R1_A:383232:381799,2021-07-27,2021-07-19,1,True,True,True,512100.SH
000852.SH:R1_A:383431:404294,2021-07-27,2021-12-06,1,True,True,True,512100.SH
000852.SH:R1_A:383471:360444,2021-07-28,2021-03-09,1,True,True,True,512100.SH
000852.SH:R1_A:384410:384409,2021-08-03,2021-08-03,1,True,True,True,512100.SH
000852.SH:R1_A:384438:400515,2021-08-03,2021-11-15,1,True,True,True,512100.SH
000852.SH:R1_A:384582:384365,2021-08-03,2021-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:384712:361662,2021-08-04,2021-03-16,1,True,True,True,512100.SH
000852.SH:R1_A:384892:384189,2021-08-05,2021-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:384992:407559,2021-08-05,2021-12-24,1,True,False,False,512100.SH
000852.SH:R1_A:385086:352911,2021-08-05,2021-01-15,1,True,True,True,512100.SH
000852.SH:R1_A:385404:385403,2021-08-09,2021-08-09,1,True,True,True,512100.SH
000852.SH:R1_A:385728:385727,2021-08-10,2021-08-10,1,True,True,True,512100.SH
000852.SH:R1_A:385913:366959,2021-08-11,2021-04-16,1,True,True,True,512100.SH
000852.SH:R1_A:386050:394695,2021-08-11,2021-10-11,1,True,True,True,512100.SH
000852.SH:R1_A:386174:379690,2021-08-12,2021-07-06,1,True,True,True,512100.SH
000852.SH:R1_A:386340:399302,2021-08-13,2021-11-08,1,True,True,True,512100.SH
000852.SH:R1_A:386502:379806,2021-08-13,2021-07-06,1,True,True,True,512100.SH
000852.SH:R1_A:386661:354268,2021-08-16,2021-01-25,1,True,False,False,512100.SH
000852.SH:R1_A:386825:405049,2021-08-17,2021-12-10,1,True,True,True,512100.SH
000852.SH:R1_A:386902:360748,2021-08-17,2021-03-10,1,True,True,True,512100.SH
000852.SH:R1_A:387000:358440,2021-08-17,2021-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:387020:358450,2021-08-17,2021-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:387049:358482,2021-08-18,2021-02-25,1,False,True,False,512100.SH
000852.SH:R1_A:387529:387528,2021-08-20,2021-08-20,1,True,True,True,512100.SH
000852.SH:R1_A:388015:407209,2021-08-24,2021-12-23,1,True,True,True,512100.SH
000852.SH:R1_A:388123:353323,2021-08-24,2021-01-19,1,True,True,True,512100.SH
000852.SH:R1_A:388253:407460,2021-08-25,2021-12-24,1,True,True,True,512100.SH
000852.SH:R1_A:388491:382737,2021-08-26,2021-07-23,1,True,True,True,512100.SH
000852.SH:R1_A:388551:391448,2021-08-26,2021-09-13,1,True,True,True,512100.SH
000852.SH:R1_A:388822:388821,2021-08-27,2021-08-27,1,True,True,True,512100.SH
000852.SH:R1_A:389067:389066,2021-08-30,2021-08-30,1,True,True,True,512100.SH
000852.SH:R1_A:389508:389507,2021-09-01,2021-09-01,1,True,True,True,512100.SH
000852.SH:R1_A:389588:404444,2021-09-01,2021-12-07,1,False,True,False,512100.SH
000852.SH:R1_A:389690:361842,2021-09-02,2021-03-17,1,True,True,True,512100.SH
000852.SH:R1_A:389900:363733,2021-09-02,2021-03-26,1,True,True,True,512100.SH
000852.SH:R1_A:390028:407550,2021-09-03,2021-12-24,1,True,True,True,512100.SH
000852.SH:R1_A:390810:390809,2021-09-08,2021-09-08,1,True,True,True,512100.SH
000852.SH:R1_A:390982:384277,2021-09-09,2021-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:391060:361569,2021-09-09,2021-03-15,1,True,True,True,512100.SH
000852.SH:R1_A:391142:385371,2021-09-10,2021-08-09,1,True,True,True,512100.SH
000852.SH:R1_A:391463:391462,2021-09-13,2021-09-13,1,True,True,True,512100.SH
000852.SH:R1_A:391804:391801,2021-09-14,2021-09-14,1,True,True,True,512100.SH
000852.SH:R1_A:391853:364251,2021-09-15,2021-03-31,1,True,True,True,512100.SH
000852.SH:R1_A:391984:368205,2021-09-15,2021-04-23,1,True,True,True,512100.SH
000852.SH:R1_A:392159:383982,2021-09-16,2021-07-30,1,True,True,True,512100.SH
000852.SH:R1_A:392183:369623,2021-09-16,2021-05-06,1,True,True,True,512100.SH
000852.SH:R1_A:392230:406390,2021-09-16,2021-12-17,1,True,True,True,512100.SH
000852.SH:R1_A:392299:361097,2021-09-16,2021-03-11,1,True,True,True,512100.SH
000852.SH:R1_A:392342:361126,2021-09-17,2021-03-12,1,True,True,True,512100.SH
000852.SH:R1_A:392376:360192,2021-09-17,2021-03-08,1,True,True,True,512100.SH
000852.SH:R1_A:392427:381851,2021-09-17,2021-07-19,1,True,True,True,512100.SH
000852.SH:R1_A:392569:368332,2021-09-22,2021-04-26,1,True,True,True,512100.SH
000852.SH:R1_A:392861:392860,2021-09-23,2021-09-23,1,True,True,True,512100.SH
000852.SH:R1_A:393077:377715,2021-09-24,2021-06-24,1,True,True,True,512100.SH
000852.SH:R1_A:393312:360442,2021-09-27,2021-03-09,1,True,True,True,512100.SH
000852.SH:R1_A:393368:360700,2021-09-27,2021-03-10,1,True,True,True,512100.SH
000852.SH:R1_A:393488:404740,2021-09-27,2021-12-08,1,True,True,True,512100.SH
000852.SH:R1_A:393824:393822,2021-09-29,2021-09-29,1,True,True,True,512100.SH
000852.SH:R1_A:393905:404444,2021-09-29,2021-12-07,1,False,True,False,512100.SH
000852.SH:R1_A:394278:394277,2021-10-08,2021-10-08,1,True,True,True,512100.SH
000852.SH:R1_A:394920:394919,2021-10-12,2021-10-12,1,True,True,True,512100.SH
000852.SH:R1_A:395968:395957,2021-10-19,2021-10-19,1,True,True,True,512100.SH
000852.SH:R1_A:396173:405549,2021-10-20,2021-12-14,1,True,True,True,512100.SH
000852.SH:R1_A:396432:396430,2021-10-21,2021-10-21,1,True,True,True,512100.SH
000852.SH:R1_A:397305:397304,2021-10-26,2021-10-26,1,True,True,True,512100.SH
000852.SH:R1_A:397472:368662,2021-10-27,2021-04-27,1,True,True,True,512100.SH
000852.SH:R1_A:397707:369150,2021-10-28,2021-04-29,1,True,True,True,512100.SH
000852.SH:R1_A:397858:360909,2021-10-29,2021-03-11,1,True,True,True,512100.SH
000852.SH:R1_A:397944:384021,2021-10-29,2021-07-30,1,True,True,True,512100.SH
000852.SH:R1_A:398473:398472,2021-11-02,2021-11-02,1,True,True,True,512100.SH
000852.SH:R1_A:399872:399871,2021-11-10,2021-11-10,1,True,True,True,512100.SH
000852.SH:R1_A:400120:391720,2021-11-11,2021-09-14,1,True,True,True,512100.SH
000852.SH:R1_A:400529:400528,2021-11-15,2021-11-15,1,True,True,True,512100.SH
000852.SH:R1_A:401283:401279,2021-11-18,2021-11-18,1,True,False,False,512100.SH
000852.SH:R1_A:401444:402650,2021-11-19,2021-11-26,1,True,True,True,512100.SH
000852.SH:R1_A:402035:402029,2021-11-23,2021-11-23,1,True,True,True,512100.SH
000852.SH:R1_A:402186:401946,2021-11-24,2021-11-23,1,True,True,True,512100.SH
000852.SH:R1_A:403052:403051,2021-11-29,2021-11-29,1,True,True,True,512100.SH
000852.SH:R1_A:403325:403324,2021-11-30,2021-11-30,1,True,True,True,512100.SH
000852.SH:R1_A:404446:404445,2021-12-07,2021-12-07,1,False,True,False,512100.SH
000852.SH:R1_A:406002:377700,2021-12-16,2021-06-24,1,True,True,True,512100.SH
000852.SH:R1_A:406503:406502,2021-12-20,2021-12-20,1,True,True,True,512100.SH
000852.SH:R1_A:406660:374984,2021-12-20,2021-06-07,1,True,True,True,512100.SH
000852.SH:R1_A:406740:396901,2021-12-21,2021-10-25,1,True,True,True,512100.SH
000852.SH:R1_A:407976:407975,2021-12-28,2021-12-28,1,True,True,True,512100.SH
000852.SH:R1_A:408992:408991,2022-01-04,2022-01-04,1,True,True,True,512100.SH
000852.SH:R1_A:409362:449921,2022-01-06,2022-09-16,1,True,True,True,512100.SH
000852.SH:R1_A:409730:409729,2022-01-07,2022-01-07,1,True,True,True,512100.SH
000852.SH:R1_A:410015:410014,2022-01-10,2022-01-10,1,True,True,True,512100.SH
000852.SH:R1_A:410914:410913,2022-01-14,2022-01-14,1,True,True,True,512100.SH
000852.SH:R1_A:411552:444671,2022-01-19,2022-08-16,1,True,True,True,512100.SH
000852.SH:R1_A:411928:411927,2022-01-20,2022-01-20,1,True,True,True,512100.SH
000852.SH:R1_A:412017:414652,2022-01-21,2022-02-14,1,True,True,True,512100.SH
000852.SH:R1_A:412202:417249,2022-01-21,2022-02-28,1,True,True,True,512100.SH
000852.SH:R1_A:412248:411286,2022-01-24,2022-01-18,1,True,True,True,512100.SH
000852.SH:R1_A:412516:412515,2022-01-25,2022-01-25,1,True,True,True,512100.SH
000852.SH:R1_A:412583:429376,2022-01-25,2022-05-17,1,True,True,True,512100.SH
000852.SH:R1_A:412679:433329,2022-01-25,2022-06-09,1,True,True,True,512100.SH
000852.SH:R1_A:412732:450186,2022-01-26,2022-09-19,1,True,True,True,512100.SH
000852.SH:R1_A:412782:414469,2022-01-26,2022-02-11,1,True,True,True,512100.SH
000852.SH:R1_A:412970:453282,2022-01-27,2022-10-13,1,True,True,True,512100.SH
000852.SH:R1_A:413010:410593,2022-01-27,2022-01-13,1,True,True,True,512100.SH
000852.SH:R1_A:413074:429384,2022-01-27,2022-05-17,1,True,True,True,512100.SH
000852.SH:R1_A:413150:433306,2022-01-27,2022-06-09,1,True,True,True,512100.SH
000852.SH:R1_A:413209:450178,2022-01-28,2022-09-19,1,True,True,True,512100.SH
000852.SH:R1_A:413247:442281,2022-01-28,2022-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:413297:424835,2022-01-28,2022-04-15,1,True,True,True,512100.SH
000852.SH:R1_A:413678:413677,2022-02-07,2022-02-07,1,True,True,True,512100.SH
000852.SH:R1_A:413958:413957,2022-02-09,2022-02-09,1,True,True,True,512100.SH
000852.SH:R1_A:414108:420351,2022-02-09,2022-03-17,1,True,True,True,512100.SH
000852.SH:R1_A:414195:433658,2022-02-10,2022-06-13,1,True,True,True,512100.SH
000852.SH:R1_A:414654:414653,2022-02-14,2022-02-14,1,False,True,False,512100.SH
000852.SH:R1_A:414887:463619,2022-02-15,2022-12-13,1,True,True,True,512100.SH
000852.SH:R1_A:415037:410711,2022-02-15,2022-01-13,1,True,True,True,512100.SH
000852.SH:R1_A:415140:429060,2022-02-16,2022-05-16,1,True,True,True,512100.SH
000852.SH:R1_A:415357:416550,2022-02-16,2022-02-23,1,True,True,True,512100.SH
000852.SH:R1_A:415496:439976,2022-02-17,2022-07-19,1,True,True,True,512100.SH
000852.SH:R1_A:415866:415865,2022-02-21,2022-02-21,1,True,True,True,512100.SH
000852.SH:R1_A:415966:415749,2022-02-21,2022-02-18,1,True,False,False,512100.SH
000852.SH:R1_A:416113:450911,2022-02-22,2022-09-22,1,True,True,True,512100.SH
000852.SH:R1_A:416566:416565,2022-02-24,2022-02-24,1,True,True,True,512100.SH
000852.SH:R1_A:416691:433015,2022-02-24,2022-06-08,1,True,True,True,512100.SH
000852.SH:R1_A:416954:416953,2022-02-25,2022-02-25,1,True,True,True,512100.SH
000852.SH:R1_A:417459:417455,2022-03-01,2022-03-01,1,True,True,True,512100.SH
000852.SH:R1_A:418033:433635,2022-03-04,2022-06-13,1,True,True,True,512100.SH
000852.SH:R1_A:418184:428260,2022-03-04,2022-05-10,1,True,True,True,512100.SH
000852.SH:R1_A:418260:410811,2022-03-07,2022-01-14,1,True,True,True,512100.SH
000852.SH:R1_A:418321:424809,2022-03-07,2022-04-15,1,True,True,True,512100.SH
000852.SH:R1_A:418440:459708,2022-03-07,2022-11-18,1,True,True,True,512100.SH
000852.SH:R1_A:418485:450181,2022-03-08,2022-09-19,1,True,True,True,512100.SH
000852.SH:R1_A:418504:414652,2022-03-08,2022-02-14,1,False,True,False,512100.SH
000852.SH:R1_A:418558:437266,2022-03-08,2022-07-04,1,True,True,True,512100.SH
000852.SH:R1_A:418662:409329,2022-03-08,2022-01-05,1,True,True,True,512100.SH
000852.SH:R1_A:418746:412507,2022-03-09,2022-01-25,1,True,True,True,512100.SH
000852.SH:R1_A:418819:458679,2022-03-09,2022-11-14,1,True,True,True,512100.SH
000852.SH:R1_A:418859:409260,2022-03-09,2022-01-05,1,True,True,True,512100.SH
000852.SH:R1_A:418883:409282,2022-03-09,2022-01-05,1,True,True,True,512100.SH
000852.SH:R1_A:418902:449888,2022-03-09,2022-09-15,1,True,True,True,512100.SH
000852.SH:R1_A:419014:455003,2022-03-10,2022-10-24,1,True,True,True,512100.SH
000852.SH:R1_A:419129:416953,2022-03-10,2022-02-25,1,False,True,False,512100.SH
000852.SH:R1_A:419221:442266,2022-03-11,2022-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:419352:428007,2022-03-11,2022-05-09,1,True,True,True,512100.SH
000852.SH:R1_A:419449:451859,2022-03-14,2022-09-28,1,True,True,True,512100.SH
000852.SH:R1_A:419696:419695,2022-03-15,2022-03-15,1,True,True,True,512100.SH
000852.SH:R1_A:419715:410832,2022-03-15,2022-01-14,1,True,True,True,512100.SH
000852.SH:R1_A:419733:410834,2022-03-15,2022-01-14,1,True,True,True,512100.SH
000852.SH:R1_A:419742:417345,2022-03-15,2022-03-01,1,True,True,True,512100.SH
000852.SH:R1_A:419883:409326,2022-03-15,2022-01-05,1,True,True,True,512100.SH
000852.SH:R1_A:419924:414647,2022-03-16,2022-02-14,1,True,True,True,512100.SH
000852.SH:R1_A:419947:437229,2022-03-16,2022-07-04,1,True,True,True,512100.SH
000852.SH:R1_A:419990:458631,2022-03-16,2022-11-14,1,True,True,True,512100.SH
000852.SH:R1_A:420353:420352,2022-03-17,2022-03-17,1,False,True,False,512100.SH
000852.SH:R1_A:420686:420679,2022-03-21,2022-03-21,1,True,True,True,512100.SH
000852.SH:R1_A:420750:427930,2022-03-21,2022-05-09,1,True,True,True,512100.SH
000852.SH:R1_A:421203:421197,2022-03-23,2022-03-23,1,True,True,True,512100.SH
000852.SH:R1_A:421272:449834,2022-03-23,2022-09-15,1,True,True,True,512100.SH
000852.SH:R1_A:421383:410349,2022-03-24,2022-01-12,1,True,True,True,512100.SH
000852.SH:R1_A:421458:458192,2022-03-24,2022-11-10,1,True,False,False,512100.SH
000852.SH:R1_A:421811:421810,2022-03-25,2022-03-25,1,True,True,True,512100.SH
000852.SH:R1_A:421850:418008,2022-03-28,2022-03-04,1,True,True,True,512100.SH
000852.SH:R1_A:421893:428112,2022-03-28,2022-05-10,1,True,True,True,512100.SH
000852.SH:R1_A:423268:423267,2022-04-06,2022-04-06,1,True,True,True,512100.SH
000852.SH:R1_A:423378:449290,2022-04-07,2022-09-13,1,True,True,True,512100.SH
000852.SH:R1_A:423486:454926,2022-04-07,2022-10-21,1,True,True,True,512100.SH
000852.SH:R1_A:423542:428826,2022-04-08,2022-05-13,1,True,True,True,512100.SH
000852.SH:R1_A:423611:454571,2022-04-08,2022-10-20,1,True,True,True,512100.SH
000852.SH:R1_A:423849:453356,2022-04-11,2022-10-13,1,True,True,True,512100.SH
000852.SH:R1_A:423898:453402,2022-04-11,2022-10-13,1,True,True,True,512100.SH
000852.SH:R1_A:424010:450182,2022-04-12,2022-09-19,1,False,True,False,512100.SH
000852.SH:R1_A:424026:458580,2022-04-12,2022-11-14,1,True,True,True,512100.SH
000852.SH:R1_A:424085:437260,2022-04-12,2022-07-04,1,True,True,True,512100.SH
000852.SH:R1_A:424112:429399,2022-04-12,2022-05-17,1,True,True,True,512100.SH
000852.SH:R1_A:424259:451869,2022-04-13,2022-09-28,1,True,True,True,512100.SH
000852.SH:R1_A:424912:424911,2022-04-15,2022-04-15,1,True,True,True,512100.SH
000852.SH:R1_A:425049:458649,2022-04-18,2022-11-14,1,True,True,True,512100.SH
000852.SH:R1_A:425159:409310,2022-04-18,2022-01-05,1,True,True,True,512100.SH
000852.SH:R1_A:425316:454810,2022-04-19,2022-10-21,1,True,True,True,512100.SH
000852.SH:R1_A:425751:425750,2022-04-21,2022-04-21,1,True,True,True,512100.SH
000852.SH:R1_A:425813:454613,2022-04-21,2022-10-20,1,True,True,True,512100.SH
000852.SH:R1_A:425896:433334,2022-04-21,2022-06-09,1,True,True,True,512100.SH
000852.SH:R1_A:425949:419694,2022-04-22,2022-03-15,1,False,True,False,512100.SH
000852.SH:R1_A:426035:414490,2022-04-22,2022-02-11,1,True,True,True,512100.SH
000852.SH:R1_A:426170:414649,2022-04-25,2022-02-14,1,True,True,True,512100.SH
000852.SH:R1_A:426197:442299,2022-04-25,2022-08-02,1,True,True,True,512100.SH
000852.SH:R1_A:426236:424551,2022-04-25,2022-04-14,1,True,True,True,512100.SH
000852.SH:R1_A:426275:424824,2022-04-25,2022-04-15,1,True,True,True,512100.SH
000852.SH:R1_A:426308:424601,2022-04-25,2022-04-14,1,True,True,True,512100.SH
