symbol,stage,group,feature,original_events,matched_events,original_event_SD,matched_SMD,retention_shift_SMD,matched_event_control_variance_ratio,gate_required,balance_pass
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_LONG,local_vol_30_over_240,64,8,0.602290546561,0.0179701928556,-0.0151849305399,0.978925338456,True,True
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,parent_abs_drift,92,9,0.187038203985,-0.0393671075494,-0.565231460377,1.20578521815,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,parent_efficiency,92,9,0.0851081223054,-0.021311477204,-0.83266857488,0.51813029451,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,log1p_parent_age_bars,92,9,1.18235166207,-0.0249963224279,0.125703959724,0.8163984961,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,SIDE_SHORT,local_vol_30_over_240,92,9,0.491120899007,-0.072097350209,0.18716949737,1.29480772076,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,parent_abs_drift,64,8,0.22555968713,-0.0963442354438,-1.05670619024,2.42465933659,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,parent_efficiency,64,8,0.114930587763,-0.0289952791768,-0.822206163657,1.11157794173,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,log1p_parent_age_bars,64,8,1.37446466258,-0.0289286680086,0.620493967786,0.819692624693,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_LONG,local_vol_30_over_240,64,8,0.602290546561,0.0179701928556,-0.0151849305399,0.978925338456,True,True
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,parent_abs_drift,92,9,0.187038203985,-0.0393671075494,-0.565231460377,1.20578521815,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,parent_efficiency,92,9,0.0851081223054,-0.021311477204,-0.83266857488,0.51813029451,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,log1p_parent_age_bars,92,9,1.18235166207,-0.0249963224279,0.125703959724,0.8163984961,True,False
000688.SH,PAST_CALIPER_EXCLUSIVE,YEAR_SIDE_2020_SHORT,local_vol_30_over_240,92,9,0.491120899007,-0.072097350209,0.18716949737,1.29480772076,True,False
000688.SH,PAST_NEAREST,POOLED,parent_abs_drift,156,122,0.203987367984,0.0202407722576,0.0455042064497,1.12915011157,True,True
000688.SH,PAST_NEAREST,POOLED,parent_efficiency,156,122,0.0984517479585,0.0957467905371,-0.0511334369902,1.56912871494,True,True
000688.SH,PAST_NEAREST,POOLED,log1p_parent_age_bars,156,122,1.26550573843,0.0133917760752,0.0811947979217,0.940599347596,True,True
000688.SH,PAST_NEAREST,POOLED,local_vol_30_over_240,156,122,0.541402522064,-0.0877136826459,0.117652137191,0.999781467089,True,False
000688.SH,PAST_NEAREST,YEAR_2020,parent_abs_drift,156,122,0.203987367984,0.0202407722576,0.0455042064497,1.12915011157,True,True
000688.SH,PAST_NEAREST,YEAR_2020,parent_efficiency,156,122,0.0984517479585,0.0957467905371,-0.0511334369902,1.56912871494,True,True
000688.SH,PAST_NEAREST,YEAR_2020,log1p_parent_age_bars,156,122,1.26550573843,0.0133917760752,0.0811947979217,0.940599347596,True,True
000688.SH,PAST_NEAREST,YEAR_2020,local_vol_30_over_240,156,122,0.541402522064,-0.0877136826459,0.117652137191,0.999781467089,True,False
000688.SH,PAST_NEAREST,SIDE_LONG,parent_abs_drift,64,53,0.22555968713,-0.332873053363,0.00863129727752,0.81568915856,True,False
000688.SH,PAST_NEAREST,SIDE_LONG,parent_efficiency,64,53,0.114930587763,-0.141548401042,-0.0097967538253,1.28682476349,True,False
000688.SH,PAST_NEAREST,SIDE_LONG,log1p_parent_age_bars,64,53,1.37446466258,0.0261394070168,0.101798740626,0.901147135449,True,False
000688.SH,PAST_NEAREST,SIDE_LONG,local_vol_30_over_240,64,53,0.602290546561,-0.146692733651,0.101456518224,0.837533053914,True,False
000688.SH,PAST_NEAREST,SIDE_SHORT,parent_abs_drift,92,69,0.187038203985,0.347375862342,0.0845569936354,2.36570963037,True,False
000688.SH,PAST_NEAREST,SIDE_SHORT,parent_efficiency,92,69,0.0851081223054,0.342657449063,-0.095833297244,4.01201812991,True,False
000688.SH,PAST_NEAREST,SIDE_SHORT,log1p_parent_age_bars,92,69,1.18235166207,0.00200302651677,0.0660727133908,0.990026952005,True,True
