symbol,stage,cohort,horizon,pairs,unique_controls,maximum_exact_reuse,control_inclusive_overlap_pairs,maximum_control_increment_multiplicity,control_increment_minutes_used_more_than_once,event_control_shared_increment_minutes,within_pair_interval_overlaps,event_unit_energy,control_unit_energy,net_unit_energy,control_unit_energy_ratio_NOT_variance_effect,unit_covariance_cancellation_NOT_observed_noise,control_calendar_HHI_unit_incidence,largest_control_day_unit_share,control_after_event_count,full_240_maturity_violations
000688.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,15,27,27,1,2,2,12,68,5,405,429,698,1.05925925926,0.163069544365,0.0589849108368,0.111111111111,2,7
000688.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,30,27,27,1,2,2,42,0,0,854,894,1748,1.1037037037,0,0.0858832495046,0.185185185185,0,0
000688.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,30,27,27,1,2,2,42,143,5,854,894,1462,1.1037037037,0.163615560641,0.0586313062033,0.111111111111,2,7
000688.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,60,27,27,1,6,2,186,0,0,1846,1992,3838,1.22962962963,0,0.07570492303,0.17037037037,0,0
000688.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,60,27,27,1,4,2,130,293,5,1846,1880,3140,1.16049382716,0.157273215244,0.0561530254534,0.111111111111,2,7
000688.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,120,27,27,1,12,3,637,0,0,4258,4702,8960,1.4512345679,0,0.066512345679,0.141975308642,0,0
000688.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,120,27,27,1,6,2,409,593,5,4258,4058,7030,1.2524691358,0.154641654642,0.0518347050754,0.0938271604938,2,7
000688.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,240,27,27,1,22,5,1636,35,0,9562,11378,21010,1.75586419753,-0.00334288443171,0.0531888717421,0.105401234568,0,0
000688.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,240,27,27,1,10,3,1189,1228,5,9562,8926,15286,1.3774691358,0.173193422761,0.0388832685566,0.0695987654321,2,7
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,1,17,17,1,0,1,0,0,0,17,17,34,1,0,0.0588235294118,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,1,17,17,1,0,1,0,0,2,17,17,34,1,0,0.0795847750865,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,5,17,17,1,0,1,0,0,0,85,85,170,1,0,0.0588235294118,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,5,17,17,1,0,1,0,14,4,85,85,142,1,0.164705882353,0.0795847750865,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,15,17,17,1,0,1,0,0,0,255,255,510,1,0,0.0588235294118,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,15,17,17,1,1,2,2,54,4,255,259,406,1.01568627451,0.210116731518,0.0795847750865,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,30,17,17,1,0,1,0,0,0,524,510,1034,1,0,0.0588235294118,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,30,17,17,1,1,2,17,114,4,524,544,840,1.06666666667,0.213483146067,0.0795847750865,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,60,17,17,1,0,1,0,0,0,1148,1020,2168,1,0,0.0571626297578,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,60,17,17,1,2,2,63,234,4,1148,1146,1826,1.12352941176,0.204010462075,0.0795847750865,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,120,17,17,1,0,1,0,0,0,2538,2040,4578,1,0,0.0567368319877,0.0588235294118,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,120,17,17,1,3,2,215,474,4,2538,2470,4060,1.21078431373,0.189297124601,0.0775711264898,0.117647058824,2,6
000688.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,240,17,17,1,0,1,0,35,0,5206,4080,9356,1,-0.00753822959294,0.043241902153,0.0585784313725,0,0
000688.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,240,17,17,1,3,2,575,989,4,5206,5230,8598,1.2818627451,0.176121119203,0.0524937524029,0.0933823529412,2,6
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,1,1752,1482,10,736,10,174,0,273,1752,2676,4428,1.52739726027,0,0.00625964325181,0.0336757990868,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,5,1752,1482,10,1585,16,1166,1238,333,8766,18532,24118,2.11552511416,0.1164920507,0.00617032588979,0.0328767123288,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,15,1752,1482,10,2834,21,4168,4776,353,26614,77946,90990,2.96598173516,0.129781943382,0.00613282725085,0.0325722983257,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,30,1752,1482,10,4108,26,8924,10200,354,56048,196326,219930,3.7352739726,0.128555239446,0.00603881640523,0.0321156773212,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,60,1752,1482,10,6256,31,18330,21168,354,126624,494922,543006,4.70816210046,0.126362328774,0.00586888286982,0.0324296042618,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,120,1752,1482,10,9106,45,37438,43220,354,302504,1176146,1291654,5.59430175038,0.126464004328,0.00557660623309,0.0318730974125,668,1025
000852.SH,ORIGINAL_REFERENCE,ALL_ORIGINAL_EVENTS,240,1752,1482,10,12156,63,72720,87505,357,750360,2672342,2952862,6.35545566971,0.137271664317,0.00499146295976,0.0264364535769,668,1025
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,1,1645,1333,8,845,8,204,0,0,1645,2657,4302,1.61519756839,0,0.00987832706645,0.0528875379939,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,1,1645,1401,7,645,7,159,0,266,1645,2439,4084,1.48267477204,0,0.00669506009738,0.0358662613982,570,918
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,5,1645,1333,8,1827,15,1336,175,0,8231,19363,27044,2.35416413374,0.0199318692469,0.00970490664351,0.0510638297872,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,5,1645,1401,7,1435,16,1037,1202,324,8231,16879,22174,2.05215805471,0.116925527678,0.00660030857069,0.0350151975684,570,918
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,15,1645,1333,8,3484,22,4206,861,0,24985,85341,107192,3.45860182371,0.0284067218969,0.00965799568658,0.0504964539007,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,15,1645,1401,7,2602,21,3721,4640,344,24985,71511,84096,2.89811550152,0.128502735865,0.00655703722865,0.0346909827761,570,918
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,30,1645,1333,8,5368,31,8530,2315,0,52422,220044,262860,4.4588449848,0.0352557750325,0.00952501506412,0.0498885511651,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,30,1645,1401,7,3806,26,8018,9914,345,52422,181046,203982,3.66861195542,0.126295680779,0.00644775105757,0.0342046605876,570,918
