candidate_id,universal_baseline,min_balanced_accuracy,min_macro_f1,min_transition_f1,max_false_transitions_per_day,mean_false_transitions_per_day,trend_to_range_margin,trend_to_range_min_probability,trend_to_range_confirmation_bars,range_to_trend_margin,range_to_trend_min_probability,range_to_trend_confirmation_bars,enter_shock_margin,enter_shock_min_probability,enter_shock_confirmation_bars,exit_shock_margin,exit_shock_min_probability,exit_shock_confirmation_bars,fold_2022_000688_SH_balanced_accuracy_4state,fold_2022_000688_SH_macro_f1_4state,fold_2022_000688_SH_transition_precision,fold_2022_000688_SH_transition_recall,fold_2022_000688_SH_transition_f1,fold_2022_000688_SH_false_transitions_per_day,fold_2022_000688_SH_exact_accuracy_including_abstention,fold_2022_000688_SH_online_concrete_coverage,fold_2022_000852_SH_balanced_accuracy_4state,fold_2022_000852_SH_macro_f1_4state,fold_2022_000852_SH_transition_precision,fold_2022_000852_SH_transition_recall,fold_2022_000852_SH_transition_f1,fold_2022_000852_SH_false_transitions_per_day,fold_2022_000852_SH_exact_accuracy_including_abstention,fold_2022_000852_SH_online_concrete_coverage,fold_2023_000688_SH_balanced_accuracy_4state,fold_2023_000688_SH_macro_f1_4state,fold_2023_000688_SH_transition_precision,fold_2023_000688_SH_transition_recall,fold_2023_000688_SH_transition_f1,fold_2023_000688_SH_false_transitions_per_day,fold_2023_000688_SH_exact_accuracy_including_abstention,fold_2023_000688_SH_online_concrete_coverage,fold_2023_000852_SH_balanced_accuracy_4state,fold_2023_000852_SH_macro_f1_4state,fold_2023_000852_SH_transition_precision,fold_2023_000852_SH_transition_recall,fold_2023_000852_SH_transition_f1,fold_2023_000852_SH_false_transitions_per_day,fold_2023_000852_SH_exact_accuracy_including_abstention,fold_2023_000852_SH_online_concrete_coverage,fold_2024_000688_SH_balanced_accuracy_4state,fold_2024_000688_SH_macro_f1_4state,fold_2024_000688_SH_transition_precision,fold_2024_000688_SH_transition_recall,fold_2024_000688_SH_transition_f1,fold_2024_000688_SH_false_transitions_per_day,fold_2024_000688_SH_exact_accuracy_including_abstention,fold_2024_000688_SH_online_concrete_coverage,fold_2024_000852_SH_balanced_accuracy_4state,fold_2024_000852_SH_macro_f1_4state,fold_2024_000852_SH_transition_precision,fold_2024_000852_SH_transition_recall,fold_2024_000852_SH_transition_f1,fold_2024_000852_SH_false_transitions_per_day,fold_2024_000852_SH_exact_accuracy_including_abstention,fold_2024_000852_SH_online_concrete_coverage
v6_t0r0e0x0,False,0.7501209480829286,0.7518632438157512,0.13507625272331156,1.524793388429752,1.424931129476584,0.05,0.45,4,0.05,0.45,3,0.0,0.45,1,0.05,0.45,4,0.8006192868083907,0.7787748006185273,0.09558823529411764,0.5652173913043478,0.16352201257861634,1.524793388429752,0.7779783393501805,0.9939831528279182,0.8225290116635687,0.8224863431229041,0.13157894736842105,0.5263157894736842,0.21052631578947367,1.3636363636363635,0.8103991596638656,0.9821428571428571,0.7890565962892164,0.7877921211317462,0.10852713178294573,0.5,0.178343949044586,1.4256198347107438,0.7840659340659341,0.9901098901098901,0.8263465994475241,0.822996049843876,0.13054830287206268,0.5617977528089888,0.21186440677966104,1.3760330578512396,0.8130412633723892,0.9857361181864494,0.7501209480829286,0.7518632438157512,0.08051948051948052,0.4189189189189189,0.13507625272331156,1.462809917355372,0.762945914844649,0.9884925201380897,0.7877641089375755,0.7746308480648828,0.10817941952506596,0.47674418604651164,0.17634408602150536,1.396694214876033,0.7722826086956521,0.9918478260869565
v6_t0r0e0x1,False,0.7253342305356029,0.7274195994459013,0.14634146341463414,1.2768595041322315,1.2334710743801651,0.05,0.45,4,0.05,0.45,3,0.0,0.45,1,0.1,0.55,5,0.7739619931462505,0.7494519753734863,0.10951008645533142,0.5507246376811594,0.1826923076923077,1.2768595041322315,0.7424789410348978,0.9939831528279182,0.7946941637923481,0.7956640560222632,0.14619883040935672,0.5263157894736842,0.22883295194508005,1.2066115702479339,0.7820378151260504,0.9821428571428571,0.7530757161818373,0.7515722360401949,0.12609970674486803,0.5119047619047619,0.2023529411764706,1.2314049586776858,0.7461538461538462,0.9901098901098901,0.8031134433582757,0.8006618484022313,0.13569321533923304,0.5168539325842697,0.21495327102803738,1.2107438016528926,0.7885888945491595,0.9857361181864494,0.7253342305356029,0.7274195994459013,0.08928571428571429,0.40540540540540543,0.14634146341463414,1.2644628099173554,0.7399309551208285,0.9884925201380897,0.7586756407902182,0.7453817564003845,0.11746987951807229,0.45348837209302323,0.18660287081339713,1.2107438016528926,0.7418478260869565,0.9918478260869565
v6_t0r0e1x0,False,0.7589890849397956,0.7596477699665732,0.14485981308411214,1.4338842975206612,1.3064738292011018,0.05,0.45,4,0.05,0.45,3,0.05,0.55,2,0.05,0.45,4,0.8081410050501604,0.7888012492774112,0.10335917312661498,0.5797101449275363,0.17543859649122806,1.4338842975206612,0.7918170878459687,0.9939831528279182,0.8311373771130177,0.8296938592842518,0.13966480446927373,0.5263157894736842,0.22075055187637968,1.2727272727272727,0.8198529411764706,0.9821428571428571,0.8063367336495668,0.8052336031556889,0.11614730878186968,0.4880952380952381,0.18764302059496565,1.2892561983471074,0.804945054945055,0.9901098901098901,0.8460082399559566,0.8425117190362476,0.1457142857142857,0.5730337078651685,0.23234624145785876,1.2355371900826446,0.8349465104431992,0.9857361181864494,0.7589890849397956,0.7596477699665732,0.08757062146892655,0.4189189189189189,0.14485981308411214,1.334710743801653,0.7733026467203682,0.9884925201380897,0.8132231619878192,0.7987279852146804,0.1174785100286533,0.47674418604651164,0.18850574712643678,1.2727272727272727,0.8005434782608696,0.9918478260869565
v6_t0r0e1x1,False,0.7361152989397501,0.7366252070609185,0.15816326530612246,1.21900826446281,1.161845730027548,0.05,0.45,4,0.05,0.45,3,0.05,0.55,2,0.1,0.55,5,0.7834412934801724,0.7609464338242483,0.11411411411411411,0.5507246376811594,0.1890547263681592,1.21900826446281,0.7587244283995187,0.9939831528279182,0.8071903701576925,0.8058787045323904,0.1559633027522936,0.5368421052631579,0.24170616113744073,1.140495867768595,0.7946428571428571,0.9821428571428571,0.7728497640318498,0.7711493019302952,0.1308411214953271,0.5,0.20740740740740737,1.1528925619834711,0.7686813186813187,0.9901098901098901,0.8242726668227653,0.8202687664515209,0.14733542319749215,0.5280898876404494,0.2303921568627451,1.1239669421487604,0.8110035659704534,0.9857361181864494,0.7361152989397501,0.7366252070609185,0.09748427672955975,0.4189189189189189,0.15816326530612246,1.1859504132231404,0.7525891829689298,0.9884925201380897,0.7922458652382584,0.7773484630065651,0.12025316455696203,0.4418604651162791,0.18905472636815923,1.1487603305785123,0.7766304347826087,0.9918478260869565
v6_t0r1e0x0,False,0.7331045039598547,0.736261081559909,0.16129032258064513,1.3429752066115703,1.2968319559228652,0.05,0.45,4,0.1,0.55,4,0.0,0.45,1,0.05,0.45,4,0.779715170508794,0.7606223519088094,0.11232876712328767,0.5942028985507246,0.1889400921658986,1.3388429752066116,0.7587244283995187,0.9939831528279182,0.8074412290205474,0.8101661200147734,0.14450867052023122,0.5263157894736842,0.22675736961451248,1.2231404958677685,0.7983193277310925,0.9821428571428571,0.7735813544752226,0.7736549214238679,0.11878453038674033,0.5119047619047619,0.19282511210762332,1.3181818181818181,0.7692307692307693,0.9901098901098901,0.8125555140254624,0.8108787342998959,0.13649025069637882,0.550561797752809,0.21875000000000003,1.28099173553719,0.8003056546102904,0.9857361181864494,0.7331045039598547,0.736261081559909,0.09722222222222222,0.47297297297297297,0.16129032258064513,1.3429752066115703,0.7497123130034522,0.9884925201380897,0.7721250882278246,0.7612022992259297,0.12464589235127478,0.5116279069767442,0.20045558086560364,1.2768595041322315,0.7592391304347826,0.9918478260869565
v6_t0r1e0x1,False,0.7079139091912042,0.7103068668792765,0.17525773195876287,1.1570247933884297,1.1191460055096418,0.05,0.45,4,0.1,0.55,4,0.0,0.45,1,0.1,0.55,5,0.7536196745994629,0.7314926005264952,0.12738853503184713,0.5797101449275363,0.20887728459530025,1.1322314049586777,0.723826714801444,0.9939831528279182,0.7820335656153461,0.7851669595023374,0.16451612903225807,0.5368421052631579,0.2518518518518518,1.0702479338842976,0.7720588235294118,0.9821428571428571,0.7403990594697993,0.7394989679384159,0.13836477987421383,0.5238095238095238,0.21890547263681592,1.1322314049586777,0.734065934065934,0.9901098901098901,0.7903690282777108,0.7891992314488235,0.14195583596214512,0.5056179775280899,0.22167487684729067,1.1239669421487604,0.7768721344880285,0.9857361181864494,0.7079139091912042,0.7103068668792765,0.10828025477707007,0.4594594594594595,0.17525773195876287,1.1570247933884297,0.7261219792865362,0.9884925201380897,0.7435531490060872,0.7318237527316924,0.13355048859934854,0.47674418604651164,0.20865139949109412,1.0991735537190082,0.7293478260869565,0.9918478260869565
v6_t0r1e1x0,False,0.7424829725973894,0.7457693802441695,0.17500000000000002,1.2479338842975207,1.1728650137741046,0.05,0.45,4,0.1,0.55,4,0.05,0.55,2,0.05,0.45,4,0.7872368887505637,0.7707648862346398,0.12209302325581395,0.6086956521739131,0.20338983050847456,1.2479338842975207,0.7725631768953068,0.9939831528279182,0.8132469038870366,0.8151944210738208,0.15432098765432098,0.5263157894736842,0.2386634844868735,1.1322314049586777,0.8051470588235294,0.9821428571428571,0.789935565909647,0.791065804642513,0.12962962962962962,0.5,0.20588235294117646,1.165289256198347,0.7895604395604395,0.9901098901098901,0.8261077495938737,0.8248592569411727,0.15337423312883436,0.5617977528089888,0.24096385542168675,1.140495867768595,0.8160978094752929,0.9857361181864494,0.7424829725973894,0.7457693802441695,0.10736196319018405,0.47297297297297297,0.17500000000000002,1.2024793388429753,0.7612197928653625,0.9884925201380897,0.794741628060061,0.7834528045131667,0.13664596273291926,0.5116279069767442,0.21568627450980393,1.1487603305785123,0.7847826086956522,0.9918478260869565
v6_t0r1e1x1,False,0.7196091865973441,0.7219796932057315,0.1912568306010929,1.0702479338842976,1.0378787878787878,0.05,0.45,4,0.1,0.55,4,0.05,0.55,2,0.1,0.55,5,0.7630989749333847,0.7430445317293108,0.13377926421404682,0.5797101449275363,0.21739130434782608,1.0702479338842976,0.740072202166065,0.9939831528279182,0.7917270813977308,0.7932306717247697,0.17627118644067796,0.5473684210526316,0.26666666666666666,1.0041322314049588,0.7820378151260504,0.9821428571428571,0.7587790165998783,0.7586108332711705,0.14675767918088736,0.5119047619047619,0.22811671087533156,1.0330578512396693,0.7554945054945055,0.9901098901098901,0.805418846802179,0.8031824836463843,0.15593220338983052,0.5168539325842697,0.23958333333333337,1.0289256198347108,0.7931737137035151,0.9857361181864494,0.7196091865973441,0.7219796932057315,0.11986301369863013,0.47297297297297297,0.1912568306010929,1.06198347107438,0.740506329113924,0.9884925201380897,0.7758304470129794,0.7634698980207525,0.1413793103448276,0.47674418604651164,0.21808510638297876,1.0289256198347108,0.7630434782608696,0.9918478260869565
v6_t1r0e0x0,False,0.7397192812158131,0.7373416325617331,0.1278538812785388,1.4173553719008265,1.3195592286501376,0.1,0.55,5,0.05,0.45,3,0.0,0.45,1,0.05,0.45,4,0.7922271606869726,0.7647289697173156,0.09973753280839895,0.5507246376811594,0.1688888888888889,1.4173553719008265,0.7641395908543923,0.9939831528279182,0.8148218332447277,0.8115312767933038,0.12849162011173185,0.4842105263157895,0.20309050772626935,1.2892561983471074,0.7998949579831933,0.9821428571428571,0.7820545838604769,0.7757078217202218,0.11549295774647887,0.4880952380952381,0.1867881548974943,1.2975206611570247,0.771978021978022,0.9901098901098901,0.8126927018125308,0.8040580348248125,0.14080459770114942,0.550561797752809,0.2242562929061785,1.2355371900826446,0.7962302598064187,0.9857361181864494,0.7397192812158131,0.7373416325617331,0.07692307692307693,0.3783783783783784,0.1278538812785388,1.3884297520661157,0.7479861910241657,0.9884925201380897,0.7764494680462756,0.7567635140506196,0.10857142857142857,0.4418604651162791,0.1743119266055046,1.2892561983471074,0.7543478260869565,0.9918478260869565
v6_t1r0e0x1,False,0.7144295455598355,0.7121689283236099,0.13881748071979436,1.1900826446280992,1.134297520661157,0.1,0.55,5,0.05,0.45,3,0.0,0.45,1,0.1,0.55,5,0.7657832630704731,0.7354621081981831,0.11490683229813664,0.5362318840579711,0.18925831202046034,1.177685950413223,0.7292418772563177,0.9939831528279182,0.7877743869483103,0.7856600240922575,0.14330218068535824,0.4842105263157895,0.22115384615384612,1.1363636363636365,0.7725840336134454,0.9821428571428571,0.7475934605920035,0.7418062893706125,0.1382636655948553,0.5119047619047619,0.2177215189873418,1.1074380165289257,0.7362637362637363,0.9901098901098901,0.7912348984073634,0.7837859969217774,0.14563106796116504,0.5056179775280899,0.2261306532663316,1.0909090909090908,0.7738155883851248,0.9857361181864494,0.7144295455598355,0.7121689283236099,0.08571428571428572,0.36486486486486486,0.13881748071979436,1.1900826446280992,0.7243958573072498,0.9884925201380897,0.7473609998989181,0.727321128653796,0.1188118811881188,0.4186046511627907,0.18508997429305912,1.103305785123967,0.7239130434782609,0.9918478260869565
