state,precision,recall,f1,support,predicted_count,symbol
UpTrend,0.8372093023255814,0.631578947368421,0.72,228,172,000688.SH
DownTrend,0.9302884615384616,0.9020979020979021,0.9159763313609467,429,416,000688.SH
Range,0.9534883720930233,0.6900420757363254,0.8006509357200977,713,516,000688.SH
Shock,0.568935427574171,0.9106145251396648,0.7003222341568206,358,573,000688.SH
UpTrend,0.9279069767441861,0.8599137931034483,0.8926174496644295,464,430,000852.SH
DownTrend,0.8851540616246498,0.8449197860962567,0.8645690834473324,374,357,000852.SH
Range,0.9461697722567288,0.687218045112782,0.7961672473867596,665,483,000852.SH
Shock,0.5728542914171657,0.9053627760252366,0.7017114914425429,317,501,000852.SH
