policy,switch_margin,min_new_probability,confirmation_bars,min_balanced_accuracy,min_macro_f1,min_transition_f1,max_false_transitions_per_day,mean_false_transitions_per_day,fold_2022_000688_SH_balanced_accuracy_4state,fold_2022_000688_SH_macro_f1_4state,fold_2022_000688_SH_transition_f1,fold_2022_000688_SH_false_transitions_per_day,fold_2022_000688_SH_exact_accuracy_including_abstention,fold_2022_000688_SH_online_concrete_coverage,fold_2022_000852_SH_balanced_accuracy_4state,fold_2022_000852_SH_macro_f1_4state,fold_2022_000852_SH_transition_f1,fold_2022_000852_SH_false_transitions_per_day,fold_2022_000852_SH_exact_accuracy_including_abstention,fold_2022_000852_SH_online_concrete_coverage,fold_2023_000688_SH_balanced_accuracy_4state,fold_2023_000688_SH_macro_f1_4state,fold_2023_000688_SH_transition_f1,fold_2023_000688_SH_false_transitions_per_day,fold_2023_000688_SH_exact_accuracy_including_abstention,fold_2023_000688_SH_online_concrete_coverage,fold_2023_000852_SH_balanced_accuracy_4state,fold_2023_000852_SH_macro_f1_4state,fold_2023_000852_SH_transition_f1,fold_2023_000852_SH_false_transitions_per_day,fold_2023_000852_SH_exact_accuracy_including_abstention,fold_2023_000852_SH_online_concrete_coverage,fold_2024_000688_SH_balanced_accuracy_4state,fold_2024_000688_SH_macro_f1_4state,fold_2024_000688_SH_transition_f1,fold_2024_000688_SH_false_transitions_per_day,fold_2024_000688_SH_exact_accuracy_including_abstention,fold_2024_000688_SH_online_concrete_coverage,fold_2024_000852_SH_balanced_accuracy_4state,fold_2024_000852_SH_macro_f1_4state,fold_2024_000852_SH_transition_f1,fold_2024_000852_SH_false_transitions_per_day,fold_2024_000852_SH_exact_accuracy_including_abstention,fold_2024_000852_SH_online_concrete_coverage
margin0.00_minp0.00_confirm2,0.0,0.0,2,0.7804267087704764,0.7820331929793337,0.059895833333333336,2.93801652892562,2.8078512396694215,0.8126158033460987,0.8073060041903506,0.062111801242236024,2.93801652892562,0.8176895306859205,1.0,0.8601266261259566,0.8576903928804727,0.0960591133004926,2.8016528925619837,0.8571428571428571,1.0,0.8272120818536411,0.8249706115289819,0.0808080808080808,2.793388429752066,0.8285714285714286,1.0,0.8606524973276172,0.856026900209026,0.09535759096612295,2.768595041322314,0.8558329088130413,1.0,0.7804267087704764,0.7820331929793337,0.059895833333333336,2.772727272727273,0.7957422324510932,1.0,0.8248642084575426,0.8182941555891169,0.08111533586818759,2.772727272727273,0.825,1.0
margin0.00_minp0.00_confirm3,0.0,0.0,3,0.7768831371477064,0.7782676798961774,0.11267605633802816,1.9297520661157024,1.7782369146005508,0.8148930772913654,0.8044223006260229,0.11267605633802816,1.9297520661157024,0.8152827918170878,1.0,0.8518770485125645,0.8504293497171511,0.16100178890876565,1.7314049586776858,0.8482142857142857,0.9989495798319328,0.8289451903473208,0.827665590063627,0.14842300556586271,1.7148760330578512,0.8302197802197803,0.9972527472527473,0.8634722401239674,0.8585470544855985,0.17832167832167833,1.7851239669421488,0.8578706062149771,0.999490575649516,0.7768831371477064,0.7782676798961774,0.12313432835820896,1.7727272727272727,0.7974683544303798,0.9994246260069045,0.8316387442477007,0.8220870209676286,0.14990859232175502,1.7355371900826446,0.8277173913043478,0.9989130434782608
margin0.00_minp0.00_confirm4,0.0,0.0,4,0.755410932831027,0.7564903464440946,0.17031630170316303,1.334710743801653,1.2286501377410468,0.7973926043415955,0.7821508929835526,0.1935483870967742,1.334710743801653,0.789410348977136,0.9963898916967509,0.8154964502287658,0.8150843571157963,0.23665893271461716,1.177685950413223,0.8072478991596639,0.9868697478991597,0.796472703123292,0.7983932106048133,0.19858156028368795,1.2272727272727273,0.7994505494505495,0.9906593406593407,0.8406483479700813,0.8387843788791454,0.23943661971830987,1.1818181818181819,0.8323993886907795,0.9877738155883852,0.755410932831027,0.7564903464440946,0.17031630170316303,1.2479338842975207,0.7727272727272727,0.9925201380897584,0.8167655869364795,0.8042622737363109,0.20476190476190476,1.2024793388429753,0.8054347826086956,0.9923913043478261
margin0.00_minp0.45_confirm2,0.0,0.45,2,0.7800891217510335,0.781690551945798,0.06157965194109772,2.871900826446281,2.715564738292011,0.8138205631347721,0.8077225372814092,0.06582278481012659,2.871900826446281,0.8182912154031288,1.0,0.859734401728133,0.857040403394,0.0982367758186398,2.727272727272727,0.8566176470588235,1.0,0.8280011887850278,0.8253304030776298,0.08179419525065965,2.65702479338843,0.8291208791208792,1.0,0.863564283965091,0.8590155006094756,0.0987012987012987,2.65702479338843,0.8588894549159449,1.0,0.7800891217510335,0.781690551945798,0.06157965194109772,2.6859504132231407,0.7951668584579977,1.0,0.8246043398676344,0.8180372669907492,0.08311688311688312,2.6942148760330578,0.825,1.0
margin0.00_minp0.45_confirm3,0.0,0.45,3,0.7783581120126765,0.7796642145032203,0.11552346570397111,1.871900826446281,1.7196969696969697,0.8143522640840558,0.8032996982943492,0.11552346570397111,1.871900826446281,0.8140794223826715,1.0,0.8557442080468978,0.8534000325139875,0.1688073394495413,1.6694214876033058,0.8513655462184874,0.9984243697478992,0.8227640180420922,0.8227461612412281,0.1544256120527307,1.677685950413223,0.8258241758241758,0.9961538461538462,0.8691948594429577,0.8640106190812842,0.18478260869565216,1.7024793388429753,0.8629648497198166,0.999490575649516,0.7783581120126765,0.7796642145032203,0.12716763005780346,1.7024793388429753,0.7968929804372842,0.997698504027618,0.8312620149645648,0.8217932666118215,0.15613382899628253,1.6942148760330578,0.8271739130434783,0.9989130434782608
margin0.00_minp0.45_confirm4,0.0,0.45,4,0.7555763639202361,0.7580207806419932,0.1754385964912281,1.2727272727272727,1.1893939393939394,0.7947186212390784,0.7805391171883836,0.20047732696897375,1.2727272727272727,0.7858002406738869,0.9939831528279182,0.814589945714263,0.8156005276434732,0.24,1.1528925619834711,0.8061974789915967,0.9821428571428571,0.7944069595681867,0.7964735074910192,0.2028985507246377,1.1900826446280992,0.7972527472527473,0.9901098901098901,0.8412478683537743,0.8402123024325474,0.2482100238663484,1.1487603305785123,0.8329088130412634,0.9857361181864494,0.7555763639202361,0.7580207806419932,0.1754385964912281,1.1983471074380165,0.7727272727272727,0.9884925201380897,0.8162931074665803,0.8037165409361446,0.2082324455205811,1.1735537190082646,0.8043478260869565,0.9918478260869565
margin0.00_minp0.55_confirm2,0.0,0.55,2,0.7792401927353442,0.7818674692021021,0.08077544426494346,2.450413223140496,2.268595041322314,0.8191293341477501,0.8097238054621153,0.08946608946608946,2.450413223140496,0.8194945848375451,1.0,0.8554218903645571,0.8519825523876031,0.10843373493975904,2.2024793388429753,0.8513655462184874,1.0,0.8335771859793338,0.8294945093898058,0.08408408408408408,2.2892561983471076,0.8324175824175825,0.9994505494505495,0.8687594364527518,0.8639376841120234,0.11764705882352942,2.2107438016528924,0.8639836984207845,1.0,0.7792401927353442,0.7818674692021021,0.08077544426494346,2.1487603305785123,0.7991944764096662,0.9994246260069045,0.8195395841085552,0.8113476837431637,0.09453471196454949,2.309917355371901,0.8190217391304347,1.0
margin0.00_minp0.55_confirm3,0.0,0.55,3,0.7686176710006454,0.7718294211139248,0.1434426229508197,1.5867768595041323,1.440082644628099,0.8059504293163393,0.7911455692495082,0.1434426229508197,1.5867768595041323,0.7966305655836342,0.9957882069795427,0.8379611752890708,0.8347282761186687,0.19206680584551147,1.396694214876033,0.8314075630252101,0.9968487394957983,0.8099454455286187,0.810492504912791,0.16560509554140126,1.43801652892562,0.8098901098901099,0.9917582417582418,0.8579459344065046,0.8538958702945969,0.21894736842105264,1.3801652892561984,0.8497198166072338,0.9923586347427407,0.7686176710006454,0.7718294211139248,0.16263736263736264,1.421487603305785,0.7911392405063291,0.996547756041427,0.8202306451205259,0.8100555987063297,0.17834394904458598,1.4173553719008265,0.8135869565217392,0.9951086956521739
margin0.00_minp0.55_confirm4,0.0,0.55,4,0.7301582380332744,0.7353668422948917,0.19186046511627905,1.06198347107438,0.9683195592286502,0.7729314342111613,0.7625183148971888,0.21857923497267762,1.06198347107438,0.7581227436823105,0.9771359807460891,0.7869800188436209,0.791283520079142,0.25268817204301075,0.9504132231404959,0.7783613445378151,0.9747899159663865,0.7676608243702775,0.7736300485127632,0.21917808219178084,0.9958677685950413,0.7681318681318682,0.9741758241758242,0.8141852237153162,0.8191752922902201,0.2808988764044944,0.8966942148760331,0.803871625063678,0.9668874172185431,0.7301582380332744,0.7353668422948917,0.19186046511627905,0.9793388429752066,0.7485615650172612,0.9787111622554661,0.7832194278624679,0.7724330960964112,0.2386363636363636,0.9256198347107438,0.7701086956521739,0.9815217391304348
margin0.00_minp0.65_confirm2,0.0,0.65,2,0.7780855093024106,0.7811152595062383,0.10769230769230768,1.9090909090909092,1.746556473829201,0.8219684058458256,0.8083567440610726,0.11702127659574467,1.9090909090909092,0.8176895306859205,0.9993983152827918,0.8474961823811166,0.8431806372466498,0.14990859232175505,1.6983471074380165,0.8419117647058824,0.9989495798319328,0.8277887573502506,0.8236299070528112,0.111731843575419,1.7479338842975207,0.8247252747252747,0.9945054945054945,0.8656900941793046,0.8599861349221963,0.15412844036697246,1.7107438016528926,0.8593988792664289,0.9989811512990321,0.7780855093024106,0.7811152595062383,0.10769230769230768,1.7272727272727273,0.7974683544303798,0.996547756041427,0.8183220537298286,0.808371081256081,0.11089866156787762,1.6859504132231404,0.8108695652173913,0.9951086956521739
