state,precision,recall,f1,support,predicted_count,symbol
UpTrend,0.8197674418604651,0.618421052631579,0.7050000000000001,228,172,000688.SH
DownTrend,0.9211822660098522,0.8717948717948718,0.895808383233533,429,406,000688.SH
Range,0.910394265232975,0.7124824684431977,0.7993705743509048,713,558,000688.SH
Shock,0.5822550831792976,0.8798882681564246,0.7007786429365962,358,541,000688.SH
UpTrend,0.9148936170212766,0.834051724137931,0.8726042841037205,464,423,000852.SH
DownTrend,0.8587257617728532,0.8288770053475936,0.8435374149659863,374,361,000852.SH
Range,0.9003831417624522,0.706766917293233,0.7919123841617524,665,522,000852.SH
Shock,0.6064516129032258,0.889589905362776,0.7212276214833759,317,465,000852.SH
