symbol,role,n_scored,online_concrete_coverage,exact_accuracy_including_abstention,conditional_accuracy_when_online_concrete,balanced_accuracy_4state,macro_f1_4state,online_transition_count,judge_transition_count,matched_transition_count,transition_precision,transition_recall,transition_f1,false_transitions_per_day,median_delay_vs_availability_bars,median_delay_vs_availability_minutes
000852.SH,v5_selected,1820,0.9730769230769231,0.7961538461538461,0.8181818181818182,0.8148213880353834,0.8073204261787088,325,79,41,0.12615384615384614,0.5189873417721519,0.20297029702970296,1.168724279835391,-1.0,-5.0
000852.SH,v4_policy,1820,1.0,0.8428571428571429,0.8428571428571429,0.8573698094360962,0.8416507912738889,464,79,38,0.08189655172413793,0.4810126582278481,0.13996316758747698,1.7530864197530864,-2.0,-10.0
000688.SH,v5_selected,1728,0.9704861111111112,0.7743055555555556,0.7978533094812165,0.7706466652565183,0.7752394001302585,289,77,35,0.12110726643598616,0.45454545454545453,0.19125683060109286,1.045267489711934,-1.0,-5.0
000688.SH,v4_policy,1728,0.9976851851851852,0.8171296296296297,0.8190255220417634,0.8153712504877629,0.809686179934317,442,77,36,0.08144796380090498,0.4675324675324675,0.13872832369942198,1.6707818930041152,-2.0,-10.0
