symbol,horizon,K,control_correlation_ASSUMED,event_control_covariance_ASSUMED,variance_ratio_to_independent_one_control,information_multiple_ASSUMPTION,actual_matching_changed
000688.SH,15,5,0,0,0.618621014659,1.61649859333,False
000688.SH,15,10,0,0,0.570948641491,1.75147102091,False
000688.SH,15,infinity,0,0,0.523276268323,1.9110364076,False
000688.SH,15,1,0.5,0,1,1,False
000688.SH,15,2,0.5,0,0.880819067081,1.13530694029,False
000688.SH,15,5,0.5,0,0.809310507329,1.23561969225,False
000688.SH,15,10,0.5,0,0.785474320745,1.27311609506,False
000688.SH,15,infinity,0.5,0,0.761638134162,1.31295946874,False
000688.SH,30,1,0,0,1,1,False
000688.SH,30,2,0,0,0.773853366009,1.29223447739,False
000688.SH,30,5,0,0,0.638165385615,1.56699191548,False
000688.SH,30,10,0,0,0.592936058816,1.68652249282,False
000688.SH,30,infinity,0,0,0.547706732018,1.8257946115,False
000688.SH,30,1,0.5,0,1,1,False
000688.SH,30,2,0.5,0,0.886926683005,1.12748891105,False
000688.SH,30,5,0.5,0,0.819082692807,1.22087795137,False
000688.SH,30,10,0.5,0,0.796468029408,1.25554317697,False
000688.SH,30,infinity,0.5,0,0.773853366009,1.29223447739,False
000688.SH,60,1,0,0,1,1,False
000688.SH,60,2,0,0,0.780121811845,1.28185109661,False
000688.SH,60,5,0,0,0.648194898951,1.54274586489,False
000688.SH,60,10,0,0,0.60421926132,1.65502833825,False
000688.SH,60,infinity,0,0,0.560243623689,1.78493776228,False
000688.SH,60,1,0.5,0,1,1,False
000688.SH,60,2,0.5,0,0.890060905922,1.12351861917,False
000688.SH,60,5,0.5,0,0.824097449476,1.2134487258,False
000688.SH,60,10,0.5,0,0.80210963066,1.2467123717,False
000688.SH,60,infinity,0.5,0,0.780121811845,1.28185109661,False
000688.SH,120,1,0,0,1,1,False
000688.SH,120,2,0,0,0.825757308873,1.21100956571,False
000688.SH,120,5,0,0,0.721211694197,1.3865554428,False
000688.SH,120,10,0,0,0.686363155971,1.45695466212,False
000688.SH,120,infinity,0,0,0.651514617746,1.53488497842,False
000688.SH,120,1,0.5,0,1,1,False
000688.SH,120,2,0.5,0,0.912878654436,1.09543584478,False
000688.SH,120,5,0.5,0,0.860605847098,1.16197211926,False
000688.SH,120,10,0.5,0,0.843181577986,1.18598416534,False
000688.SH,120,infinity,0.5,0,0.825757308873,1.21100956571,False
000688.SH,240,1,0,0,1,1,False
000688.SH,240,2,0,0,0.819390785218,1.22041889907,False
000688.SH,240,5,0,0,0.711025256348,1.40641980165,False
000688.SH,240,10,0,0,0.674903413392,1.48169349889,False
000688.SH,240,infinity,0,0,0.638781570435,1.56548035554,False
000688.SH,240,1,0.5,0,1,1,False
000688.SH,240,2,0.5,0,0.909695392609,1.09926906097,False
000688.SH,240,5,0.5,0,0.855512628174,1.16888981772,False
000688.SH,240,10,0.5,0,0.837451706696,1.19409870683,False
000688.SH,240,infinity,0.5,0,0.819390785218,1.22041889907,False
