symbol,horizon,view,lag_trading_days,products,event_lag_product_bp2,control_lag_product_bp2,event_control_lag_product_bp2,control_event_lag_product_bp2,difference_lag_product_bp2,mean_variance_estimator
000852.SH,60,UNSIGNED,5,1457,1494.59065881,-250.053053032,7060.86772463,-3043.67180841,-2772.65831044,False
000852.SH,60,UNSIGNED,20,1442,300.914567494,-1419.9229611,1782.78839393,4076.70496915,-6978.50175668,False
000852.SH,60,UNSIGNED,60,1402,307.540120343,-33.8342497101,-5700.08942004,1144.68896164,4829.10632903,False
000852.SH,120,SIGNED,0,1462,45894.4599116,165382.049771,10031.2936446,10031.2936446,191213.922393,False
000852.SH,120,SIGNED,1,1461,-653.905118024,-5129.56296424,4988.97032785,2423.23132237,-13195.6697325,False
000852.SH,120,SIGNED,5,1457,-425.663757198,950.451382162,-641.228788825,-3617.44748302,4783.46389681,False
000852.SH,120,SIGNED,20,1442,-378.112171835,-3797.95758349,-809.098332338,10232.0203457,-13598.9917687,False
000852.SH,120,SIGNED,60,1402,-1021.61929524,-1207.89694851,-3250.85593515,-6032.72671673,7054.06640812,False
000852.SH,120,UNSIGNED,0,1462,87256.810857,257326.034843,15687.4577705,15687.4577705,313207.930159,False
000852.SH,120,UNSIGNED,1,1461,9344.03385493,12859.0230054,12402.985492,1562.8678132,8237.20355511,False
000852.SH,120,UNSIGNED,5,1457,-668.043331784,873.864410133,17838.8222129,-17344.0133357,-288.987798834,False
000852.SH,120,UNSIGNED,20,1442,401.051947008,123.865628893,-8318.09287629,17522.3577933,-8679.34734114,False
000852.SH,120,UNSIGNED,60,1402,3774.93726376,-2188.35014143,-3555.55550431,4513.59079361,628.55183303,False
000852.SH,240,SIGNED,0,1462,98103.1636018,406543.091192,27917.4197799,27917.4197799,448811.415234,False
000852.SH,240,SIGNED,1,1461,7686.94219783,-26894.6868401,16122.8304919,-2806.78289862,-32523.7922354,False
000852.SH,240,SIGNED,5,1457,2946.40330261,2687.85023285,8372.68516035,-3549.07789608,810.646271186,False
000852.SH,240,SIGNED,20,1442,-1025.58388887,-10815.8577444,-5620.44848529,9549.49393909,-15770.4870871,False
000852.SH,240,SIGNED,60,1402,-1705.62283933,4805.36189585,-15724.5347195,-4407.47858736,23231.7523634,False
000852.SH,240,UNSIGNED,0,1462,322598.819135,786887.130374,52510.6974946,52510.6974946,1004464.55452,False
000852.SH,240,UNSIGNED,1,1461,58805.3110813,69524.5289923,46247.9356086,3847.81787544,78234.0865896,False
000852.SH,240,UNSIGNED,5,1457,14842.2707389,-3140.43493856,95115.070996,-67564.2627724,-15848.9724233,False
000852.SH,240,UNSIGNED,20,1442,5499.688487,24323.6355477,-5429.22549998,66023.9918614,-30771.4423267,False
000852.SH,240,UNSIGNED,60,1402,-11438.6371278,-13406.1716659,-18114.0388907,7540.5691219,-14271.3390249,False
000688.SH,1,SIGNED,0,110,113.074557923,413.070994,5.39667544041,5.39667544041,515.352201042,False
000688.SH,1,SIGNED,1,109,28.8949701799,2.1512077449,-9.70863260229,-6.03438606072,46.7891965878,False
000688.SH,1,SIGNED,5,105,24.9514903404,39.3828254298,7.62056671015,-13.5037203257,70.2174693857,False
000688.SH,1,SIGNED,20,90,6.82444892209,0.746911496383,1.31074169948,-9.36401490381,15.6246336228,False
000688.SH,1,SIGNED,60,50,2.41595320765,1.3225553474,-8.53749372626,34.2137266081,-21.9377243268,False
000688.SH,1,UNSIGNED,0,110,72.2965088989,332.019511411,3.22687214732,3.22687214732,397.862276015,False
000688.SH,1,UNSIGNED,1,109,11.3833181615,-13.6818951593,6.73225426703,4.82476393808,-13.8555952028,False
000688.SH,1,UNSIGNED,5,105,7.5142344015,9.24755741306,0.397660392295,11.6703146336,4.69381678871,False
000688.SH,1,UNSIGNED,20,90,3.94755519014,-2.01347405811,-11.4154084304,13.3099597437,0.0395298187082,False
000688.SH,1,UNSIGNED,60,50,-5.58367098688,-2.68181758449,-4.62405765625,-1.53907710685,-2.10235380828,False
000688.SH,5,SIGNED,0,110,916.593215459,898.349812858,36.9967497883,36.9967497883,1740.94952874,False
000688.SH,5,SIGNED,1,109,-119.064855396,-105.531508151,-4.31432015743,19.8953335344,-240.177376924,False
000688.SH,5,SIGNED,5,105,278.111851079,85.3485691068,41.2658809928,92.4680159596,229.726523234,False
000688.SH,5,SIGNED,20,90,76.5334630953,-116.437659888,-24.4066393069,-130.14936533,114.651807844,False
000688.SH,5,SIGNED,60,50,47.3493111932,-17.8726446124,-4.72488486593,198.808788944,-164.607237497,False
000688.SH,5,UNSIGNED,0,110,550.348972092,993.065527658,117.207346487,117.207346487,1308.99980678,False
000688.SH,5,UNSIGNED,1,109,-58.6729669903,-1.52923964513,60.4924859077,-48.7328126677,-71.9618798755,False
000688.SH,5,UNSIGNED,5,105,-157.56932386,-5.11075332054,27.7588463532,5.25601621648,-195.69493975,False
000688.SH,5,UNSIGNED,20,90,4.97744398422,63.083955062,67.8802657867,90.6554379505,-90.474304691,False
000688.SH,5,UNSIGNED,60,50,99.3548663909,-28.9640986854,-10.8845210167,30.7314199472,50.5438687751,False
000688.SH,15,SIGNED,0,110,1452.76009013,2945.84507995,75.5096960973,75.5096960973,4247.58577789,False
000688.SH,15,SIGNED,1,109,21.0899800442,-534.344423516,-129.213827533,-75.4109309414,-308.629684998,False
000688.SH,15,SIGNED,5,105,-97.7318333135,160.623167607,230.597066522,77.1351016844,-244.840833913,False
000688.SH,15,SIGNED,20,90,173.819453273,-526.910505808,56.6673266343,-228.479116549,-181.279262621,False
