day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2015-05-12,2.78516863365,0,2.78516863365,000852.SH,1,SIGNED
2015-05-13,15.6019481892,0,15.6019481892,000852.SH,1,SIGNED
2015-05-14,4.8300152173,0,4.8300152173,000852.SH,1,SIGNED
2015-05-15,-1.54809098182,0,-1.54809098182,000852.SH,1,SIGNED
2015-05-18,23.3439654085,0,23.3439654085,000852.SH,1,SIGNED
2015-05-19,1.16711990996,0,1.16711990996,000852.SH,1,SIGNED
2015-05-20,9.69380764507,0,9.69380764507,000852.SH,1,SIGNED
2015-05-21,11.9008083035,0,11.9008083035,000852.SH,1,SIGNED
2015-05-22,8.00345760324,0,8.00345760324,000852.SH,1,SIGNED
2015-05-25,0.0649770479546,6.67565191666,-6.61067486871,000852.SH,1,SIGNED
2015-05-26,16.6565073235,0,16.6565073235,000852.SH,1,SIGNED
2015-05-27,16.4713886077,0,16.4713886077,000852.SH,1,SIGNED
2015-05-28,32.2700566753,0,32.2700566753,000852.SH,1,SIGNED
2015-05-29,57.2290945352,0,57.2290945352,000852.SH,1,SIGNED
2015-06-01,24.7349099062,0,24.7349099062,000852.SH,1,SIGNED
2015-06-02,14.3723484832,0,14.3723484832,000852.SH,1,SIGNED
2015-06-03,14.3625276641,0,14.3625276641,000852.SH,1,SIGNED
2015-06-04,-18.5411313346,702.813784624,-721.354915959,000852.SH,1,SIGNED
2015-06-05,-7.55200289488,0,-7.55200289488,000852.SH,1,SIGNED
2015-06-08,12.3580348384,0,12.3580348384,000852.SH,1,SIGNED
2015-06-09,-0.834775049639,0,-0.834775049639,000852.SH,1,SIGNED
2015-06-10,16.42509416,0,16.42509416,000852.SH,1,SIGNED
2015-06-11,2.53939736447,0,2.53939736447,000852.SH,1,SIGNED
2015-06-12,-2.97942872668,0,-2.97942872668,000852.SH,1,SIGNED
2015-06-15,0,10.9987936503,-10.9987936503,000852.SH,1,SIGNED
2015-06-16,29.0808574512,79.6581096746,-50.5772522234,000852.SH,1,SIGNED
2015-06-17,16.807578615,0,16.807578615,000852.SH,1,SIGNED
2015-06-18,23.8935615498,0,23.8935615498,000852.SH,1,SIGNED
2015-06-19,-29.4392105126,0,-29.4392105126,000852.SH,1,SIGNED
2015-06-23,10.3463973853,0,10.3463973853,000852.SH,1,SIGNED
2015-06-24,-14.9319321643,0,-14.9319321643,000852.SH,1,SIGNED
2015-06-25,1.32077617252,-14.0866919619,15.4074681344,000852.SH,1,SIGNED
2015-06-26,-32.6527460412,0,-32.6527460412,000852.SH,1,SIGNED
2015-06-29,31.3176927518,0,31.3176927518,000852.SH,1,SIGNED
2015-06-30,23.8122728843,0,23.8122728843,000852.SH,1,SIGNED
2015-07-01,-21.2199676924,0,-21.2199676924,000852.SH,1,SIGNED
2015-07-02,34.7087322389,0,34.7087322389,000852.SH,1,SIGNED
2015-07-03,52.4422994558,0,52.4422994558,000852.SH,1,SIGNED
2015-07-06,-53.7262780969,0,-53.7262780969,000852.SH,1,SIGNED
2015-07-07,-10.5823173245,0,-10.5823173245,000852.SH,1,SIGNED
2015-07-08,0,2.21716399722,-2.21716399722,000852.SH,1,SIGNED
2015-07-09,-8.48324105479,-13.1128330679,4.62959201314,000852.SH,1,SIGNED
2015-07-10,0,-0.232305942031,0.232305942031,000852.SH,1,SIGNED
2015-07-13,-5.63671067035,22.4837686046,-28.1204792749,000852.SH,1,SIGNED
2015-07-14,-22.6225708881,-9.73092438355,-12.8916465045,000852.SH,1,SIGNED
2015-07-15,-15.1310825342,0,-15.1310825342,000852.SH,1,SIGNED
2015-07-16,-19.6187462542,0,-19.6187462542,000852.SH,1,SIGNED
2015-07-17,-12.730536802,0,-12.730536802,000852.SH,1,SIGNED
2015-07-20,-16.9160180337,0,-16.9160180337,000852.SH,1,SIGNED
2015-07-21,-0.807521630007,0,-0.807521630007,000852.SH,1,SIGNED
2015-07-22,-50.0947567003,0,-50.0947567003,000852.SH,1,SIGNED
2015-07-23,6.52784820416,0,6.52784820416,000852.SH,1,SIGNED
2015-07-24,42.2245044312,0,42.2245044312,000852.SH,1,SIGNED
2015-07-27,26.9734893942,0,26.9734893942,000852.SH,1,SIGNED
2015-07-28,-30.2910423038,0,-30.2910423038,000852.SH,1,SIGNED
2015-07-29,30.1211467543,0,30.1211467543,000852.SH,1,SIGNED
2015-07-30,-72.8695790765,0,-72.8695790765,000852.SH,1,SIGNED
2015-07-31,-49.2780439103,0,-49.2780439103,000852.SH,1,SIGNED
2015-08-03,-17.9757756746,0,-17.9757756746,000852.SH,1,SIGNED
2015-08-04,25.256732346,0,25.256732346,000852.SH,1,SIGNED
2015-08-05,-48.4062601713,0,-48.4062601713,000852.SH,1,SIGNED
2015-08-06,-31.1536651666,0,-31.1536651666,000852.SH,1,SIGNED
2015-08-07,9.75782882326,98.0372324819,-88.2794036586,000852.SH,1,SIGNED
2015-08-10,-3.53057911614,0,-3.53057911614,000852.SH,1,SIGNED
2015-08-11,-22.1663451291,0,-22.1663451291,000852.SH,1,SIGNED
2015-08-12,-14.9670628813,0,-14.9670628813,000852.SH,1,SIGNED
2015-08-13,-15.4487627909,0,-15.4487627909,000852.SH,1,SIGNED
2015-08-14,-27.2550672739,0,-27.2550672739,000852.SH,1,SIGNED
2015-08-17,-4.83551459471,0,-4.83551459471,000852.SH,1,SIGNED
2015-08-18,8.19036490231,0,8.19036490231,000852.SH,1,SIGNED
2015-08-19,7.1966516149,0,7.1966516149,000852.SH,1,SIGNED
2015-08-20,-31.3490547241,0,-31.3490547241,000852.SH,1,SIGNED
2015-08-21,-23.3550843206,0,-23.3550843206,000852.SH,1,SIGNED
2015-08-24,-0.43024623119,0,-0.43024623119,000852.SH,1,SIGNED
2015-08-25,4.84197685888,0,4.84197685888,000852.SH,1,SIGNED
2015-08-26,3.448348726,0,3.448348726,000852.SH,1,SIGNED
2015-08-27,-62.0739966924,0,-62.0739966924,000852.SH,1,SIGNED
2015-08-28,-37.5157582419,0,-37.5157582419,000852.SH,1,SIGNED
2015-08-31,-0.548751275145,0,-0.548751275145,000852.SH,1,SIGNED
2015-09-01,23.6890162656,139.695841308,-116.006825042,000852.SH,1,SIGNED
2015-09-02,-20.4369079296,0,-20.4369079296,000852.SH,1,SIGNED
2015-09-07,-31.8635287202,0,-31.8635287202,000852.SH,1,SIGNED
2015-09-08,-18.8741174255,0,-18.8741174255,000852.SH,1,SIGNED
2015-09-09,37.7228082733,0,37.7228082733,000852.SH,1,SIGNED
2015-09-10,-23.5096152625,0,-23.5096152625,000852.SH,1,SIGNED
2015-09-11,-23.0995771331,0,-23.0995771331,000852.SH,1,SIGNED
2015-09-14,-8.67461847954,0,-8.67461847954,000852.SH,1,SIGNED
2015-09-15,-4.42507455398,0,-4.42507455398,000852.SH,1,SIGNED
2015-09-16,-2.75078740772,0,-2.75078740772,000852.SH,1,SIGNED
2015-09-17,39.4560305844,0,39.4560305844,000852.SH,1,SIGNED
2015-09-18,-29.4761610983,0,-29.4761610983,000852.SH,1,SIGNED
2015-09-21,9.40531302702,0,9.40531302702,000852.SH,1,SIGNED
2015-09-22,-2.57979504934,0,-2.57979504934,000852.SH,1,SIGNED
2015-09-23,-7.41223220584,0,-7.41223220584,000852.SH,1,SIGNED
2015-09-24,0,58.9475053312,-58.9475053312,000852.SH,1,SIGNED
2015-09-25,-5.9752451622,28.8884984343,-34.8637435965,000852.SH,1,SIGNED
2015-09-28,5.65191178137,0,5.65191178137,000852.SH,1,SIGNED
2015-09-29,-8.98643321027,0,-8.98643321027,000852.SH,1,SIGNED
2015-09-30,-0.556480545574,0,-0.556480545574,000852.SH,1,SIGNED
2015-10-08,5.06605655526,0,5.06605655526,000852.SH,1,SIGNED
2015-10-09,3.38254711545,0,3.38254711545,000852.SH,1,SIGNED
2015-10-12,-8.09378272994,0,-8.09378272994,000852.SH,1,SIGNED
2015-10-13,12.8312722599,0,12.8312722599,000852.SH,1,SIGNED
2015-10-14,-3.41961740399,0,-3.41961740399,000852.SH,1,SIGNED
2015-10-15,2.58413891551,0,2.58413891551,000852.SH,1,SIGNED
2015-10-16,6.99794285729,0,6.99794285729,000852.SH,1,SIGNED
2015-10-19,20.242825794,0,20.242825794,000852.SH,1,SIGNED
2015-10-20,5.28933526189,0,5.28933526189,000852.SH,1,SIGNED
2015-10-21,5.39034190373,0,5.39034190373,000852.SH,1,SIGNED
2015-10-22,-24.5873266882,0,-24.5873266882,000852.SH,1,SIGNED
2015-10-23,9.11874428516,0,9.11874428516,000852.SH,1,SIGNED
2015-10-26,-4.75990479648,0,-4.75990479648,000852.SH,1,SIGNED
2015-10-27,12.9819963389,0,12.9819963389,000852.SH,1,SIGNED
2015-10-28,26.2932281849,0,26.2932281849,000852.SH,1,SIGNED
2015-10-29,-19.8666874258,0,-19.8666874258,000852.SH,1,SIGNED
2015-10-30,17.7375669211,0,17.7375669211,000852.SH,1,SIGNED
2015-11-02,1.65783673941,0,1.65783673941,000852.SH,1,SIGNED
2015-11-03,-16.277452896,0,-16.277452896,000852.SH,1,SIGNED
2015-11-04,9.14583844912,8.2386543001,0.907184149025,000852.SH,1,SIGNED
2015-11-05,-2.69623221797,0,-2.69623221797,000852.SH,1,SIGNED
2015-11-06,16.6314600167,0,16.6314600167,000852.SH,1,SIGNED
2015-11-09,1.89998173281,0,1.89998173281,000852.SH,1,SIGNED
2015-11-10,0.562446352202,0,0.562446352202,000852.SH,1,SIGNED
