symbol,horizon,view,n,unique_controls,maximum_control_reuse,pairs_using_repeated_control_fraction,effective_controls_IF_independent_equal_variance,control_after_event_fraction,same_day_fraction,median_absolute_control_gap_trading_days,p90_absolute_control_gap_trading_days,within_pair_overlap_fraction,maximum_within_pair_overlap_bars,event_primitive_weight_energy,control_primitive_weight_energy,event_sum_individual_energies,control_sum_individual_energies,control_exact_reuse_excess_energy,control_other_overlap_energy,net_primitive_weight_energy,primitive_covariance_cancellation_ratio_ASSUMPTION,control_exact_reuse_fraction_of_energy,minute_absolute_exposure_cancellation,calendar_trading_days,pairs_per_calendar_day,event_reconstruction_error_bp,control_reconstruction_error_bp,daily_n,daily_event_var_bp2,daily_control_var_bp2,daily_event_control_cov_bp2,daily_covariance_term_bp2,daily_difference_var_bp2,daily_event_sd_bp,daily_control_sd_bp,daily_difference_sd_bp,daily_event_control_correlation,daily_event_share_of_difference,daily_control_share_of_difference,daily_covariance_share_of_difference,daily_cancellation_relative_to_marginal_sum,daily_top_1pct_centered_square_share,daily_top_5pct_centered_square_share,daily_variance_identity_error_bp2
000852.SH,120,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,119,301270.841028,1179063.37342,210086.421081,210282.015026,111209.207038,857572.151353,1293516.50283,0.126199685037,0.0943199573027,0.238399744083,1462,1.19835841313,1.81898940355e-11,9.09494701773e-12,1462,45894.4599116,165382.049771,10031.2936446,-20062.5872892,191213.922393,214.229923007,406.671919083,437.280141778,0.115141697212,0.240016309153,0.864905900684,-0.104922209837,0.0949589110467,0.756783796867,0.91500419211,6.69388100505e-10
000852.SH,120,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.202054794521,119,421601.109196,1609010.93248,210086.421081,210282.015026,111209.207038,1287519.71042,1815655.67965,0.105857917524,0.0691165018166,0.217221916474,1462,1.19835841313,5.45696821064e-12,7.27595761418e-12,1462,87256.810857,257326.034843,15687.4577705,-31374.915541,313207.930159,295.392638461,507.273136331,559.64982816,0.104691407297,0.278590681956,0.821582118666,-0.100172800622,0.0910518789096,0.693384287805,0.921298807801,4.65661287308e-10
000852.SH,240,SIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.203196347032,239,746097.697447,2694832.89963,419931.891444,421141.921691,224580.548993,2049110.42895,2970745.89427,0.136644634219,0.0833374674264,0.268647704725,1462,1.19835841313,1.09139364213e-11,2.72848410532e-11,1462,98103.1636018,406543.091192,27917.4197799,-55834.8395599,448811.415234,313.214245528,637.607317392,669.933888704,0.139791407634,0.218584377027,0.905821637759,-0.124406014786,0.110641541534,0.720945256905,0.905612440465,5.23868948221e-10
000852.SH,240,UNSIGNED,1752,1482,10,0.253424657534,1147.04932735,0.381278538813,0.202054794521,49,150,0.203196347032,239,1353324.85584,4400002.5754,419931.891444,421141.921691,224580.548993,3754280.10472,5106762.24559,0.112381086141,0.0510410039868,0.240140840975,1462,1.19835841313,3.63797880709e-12,2.18278728426e-11,1462,322598.819135,786887.130374,52510.6974946,-105021.394989,1004464.55452,567.977833313,887.066587339,1002.22979128,0.104222186272,0.321164960659,0.783389644595,-0.104554605254,0.0946577061527,0.647746778517,0.915486329336,3.49245965481e-09
000688.SH,1,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0,0,156,186,156,156,30,0,342,0,0.161290322581,0,110,1.41818181818,9.20863385545e-12,2.50111042988e-12,110,113.074557923,413.070994,5.39667544041,-10.7933508808,515.352201042,10.6336521442,20.324148051,22.7013700257,0.0249707450748,0.219412195571,0.801531444252,-0.0209436398234,0.0205140019551,0.64676097713,0.803754546303,4.54747350886e-13
000688.SH,1,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0,0,156,186,156,156,30,0,342,0,0.161290322581,0,110,1.41818181818,1.74793512997e-12,4.22062385041e-12,110,72.2965088989,332.019511411,3.22687214732,-6.45374429464,397.862276015,8.50273537745,18.2214025643,19.9464853048,0.0208276989794,0.181712399635,0.834508651427,-0.0162210510614,0.015962128559,0.626668458806,0.780804304752,5.11590769747e-13
000688.SH,5,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.121794871795,4,779.976487943,1066.11409555,779.976487943,779.996420502,150.093757088,136.023917961,1672.07781244,0.0942601476941,0.140785829316,0.102563572748,110,1.41818181818,1.01749719761e-11,4.60431692773e-12,110,916.593215459,898.349812858,36.9967497883,-73.9934995767,1740.94952874,30.2752905099,29.9724842624,41.7246872815,0.0407711078481,0.526490400972,0.516011405286,-0.0425018062587,0.040769048076,0.307108483096,0.629750033667,2.04636307899e-12
000688.SH,5,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.121794871795,4,779.976487943,1134.29482115,779.976487943,779.996420502,150.093757088,204.204643564,1732.27706817,0.0950723338217,0.132323408596,0.103806852968,110,1.41818181818,2.31636931858e-12,5.71276359551e-12,110,550.348972092,993.065527658,117.207346487,-234.414692973,1308.99980678,23.4595177293,31.5129422247,36.18010236,0.158542901069,0.420434723705,0.75864451814,-0.179079241845,0.151880582313,0.363681058502,0.582648839846,2.27373675443e-13
000688.SH,15,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,14,2371.50074491,3850.94861598,2339.79699753,2339.91452678,450.252624,1060.7814652,5506.11924821,0.115120279995,0.116919925166,0.128229236772,110,1.41818181818,1.02318153949e-12,1.5916157281e-12,110,1452.76009013,2945.84507995,75.5096960973,-151.019392195,4247.58577789,38.115090058,54.2756398392,65.1735051834,0.036500668641,0.342020188902,0.693533982359,-0.0355541712614,0.0343334730795,0.37403694491,0.543493793374,9.09494701773e-13
000688.SH,15,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,14,2411.43103796,4245.25077066,2339.79699753,2339.91452678,450.252624,1455.08361988,5857.1820697,0.120104845313,0.106060312647,0.132386352275,110,1.41818181818,4.77484718431e-12,8.44124770083e-12,110,1283.22997179,3016.59875635,164.101488176,-328.202976352,3971.62575179,35.822199427,54.9235719555,63.0208358544,0.0834068075026,0.323099418723,0.759537515587,-0.0826369343093,0.0763293138175,0.409113985541,0.609175694958,2.27373675443e-12
000688.SH,30,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,29,4912.04206477,9160.08904702,4677.5934553,4680.2416726,900.376925336,3579.47044908,12490.8582188,0.112369113136,0.098293468624,0.134857057525,110,1.41818181818,5.91171556152e-12,1.29034560814e-11,110,2259.18794098,6255.91455741,394.854790074,-789.709580148,7725.39291824,47.5309156337,79.0943396041,87.8942143616,0.10503059506,0.292436639132,0.809785938866,-0.102222577998,0.0927422283287,0.487396854317,0.644597204337,3.63797880709e-12
000688.SH,30,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,29,5239.50507634,10378.0374014,4677.5934553,4680.2416726,900.376925336,4797.41880344,13485.7981186,0.136496786365,0.0867579187195,0.141726555065,110,1.41818181818,2.72848410532e-12,3.99325017497e-12,110,2777.90062453,6351.11161603,430.006937052,-860.013874105,8268.99836646,52.7057930832,79.6938618467,90.9340330485,0.102374604399,0.335941610026,0.768062990772,-0.104004600798,0.0942066733445,0.453593877197,0.632258728697,1.81898940355e-12
000688.SH,60,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,59,10973.1594032,24097.1812317,9349.52943276,9359.55218166,1801.84214348,12935.7869066,30994.7533293,0.116211796973,0.074773979834,0.143562693471,110,1.41818181818,9.09494701773e-12,2.95585778076e-12,110,6523.09197077,15530.0808561,336.921252247,-673.842504494,21379.3303224,80.765660839,124.619745049,146.216723812,0.0334745538056,0.305112081267,0.726406329007,-0.0315184102744,0.0305553540882,0.443197264438,0.66001608892,1.09139364213e-11
000688.SH,60,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,59,12559.3301935,27643.7740387,9349.52943276,9359.55218166,1801.84214348,16482.3797136,34494.3233999,0.141998508359,0.065180757915,0.152951238653,110,1.41818181818,2.04636307899e-12,3.69482222595e-12,110,8928.93711133,15486.530709,427.377396952,-854.754793905,23560.7130264,94.4930532438,124.444890248,153.49499349,0.0363441568816,0.378975674519,0.65730314238,-0.0362788168995,0.035008741188,0.401525387901,0.665006006823,3.63797880709e-12
000688.SH,120,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,119,26652.6816275,63607.9539492,18694.2222847,18709.1657973,3610.23726863,41288.5508832,78170.3690952,0.133948386296,0.0567576386991,0.158445531489,110,1.41818181818,1.27329258248e-11,5.45696821064e-12,110,17603.9535043,23584.1550131,771.011718362,-1542.02343672,39646.0850807,132.679891108,153.571335259,199.113246874,0.0378395281347,0.444027536855,0.594867184618,-0.0388947214734,0.0374385591432,0.242911655744,0.549849505667,2.91038304567e-11
000688.SH,120,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,119,33925.57223,74883.3275398,18694.2222847,18709.1657973,3610.23726863,52563.9244739,92304.0136592,0.151686912979,0.0482114963002,0.165480490722,110,1.41818181818,5.68434188608e-12,6.8212102633e-12,110,31994.7053422,26668.1672283,1783.53486477,-3567.06972955,55095.802841,178.870638569,163.303910634,234.724951467,0.0610584761168,0.580710393395,0.484032645922,-0.0647430393172,0.0608062574034,0.296091477355,0.614533525709,0
000688.SH,240,SIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,239,69439.699899,159958.316952,37424.66978,37348.8463767,7226.62379297,115382.846782,193760.651141,0.15535167304,0.0451781684797,0.191241843658,110,1.41818181818,4.54747350886e-13,6.36646291241e-12,110,47964.5218999,73641.7419249,7955.06156146,-15910.1231229,105696.140702,219.00804072,271.370119809,325.109428811,0.133850950188,0.45379634092,0.696730660513,-0.150527001433,0.130833088876,0.218313792569,0.484249686397,2.91038304567e-11
000688.SH,240,UNSIGNED,156,143,3,0.153846153846,130.838709677,0.519230769231,0.128205128205,24,72.5,0.128205128205,239,105961.569593,205539.782457,37424.66978,37348.8463767,7226.62379297,160964.312287,258291.566197,0.170817190687,0.0351592460914,0.195132505409,110,1.41818181818,2.72848410532e-12,3.63797880709e-12,110,100088.772909,99024.8463333,17211.3246356,-34422.6492712,164690.969971,316.368097174,314.68213539,405.821352286,0.172881899356,0.607736859687,0.601276720579,-0.209013580266,0.172879431362,0.224135896004,0.531406963456,2.91038304567e-11
