symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000688.SH,15,POOLED_SIGNED,156,2011.02550694,1832.11745344,-18.169983835,36.3399676699,3879.48292804,44.8444590439,42.8032411557,62.2854953263,-0.00946605656797,0.518374624721,0.472258155898,0.00936721938052,-0.00945579387618,0.247947258028,0.444710772885,9.09494701773e-13
000688.SH,15,POOLED_UNSIGNED,156,2016.18881846,1832.2044275,-15.1966926317,30.3933852634,3878.78663122,44.9019912527,42.8042571189,62.2799055171,-0.00790672282209,0.519798846947,0.472365355895,0.00783579715851,-0.00789768179105,0.249254016403,0.44689783998,2.72848410532e-12
000688.SH,15,YEAR_2020,156,2011.02550694,1832.11745344,-18.169983835,36.3399676699,3879.48292804,44.8444590439,42.8032411557,62.2854953263,-0.00946605656797,0.518374624721,0.472258155898,0.00936721938052,-0.00945579387618,0.247947258028,0.444710772885,9.09494701773e-13
000688.SH,15,LONG,64,1570.72467829,1766.95321868,-621.114862914,1242.22972583,4579.90762279,39.6323690724,42.0351426628,67.6750147602,-0.372828722275,0.342959903923,0.385805427578,0.2712346685,-0.372183824855,0.33973264553,0.690888372883,9.09494701773e-13
000688.SH,15,SHORT,92,2315.33079568,1876.39516581,402.718486379,-805.436972759,3386.28898874,48.1178843642,43.3173771807,58.1918292266,0.193211463033,0.683736917725,0.554115485138,-0.237852402863,0.192149243571,0.05860759808,0.262891729863,9.09494701773e-13
000688.SH,30,POOLED_SIGNED,156,3653.30185317,3016.87698452,238.369375156,-476.738750312,6193.44008737,60.442550022,54.9261047638,78.698412229,0.0718007331076,0.589866342715,0.487108447318,-0.0769747900338,0.0714731586534,0.15020468709,0.357293451491,9.09494701773e-13
000688.SH,30,POOLED_UNSIGNED,156,3599.06747531,3017.03191197,235.694602287,-471.389204575,6144.7101827,59.9922284576,54.9275150719,78.3882018081,0.0715261238512,0.585718018962,0.490996616971,-0.0767146359322,0.0712488094543,0.158232574437,0.364731650999,3.63797880709e-12
000688.SH,30,YEAR_2020,156,3653.30185317,3016.87698452,238.369375156,-476.738750312,6193.44008737,60.442550022,54.9261047638,78.698412229,0.0718007331076,0.589866342715,0.487108447318,-0.0769747900338,0.0714731586534,0.15020468709,0.357293451491,9.09494701773e-13
000688.SH,30,LONG,64,2745.6481046,2199.41037434,-706.121320191,1412.24264038,6357.30111932,52.398932285,46.8978717463,79.7326853889,-0.287345071309,0.431888949897,0.345966052741,0.222144997362,-0.285586640966,0.271294547733,0.509673800328,2.72848410532e-12
000688.SH,30,SHORT,92,4171.39422803,3584.80793389,886.2399656,-1772.4799312,5983.72223072,64.5863315882,59.8732656024,77.354523014,0.229180555083,0.697123640969,0.599093306084,-0.296216947054,0.228524204785,0.0693193644622,0.29914784667,9.09494701773e-13
000688.SH,60,POOLED_SIGNED,156,8051.83145823,6320.18656709,-748.807936747,1497.61587349,15869.6338988,89.7319979619,79.4996010499,125.974735161,-0.104968297136,0.507373485083,0.398256608022,0.0943699068954,-0.10420358998,0.102549149758,0.318392439824,1.81898940355e-12
000688.SH,60,POOLED_UNSIGNED,156,8137.46614036,6399.37285449,-656.682665114,1313.36533023,15850.2043251,90.207905088,79.9960802445,125.897594596,-0.0910001791823,0.513398185504,0.403740716728,0.0828610977683,-0.0903473809328,0.105336347846,0.321313770142,3.63797880709e-12
000688.SH,60,YEAR_2020,156,8051.83145823,6320.18656709,-748.807936747,1497.61587349,15869.6338988,89.7319979619,79.4996010499,125.974735161,-0.104968297136,0.507373485083,0.398256608022,0.0943699068954,-0.10420358998,0.102549149758,0.318392439824,1.81898940355e-12
000688.SH,60,LONG,64,7995.54682011,5010.96277653,-1149.12661081,2298.25322161,15304.7628182,89.4178216023,70.7881542105,123.712419822,-0.181544546808,0.522422131924,0.327411985147,0.150165882929,-0.1767002288,0.131123193616,0.442705733441,7.27595761418e-12
000688.SH,60,SHORT,92,8080.19367934,7224.75079585,-462.14528858,924.29057716,16229.2350524,89.8898975377,84.9985340806,127.394014979,-0.0604861871331,0.497878898991,0.445168904914,0.0569521960942,-0.0603916321721,0.0883386398358,0.277416675592,9.09494701773e-12
000688.SH,120,POOLED_SIGNED,156,17748.9299384,9493.6360071,-38.8355312771,77.6710625542,27320.2370081,133.225110015,97.4352913841,165.288345046,-0.0029917608515,0.649662370541,0.347494643048,0.00284298641082,-0.00285109202671,0.117956231862,0.353364403102,0
